@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.33672,0.33672,8,-46,0
0.33024,0.33024,9,-45,0
0.35914,0.35914,11,-43,0
0.23265,0.23265,18,-36,0
0.11009,0.11009,15,-39,0
0.11617,0.11617,18,-36,0
0.14463,0.14463,20,-34,0
0.21884,0.21884,18,-36,0
0.17107,0.17107,20,-34,0
0.15972,0.15972,20,-34,0
0.19075,0.19075,20,-34,0
0.25109,0.25109,19,-35,0
0.20857,0.20857,6,-48,0
0.42791,0.42791,3,-51,0
0.80551,0.80551,3,-51,0
0.44864,0.44864,3,-51,0
0.2423,0.2423,4,-50,0
0.57303,0.57303,3,-51,0
0.50182,0.50182,3,-51,0
0.49374,0.49374,3,-51,0
0.55855,0.55855,3,-51,0
0.47621,0.47621,3,-51,0
0.32501,0.32501,3,-51,0
0.40298,0.40298,5,-49,0
0.495,0.495,3,-51,0
0.59341,0.59341,3,-51,0
0.59424,0.59424,3,-51,0
0.66576,0.66576,3,-51,0
0.3052,0.3052,4,-50,0
0.30599,0.30599,6,-48,0
0.48823,0.48823,3,-51,0
0.63807,0.63807,4,-50,0
0.39088,0.39088,8,-46,0
0.45878,0.45878,7,-47,0
0.43947,0.43947,5,-49,0
0.36601,0.36601,7,-47,0
0.3975,0.3975,8,-46,0
0.31893,0.31893,8,-46,0
0.42339,0.42339,7,-43,1
0.57397,0.57397,7,-43,1
0.94369,0.94369,2,-38,1
1.4767,1.4767,2,-28,1
1.319,1.319,2,-28,1
0.98168,0.98168,2,-28,1
0.88689,0.88689,3,-27,1
0.98278,0.98278,2,-28,1
1.4054,1.4054,3,-27,1
1.4729,1.4729,2,-28,1
1.2852,1.2852,3,-27,1
0.76204,0.76204,7,-23,1
0.61255,0.61255,8,-22,1
0.87414,0.87414,3,-27,1
0.33356,0.33356,9,-21,1
0.40943,0.40943,7,-23,1
0.76712,0.76712,4,-26,1
0.66502,0.66502,9,-21,0
0.61578,0.61578,9,-21,0
0.45544,0.45544,8,-22,0
0.34924,0.34924,8,-22,0
0.4175,0.4175,7,-23,0
0.39504,0.39504,3,-27,0
0.21818,0.21818,19,-11,0
0.13426,0.13426,30,0,0
0.45591,0.45591,6,-24,0
0.3082,0.3082,6,-24,0
0.3185,0.3185,7,-23,0
0.47956,0.47956,8,-22,0
0.59056,0.59056,4,-26,0
0.58279,0.58279,5,-25,0
0.58745,0.58745,6,-24,0
0.62215,0.62215,6,-24,0
0.59546,0.59546,6,-24,0
0.5299,0.5299,6,-24,0
0.39031,0.39031,8,-22,0
0.50167,0.50167,6,-24,0
0.67133,0.67133,3,-27,0
0.68484,0.68484,3,-27,0
0.6841,0.6841,3,-27,0
0.45474,0.45474,3,-27,0
0.4265,0.4265,3,-27,0
0.39312,0.39312,3,-27,0
0.40487,0.40487,3,-27,0
0.54777,0.54777,3,-27,0
0.53347,0.53347,9,-21,0
0.46403,0.46403,7,-23,0
0.54865,0.54865,8,-22,0
0.59946,0.59946,3,-27,0
0.54583,0.54583,7,-23,0
0.55829,0.55829,8,-22,0
0.30491,0.30491,16,-14,0
0.21369,0.21369,17,-13,0
0.11747,0.11747,11,-19,0
0.089275,0.089275,12,-18,0
0.38432,0.38432,9,-21,0
0.39447,0.39447,7,-23,0
0.34629,0.34629,8,-22,0
0.41746,0.41746,8,-22,0
0.11762,0.11762,24,-6,0
0.20319,0.20319,36,0,0
0.27278,0.27278,38,0,0
0.15297,0.15297,38,0,0
0.11207,0.11207,44,0,0
0.063822,0.063822,32,-12,0
0.1069,0.098168,33,-11,0
0.18338,0.14882,14,-30,0
0.40484,0.34101,8,-36,0
0.32982,0.266,7,-37,0
0.46623,0.4024,5,-39,0
0.3612,0.29738,3,-41,0
0.53456,0.47074,3,-41,0
0.35873,0.29491,7,-37,0
0.49236,0.42854,4,-40,0
0.48043,0.41661,4,-40,0
0.50325,0.43943,4,-40,0
0.15897,0.095143,21,-23,0
0.19916,0.13534,19,-25,0
0.22059,0.15677,15,-29,0
0.17804,0.11422,17,-27,0
0.17338,0.10955,21,-23,0
0.44933,0.38551,13,-31,0
0.33631,0.27249,7,-37,0
0.17253,0.10871,10,-34,0
0.35802,0.2942,7,-37,0
0.12117,0.057348,19,-25,0
0.22393,0.16011,18,-26,0
0.12823,0.064407,18,-26,0
0.1681,0.10428,20,-24,0
0.18847,0.12465,18,-26,0
0.17222,0.10839,18,-26,0
0.19824,0.13441,20,-24,0
0.14956,0.085736,27,-17,0
0.13963,0.075811,23,-21,0
0.13649,0.072669,24,-20,0
0.15627,0.092449,22,-22,0
0.28799,0.22417,23,-21,0
0.2461,0.18228,26,-18,0
0.15179,0.087968,23,-21,0
0.21793,0.1541,27,-17,0
0.18582,0.122,20,-24,0
0.11938,0.055553,25,-19,0
0.17952,0.11569,20,-24,0
0.18577,0.12195,21,-23,0
0.20343,0.1396,25,-19,0
0.18962,0.12579,18,-26,0
0.19438,0.13056,21,-23,0
0.12231,0.058487,35,-9,0
