@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.47591,0.030853,8023.4,4.982,258.4,0.39489,0.014519,7545.2,0.72091,129.2,1
0.43548,0.034483,7745.6,4.8657,301.46,0.35446,0.018149,7267.4,0.60457,172.27,1
0.39952,0.033575,6482.1,4.9722,279.93,0.31849,0.017241,6003.9,0.71108,150.73,1
0.41667,0.026316,6720.4,4.8578,430.66,0.33565,0.0099819,6242.2,0.59663,301.46,1
0.39334,0.021779,5692.4,4.7312,430.66,0.31232,0.0054446,5214.2,0.47004,301.46,1
0.35298,0.038113,6330.3,5.2091,107.67,0.27196,0.021779,5852.1,0.948,0,1
0.32624,0.048094,6428.1,5.2745,107.67,0.24521,0.03176,5949.9,1.0134,0,1
0.28699,0.039927,4038.7,5.1327,86.133,0.20597,0.023593,3560.5,0.87156,0,1
0.30965,0.025408,4738,4.8831,86.133,0.22863,0.0090744,4259.8,0.62193,0,1
0.31789,0.016334,3939.8,4.779,107.67,0.23687,0,3461.6,0.51784,21.533,1
0.26189,0.029946,3258.1,4.9855,107.67,0.18087,0.013612,2779.8,0.7244,21.533,1
0.23179,0.037205,3021.5,4.8531,279.93,0.15077,0.020871,2543.3,0.59194,193.8,1
0.27269,0.029946,3520.5,4.81,107.67,0.19167,0.013612,3042.3,0.54884,21.533,1
0.27289,0.022686,4301,4.8721,107.67,0.19186,0.0063521,3822.8,0.61099,21.533,1
0.26981,0.057169,4123.9,5.4288,107.67,0.18879,0.040835,3645.7,1.1677,21.533,1
0.28542,0.082577,6100.5,5.7407,344.53,0.2044,0.066243,5622.3,1.4796,258.4,1
0.29128,0.049002,4333.1,5.5088,366.06,0.21026,0.032668,3854.9,1.2476,279.93,1
0.28396,0.043557,4329.5,5.3661,344.53,0.20294,0.027223,3851.3,1.105,258.4,1
0.28087,0.044465,3827.9,5.1613,344.53,0.19984,0.028131,3349.7,0.90016,258.4,1
0.2603,0.033575,3630.7,5.0991,344.53,0.17927,0.017241,3152.5,0.83792,258.4,1
0.17657,0.050817,2051.2,5.2939,366.06,0.095545,0.034483,1572.9,1.0328,279.93,1
0.13819,0.066243,1154,5.4556,646,0.057165,0.049909,675.84,1.1945,559.86,1
0.15455,0.043557,2232.7,5.1211,279.93,0.073527,0.027223,1754.5,0.85995,193.8,1
0.15934,0.026316,1560.1,5.0495,107.67,0.078313,0.0099819,1081.9,0.78836,21.533,1
0.13905,0.041742,1454.7,5.0936,258.4,0.058024,0.025408,976.45,0.83246,172.27,1
0.11215,0.045372,1082.6,5.1886,258.4,0.031128,0.029038,604.4,0.92745,172.27,0
0.096315,0.040835,726.48,5.3076,366.06,0.015293,0.024501,248.27,1.0465,279.93,0
0.08167,0.044465,610.31,5.2622,279.93,0.00064743,0.028131,132.1,1.0011,193.8,0
0.080011,0.044465,542.43,5.2973,258.4,0,0.028131,64.217,1.0362,172.27,0
0.083645,0.038113,654.98,5.1448,279.93,0.0036336,0.021779,176.77,0.88371,193.8,0
0.078896,0.027223,507.74,5.1434,279.93,0,0.010889,29.534,0.88225,193.8,0
0.069986,0.025408,397.51,5.2033,258.4,0,0.0090744,0,0.94214,172.27,0
0.063733,0.034483,337.61,5.2738,258.4,0,0.018149,0,1.0126,172.27,0
0.068694,0.038113,286.63,5.3364,581.4,0.0049609,0.021779,0,1.0753,495.26,0
0.058798,0.045372,298.2,5.2985,258.4,0,0.029038,11.57,1.0374,172.27,0
0.043769,0.046279,138.55,5.4055,129.2,0,0.029946,0,1.1443,43.066,0
0.049292,0.043557,48.945,5.5759,107.67,0.0055228,0.027223,0,1.3147,21.533,0
0.049416,0.041742,161.35,5.4445,559.86,0.0056471,0.025408,112.41,1.1834,473.73,0
0.047187,0.046279,189.07,5.3953,301.46,0.0034182,0.029946,140.13,1.1342,215.33,0
0.048427,0.053539,119.75,5.5295,258.4,0.0046582,0.037205,70.801,1.2684,172.27,0
0.05004,0.047187,139.1,5.4611,387.6,0.0062708,0.030853,90.152,1.2,301.46,0
0.051523,0.047187,229.74,5.3653,150.73,0.0077537,0.030853,180.79,1.1042,64.6,0
0.045861,0.057169,127.61,5.4911,279.93,0.0020915,0.040835,78.66,1.23,193.8,0
0.045098,0.064428,59.917,5.5889,495.26,0.0013285,0.048094,10.972,1.3277,409.13,0
0.058735,0.053539,315.66,5.4593,150.73,0.014966,0.037205,266.72,1.1981,64.6,0
0.061607,0.04265,275.96,5.3954,150.73,0.017838,0.026316,227.01,1.1343,64.6,0
0.059981,0.04265,332.67,5.3758,172.27,0.016212,0.026316,283.73,1.1146,86.133,0
0.0564,0.054446,262.86,5.407,409.13,0.012631,0.038113,213.92,1.1459,323,0
0.058963,0.051724,276.94,5.423,387.6,0.015194,0.03539,227.99,1.1619,301.46,0
0.061972,0.04265,219.84,5.3774,409.13,0.018203,0.026316,170.9,1.1163,323,0
0.053161,0.054446,172.14,5.4413,581.4,0.0093918,0.038113,123.19,1.1801,495.26,0
0.050323,0.057169,178.62,5.605,387.6,0.0065542,0.040835,129.67,1.3439,301.46,0
0.055419,0.051724,190.72,5.6347,236.87,0.01165,0.03539,141.78,1.3736,150.73,0
0.068061,0.045372,308.85,5.565,387.6,0.024292,0.029038,259.91,1.3038,301.46,0
0.075235,0.043557,341.35,5.4749,409.13,0.031466,0.027223,292.4,1.2137,323,0
0.074641,0.04265,396.06,5.5314,215.33,0.030872,0.026316,347.11,1.2702,129.2,0
0.081122,0.056261,408.97,5.683,236.87,0.037352,0.039927,360.02,1.4218,150.73,0
0.092899,0.059891,766.06,5.6038,409.13,0.049129,0.043557,717.11,1.3427,323,0
0.10255,0.058076,604.46,5.6426,236.87,0.058776,0.041742,555.52,1.3815,150.73,0
0.11031,0.061706,960.36,5.4322,775.2,0.066544,0.045372,911.42,1.1711,689.06,0
0.11179,0.055354,848.48,5.522,796.73,0.068023,0.03902,799.54,1.2609,710.6,0
0.096696,0.059891,731.41,5.5721,430.66,0.052927,0.043557,682.47,1.311,344.53,0
0.077645,0.067151,403.22,5.7459,775.2,0.033876,0.050817,354.27,1.4847,689.06,0
0.07378,0.058076,514.24,5.6163,775.2,0.030011,0.041742,465.3,1.3552,689.06,0
0.074773,0.068966,369.52,5.754,409.13,0.031003,0.052632,320.57,1.4929,323,0
0.08935,0.07078,658.12,5.5541,775.2,0.04558,0.054446,609.18,1.293,689.06,0
0.10441,0.054446,989.04,5.5202,430.66,0.06064,0.038113,940.09,1.259,344.53,0
0.11169,0.053539,1075.6,5.4408,409.13,0.067917,0.037205,1026.6,1.1797,323,0
0.11531,0.049909,812.14,5.455,775.2,0.071538,0.033575,763.19,1.1939,689.06,0
0.11813,0.049002,1180.7,5.3808,775.2,0.074357,0.032668,1131.7,1.1196,689.06,0
0.1187,0.049002,1001.3,5.4364,538.33,0.074936,0.032668,952.36,1.1752,452.2,0
0.12966,0.053539,1126.3,5.4065,215.33,0.085886,0.037205,1077.4,1.1453,129.2,0
0.14218,0.053539,1736.1,5.3117,409.13,0.09841,0.037205,1687.2,1.0506,323,0
0.13922,0.043557,1408.1,5.3973,215.33,0.095454,0.027223,1359.1,1.1362,129.2,0
0.13818,0.041742,1180.2,5.3047,796.73,0.094414,0.025408,1131.2,1.0436,710.6,0
0.13911,0.03902,1202.2,5.2295,796.73,0.095344,0.022686,1153.2,0.96841,710.6,0
0.13732,0.037205,1415,5.3135,818.26,0.093549,0.020871,1366.1,1.0523,732.13,0
