@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.21764,0.050817,1.3266,12,1
0.22179,0.051724,1.3465,14,1
0.22803,0.044465,1.344,11,1
0.21269,0.043557,1.2855,9,1
0.22184,0.044465,1.3649,10,1
0.25026,0.04265,1.2288,19,1
0.28933,0.038113,1.3141,15,1
0.31965,0.037205,1.3834,9,1
0.3313,0.033575,1.4004,10,1
0.33596,0.03539,1.364,10,1
0.34846,0.03539,1.3659,10,1
0.36663,0.028131,1.3963,10,1
0.36761,0.03176,1.3478,10,1
0.37144,0.037205,1.3063,9,1
0.39256,0.03176,1.346,9,1
0.38353,0.025408,1.4717,9,1
0.36551,0.028131,1.4921,9,1
0.37154,0.025408,1.4819,9,1
0.35231,0.023593,1.55,9,1
0.3216,0.025408,1.4405,9,1
0.32724,0.024501,1.5076,9,1
0.39859,0.022686,1.4798,9,1
0.47213,0.021779,1.6024,9,1
0.50607,0.021779,1.5862,9,1
0.51667,0.020871,1.5812,9,1
0.49978,0.020871,1.5672,9,1
0.46064,0.019964,1.5662,9,1
0.37351,0.019964,1.4652,8,1
0.27884,0.019964,1.4024,8,1
0.21642,0.052632,1.0232,12,1
0.14654,0.072595,0.53823,35,1
0.1153,0.063521,0.48621,26,1
0.092104,0.069873,0.41664,29,1
0.080097,0.059891,0.4274,29,0
0.094141,0.072595,0.27412,38,0
0.094217,0.093466,0.33852,35,0
0.081864,0.087114,0.33745,36,0
0.070088,0.090744,0.26102,42,0
0.064001,0.092559,0.34934,34,0
0.056938,0.096189,0.356,45,0
0.052343,0.098911,0.34748,47,0
0.056065,0.089837,0.34167,33,0
0.053515,0.07441,0.38607,34,0
0.050155,0.069873,0.38303,31,0
0.05323,0.07078,0.43181,20,0
0.051742,0.058984,0.36124,31,0
0.04799,0.058076,0.36542,24,0
0.043185,0.063521,0.41123,21,0
0.044389,0.064428,0.34505,25,0
0.043541,0.072595,0.30593,29,0
0.040551,0.071688,0.28051,21,0
0.037222,0.07078,0.39829,24,0
0.030679,0.08167,0.26293,38,0
0.030833,0.080762,0.33149,38,0
0.032041,0.083485,0.38545,40,0
0.035732,0.098004,0.45825,27,0
0.041869,0.068966,0.17379,38,0
0.041601,0.048094,0.3732,35,0
0.0371,0.058076,0.36858,35,0
0.035217,0.061706,0.33901,37,0
0.03929,0.060799,0.41426,27,0
0.040401,0.077132,0.61779,26,0
0.045857,0.11615,0.34555,57,0
0.056194,0.13158,0.32195,67,0
0.055673,0.1225,0.2502,60,0
0.058412,0.090744,0.39691,50,0
0.058478,0.072595,0.41185,40,0
0.053965,0.079855,0.36927,27,0
0.053593,0.076225,0.44598,24,0
0.051746,0.066243,0.77202,18,0
0.062696,0.051724,1.0807,13,0
0.062212,0.043557,0.85143,13,0
0.055486,0.048094,0.68761,13,0
0.07471,0.039927,1.1645,14,0
0.08778,0.039927,1.264,12,0
0.074766,0.068058,0.94687,13,0
0.070578,0.079855,0.85621,20,0
0.067796,0.075318,0.67587,15,0
0.047802,0.079855,0.31169,32,0
0.046847,0.10617,0.30475,51,0
0.046406,0.11252,0.25947,59,0
0.04695,0.079855,0.7616,25,0
0.045729,0.072595,0.66434,19,0
0.048765,0.073503,0.33653,35,0
0.062486,0.076225,0.32566,35,1
0.1056,0.07441,0.34256,37,1
0.19322,0.062613,0.67825,25,1
0.29789,0.04265,1.304,10,1
0.29075,0.04265,0.82724,11,1
0.24726,0.047187,0.56101,11,1
0.33872,0.03176,0.5555,11,1
0.36174,0.030853,0.96565,10,1
0.29943,0.046279,1.2981,11,1
0.26423,0.068058,1.3351,10,1
0.21663,0.078947,1.0439,27,1
0.15745,0.083485,0.63805,51,1
0.13664,0.073503,0.57937,36,1
0.10725,0.071688,0.64694,24,1
0.079003,0.080762,0.37344,41,1
0.062458,0.088929,0.31124,43,1
0.057595,0.07804,0.27988,44,1
0.055304,0.065336,0.42211,45,0
0.048978,0.062613,0.79177,16,0
0.088813,0.071688,0.3812,45,0
0.10217,0.096189,0.42431,47,0
0.079929,0.098004,0.35691,43,0
0.065533,0.083485,0.257,40,0
0.058695,0.088929,0.29807,51,0
0.060829,0.094374,0.28034,45,0
0.061837,0.077132,0.43697,41,0
0.057418,0.072595,0.52999,36,0
0.058965,0.067151,0.54815,33,0
0.092213,0.043557,0.65021,15,0
0.11195,0.029038,1.2905,9,0
0.10926,0.037205,1.3294,9,0
0.092945,0.044465,1.0313,10,0
0.094124,0.040835,1.1732,9,0
0.10025,0.04265,1.1229,11,0
0.088069,0.043557,1.1154,10,0
0.079941,0.048094,1.026,13,0
0.077412,0.049002,0.74326,10,0
0.097069,0.034483,1.1747,9,0
0.10733,0.024501,1.3894,9,0
0.09202,0.030853,1.2012,9,0
0.070976,0.044465,0.83954,9,0
0.075728,0.041742,0.96,13,0
0.078464,0.036298,0.85972,8,0
0.085242,0.032668,1.0148,9,0
0.096071,0.030853,1.1204,8,0
0.10244,0.028131,1.0484,8,0
0.11176,0.028131,1.2059,8,0
0.10675,0.024501,1.0313,8,0
0.096271,0.029038,1.0374,8,0
0.094254,0.038113,1.1441,8,0
0.08713,0.028131,0.78219,8,0
0.069445,0.023593,0.84458,10,0
0.053427,0.032668,0.60273,16,0
0.044722,0.03902,0.51576,15,0
0.046093,0.033575,0.55167,10,0
0.046593,0.037205,0.60966,14,0
0.040653,0.047187,0.45107,22,0
0.039229,0.051724,0.46144,27,0
0.039953,0.051724,0.50898,16,0
0.046137,0.041742,0.59676,10,0
0.052266,0.036298,0.58494,9,0
0.053709,0.038113,0.79858,14,0
0.054578,0.045372,0.86292,16,0
0.051603,0.044465,0.70638,12,0
0.060994,0.034483,0.6147,13,0
0.061655,0.03539,0.80223,13,0
0.054438,0.033575,0.53764,13,0
0.055753,0.03539,0.59347,19,0
0.060706,0.041742,0.3758,18,0
0.059934,0.046279,0.51529,20,0
0.051163,0.049002,0.47153,21,0
0.052499,0.04265,0.37902,21,0
0.059102,0.033575,0.51386,17,0
0.063892,0.034483,0.5481,11,0
0.065447,0.038113,0.50175,12,0
0.062618,0.043557,0.38871,15,0
0.068128,0.040835,0.76408,18,0
0.079104,0.032668,0.82689,11,0
0.070644,0.040835,0.53197,10,0
0.057546,0.046279,0.55837,10,0
0.052974,0.057169,0.81115,19,0
0.055636,0.045372,0.68825,18,0
0.064315,0.023593,1.1181,8,0
0.073023,0.033575,0.86619,7,0
0.066891,0.047187,0.59213,15,0
0.058523,0.043557,0.45533,18,0
0.072831,0.033575,0.99547,9,0
0.078829,0.027223,1.1528,9,0
0.062749,0.03539,0.79347,10,0
0.045247,0.049002,0.71386,14,0
0.046326,0.039927,0.58823,15,0
0.038045,0.03539,0.42411,13,0
0.033292,0.051724,0.47992,26,0
0.04504,0.049909,0.58689,25,0
0.05344,0.032668,0.77104,15,0
0.089851,0.025408,0.97685,7,0
0.1084,0.019964,1.3556,9,0
0.082092,0.024501,0.8162,9,0
0.050158,0.052632,0.71842,24,0
