@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.5617,15,0
0.68153,18,0
0.65587,17,0
0.49436,17,0
0.80543,9,0
1.2464,9,0
1.1762,9,0
0.8736,9,0
0.98795,9,0
0.91639,9,0
0.96165,9,0
0.56966,11,0
0.89423,9,0
0.96661,9,0
0.95802,9,0
0.64352,9,0
0.45157,24,0
0.73789,23,0
0.62192,21,0
0.64231,33,0
0.43794,55,0
0.49048,58,0
0.49794,58,0
0.59203,17,1
0.64605,13,1
0.858,9,1
0.72517,12,1
0.55003,14,1
0.41715,14,1
0.83405,13,1
0.91151,11,1
0.76372,23,1
0.70017,15,1
0.98661,9,1
1.2184,9,1
1.2905,10,1
0.75816,9,1
0.37447,28,1
0.30572,28,1
0.47747,27,1
0.52231,27,1
0.41864,30,1
0.43059,24,1
0.62693,22,1
0.40515,11,1
0.72374,12,1
0.70911,12,0
0.73517,12,0
0.70827,12,0
0.69757,11,0
0.68679,7,0
0.78239,8,0
0.69099,11,0
0.55912,8,0
0.55836,16,0
0.51444,19,0
0.4512,18,0
0.41402,18,0
0.70443,16,0
0.88051,19,0
0.86821,18,0
0.61909,18,0
0.71461,20,0
0.83744,18,0
0.10031,7,0
0.015302,5,0
0.034151,14,0
0.0064597,5,0
0.00023911,1,1
0.042108,18,1
0.58142,17,1
0.60172,23,1
0.72092,28,1
0.89026,30,1
0.77409,24,1
0.9598,32,1
1.1316,33,1
1.0683,33,1
1.0094,32,1
0.87326,33,1
1.0632,33,1
1.0673,33,1
0.97256,34,1
1.1026,33,1
1.1063,34,1
1.1414,35,1
1.1742,33,1
1.1747,34,1
1.1089,34,1
1.0722,34,1
1.1907,35,1
1.2737,10,1
1.3083,9,1
1.4173,9,1
1.4677,9,1
1.4631,9,1
1.4173,9,1
1.4278,9,1
1.4541,9,1
1.4294,9,1
1.4165,9,1
1.4956,9,1
1.5069,9,1
1.476,9,1
1.4678,10,1
1.5029,10,1
1.5086,9,1
1.486,9,1
1.4798,9,1
1.4926,9,1
1.4543,9,1
1.5057,9,1
1.5088,9,1
1.5075,9,1
1.5075,10,1
1.5952,10,1
1.5382,10,1
1.466,10,1
1.1793,10,1
1.2404,9,1
0.80729,10,1
0.25086,10,1
0.0023235,13,1
0.040871,33,1
0.072053,31,1
9.2595e-05,1,0
2.7832e-05,1,0
0.13849,17,0
0.35626,5,0
0.23418,3,0
0.016988,8,0
0.088557,7,0
0.17979,13,0
0.0080318,17,0
0.006339,12,0
0.014724,7,0
0.031017,17,0
0.0075155,20,0
0.006386,13,0
0.052633,15,0
0.059935,10,0
0.03963,12,0
0.039448,10,0
0.082514,11,0
0.010309,17,0
0.006925,16,0
0.062109,9,0
3.1693e-05,3,0
0.098052,6,0
5.5929e-05,1,0
0.019741,9,1
0.55719,12,1
0.99567,9,1
1.1364,9,1
1.1324,11,1
1.0958,9,1
1.0262,27,1
1.1482,34,1
1.3091,9,1
1.2546,9,1
1.256,9,1
1.2131,9,1
1.302,9,1
1.2931,11,1
1.1897,10,1
1.1931,9,1
1.2969,9,1
1.2577,9,1
1.1794,9,1
1.2305,9,1
1.3528,19,1
1.2347,10,1
1.0852,8,1
1.0523,8,1
1.2378,8,1
1.1305,29,1
0.99619,28,1
1.0917,56,1
0.97126,60,1
0.90217,60,1
0.96354,42,1
1.1031,11,1
1.1314,11,1
0.98273,20,1
0.97353,19,1
1.058,16,1
1.0358,16,1
1.0123,13,1
1.0868,10,1
1.1213,11,1
1.0782,14,1
1.1829,25,1
1.1282,40,1
0.8382,32,1
0.9035,27,1
0.98612,23,1
0.9526,23,1
0.80536,23,1
0.78642,22,1
0.72376,22,1
0.91005,22,1
0.81798,20,1
0.8847,23,1
1.0223,25,1
0.98468,24,1
1.0362,40,1
1.0131,40,1
1.0901,40,1
1.1621,40,1
1.1306,40,1
1.1369,40,1
1.2082,26,1
1.3075,14,1
1.3454,9,1
1.3726,39,1
1.3494,27,1
1.3514,10,1
1.2559,9,1
1.3028,9,1
1.386,9,1
1.4067,9,1
1.3059,9,1
1.2997,9,1
1.3693,9,1
1.2696,9,1
1.2268,9,1
1.2643,9,1
1.245,9,1
1.216,9,1
1.2314,9,1
1.1044,9,1
1.0471,17,1
1.0423,19,1
0.99974,22,1
1.0221,24,1
1.0341,20,1
0.96653,23,1
0.92617,15,1
1.0313,15,1
1.1385,14,1
1.1676,13,1
1.3294,13,1
1.3267,12,1
0.96196,12,1
0.95495,12,1
1.0312,13,1
0.7025,13,1
0.17228,19,1
0.26457,16,1
0.35487,11,1
0.3948,10,1
0.58303,13,1
0.67862,12,1
0.2819,14,1
0.63272,9,1
0.6894,9,1
0.88942,9,1
0.58824,9,1
0.037097,16,1
0.012241,7,1
0.048309,12,1
0.025448,9,1
0.0096586,5,1
2.2437e-05,1,1
0.0048379,14,0
0.28306,5,0
0.010485,2,0
0.00011284,9,0
0.11022,9,0
0.082774,6,0
0.0097859,21,0
0.16673,13,0
0.062485,5,0
6.2647e-05,1,0
0.00026411,6,0
0.13382,10,0
0.0037394,18,0
0.0051758,14,0
0.00097864,31,0
0.14574,45,0
0.053673,24,0
0.0055735,4,0
3.3231e-06,1,0
0.00047586,14,0
0.096158,6,0
0,1,0
0.016138,3,0
0.0881,8,0
0.16314,21,0
6.011e-06,1,0
0.14454,9,0
0.078599,10,0
0.049252,25,0
0.0013353,17,0
0.001103,7,0
0.054111,36,0
0.00026635,8,0
0.00026204,4,0
0.0010326,20,0
0.10364,38,0
0.0313,22,0
0.077749,16,0
0.00015669,1,0
0.012725,29,0
0.00027084,2,0
0.0053756,8,0
0.0036564,14,0
0.022852,18,0
0.020711,47,0
0.0092591,44,0
0.06276,83,0
0.010907,45,0
0.056185,60,0
0.12326,61,0
0.0040551,39,0
0.0025436,41,0
0.0016093,27,0
0.048464,88,0
0.012807,75,0
0.0016209,10,0
0.00049442,13,0
0.012658,41,0
0.048792,124,0
0.040815,99,0
0.011348,85,0
0.090478,114,0
0.10614,92,0
0.021976,57,0
0.010243,36,0
0.14561,60,0
0.027576,30,0
0.0071699,15,0
0.0014267,16,0
0.036133,24,0
0.050405,20,0
0.011304,10,0
0.007045,12,0
0.029302,9,0
0.122,10,0
0.11774,14,0
0.00011713,1,0
0.186,5,0
0.27716,21,0
0.00033073,5,0
0.0081786,13,0
0.097899,7,0
0.24071,3,0
0.10261,18,0
0.013679,4,0
0.066384,4,0
0.0047194,7,0
0.01793,26,0
0.26388,9,0
1.3043e-05,1,0
0.010615,15,0
0.8072,20,0
0.030971,13,0
7.9387e-05,2,0
0.00065579,6,0
0.26928,6,0
0.00099626,11,0
0.0001455,10,0
0.00046485,7,0
0.22651,10,0
0.00016829,4,0
0.00016384,1,0
0.0053105,7,0
0.19726,51,0
6.3047e-05,2,0
2.7428e-05,2,0
0.02411,3,0
0.17673,28,0
0.0046054,15,0
0.043864,4,0
0.067168,20,0
0.00024305,4,0
9.0913e-05,5,0
0.0084224,14,0
0.064589,11,0
0.030941,5,0
0.13789,2,0
3.2081e-05,2,0
0.010361,4,0
0.020855,10,0
0.00057084,14,0
0.016388,16,0
0,1,0
0.0025346,7,0
0,1,0
0.34439,16,0
0,1,0
5.5147e-06,1,0
0.0090246,9,0
0.0094298,17,0
0.00023545,6,0
0.0010874,5,0
0.0035359,1,0
0.073483,16,0
0.24637,27,0
0.019346,10,0
8.9097e-05,5,0
0.0050325,8,0
0.1283,32,0
3.1598e-05,1,0
4.7595e-05,1,0
0.031063,5,0
0.021495,13,0
0.0014311,7,0
0.0045914,7,0
0.002806,19,0
0.073498,14,0
0.038494,20,0
0.034413,3,0
0.058774,7,0
0.0381,14,0
1.7761e-05,2,0
0,1,0
0.00076248,3,0
0.016137,10,0
0.053307,6,0
0.00012605,2,0
0.036152,7,0
0.0040256,6,0
0.041135,17,0
0.018117,7,0
0.00056417,8,0
0.05827,30,0
0.026109,66,0
0.002655,5,0
0.00078913,2,0
0.00074265,5,0
0.0027162,30,0
0.40591,6,0
0.00016296,2,0
0.016714,5,0
0.21875,41,0
0.085462,9,1
0.12659,11,1
0.41594,14,1
0.42652,17,1
0.66159,15,1
0.58703,20,1
0.4993,15,1
0.91782,12,1
0.99248,15,1
0.8985,35,1
1.0294,37,1
1.1307,40,1
0.90873,23,1
0.59723,20,1
0.4904,13,1
0.77847,21,1
0.72782,14,1
0.49195,15,1
0.46743,13,1
0.92323,12,1
0.75842,12,1
0.79047,11,1
1.138,11,1
0.96525,11,1
0.65611,10,1
0.33468,13,1
0.23693,9,1
0.23159,13,1
0.31928,11,1
0.3799,10,1
0.20028,11,1
0.30783,14,1
0.4588,15,1
0.26719,18,1
0.27895,11,1
0.24987,14,1
0.33332,17,1
0.48939,17,1
0.31344,15,1
0.27976,21,1
0.35573,24,1
0.65871,20,1
0.5166,19,1
0.27176,12,1
0.33492,12,1
0.57176,12,1
0.42657,16,1
0.19613,23,1
0.16379,27,1
0.82545,19,1
1.4125,10,1
1.5885,10,1
1.4306,10,1
1.254,10,1
1.5295,11,1
1.552,11,1
1.6243,11,1
1.5729,11,1
1.578,10,1
1.5559,10,1
1.5209,10,1
1.4647,10,1
1.3761,9,1
1.4097,9,1
1.4297,9,1
1.2753,9,1
1.115,9,1
1.0625,12,1
1.1578,10,1
1.2163,22,1
1.1674,9,1
1.2471,15,1
1.2177,10,1
1.2667,20,1
1.3335,40,1
1.2147,39,1
1.0587,40,1
0.95444,40,1
1.1571,40,1
1.3536,40,1
1.1346,40,1
1.0253,35,1
1.2342,42,1
1.2752,42,1
1.1956,42,1
1.0678,42,1
1.2321,43,1
1.2901,34,1
1.3367,12,1
1.3178,9,1
1.3286,9,1
1.276,9,1
1.1381,9,1
1.1239,14,1
1.3526,17,1
1.3594,10,1
1.3893,10,1
1.4743,10,1
1.5037,10,1
1.5146,10,1
1.4828,9,1
1.4453,9,1
1.4831,9,1
1.4958,9,1
1.484,9,1
1.5267,9,1
1.5078,9,1
1.4434,9,1
1.4331,9,1
1.5194,9,1
1.5856,9,1
1.5701,9,1
1.5917,9,1
1.5456,9,1
1.5303,9,1
1.4279,8,1
1.3727,8,1
1.1406,8,1
0.42551,8,1
0.019209,11,1
0.022569,5,1
0.041982,19,0
0.049782,12,0
0,1,0
0.00015866,1,0
0.020866,10,0
0.018903,12,0
0.0093373,3,0
0.10839,22,0
0.02669,25,0
0.0011711,2,0
0.050416,6,0
0.036391,15,0
0.024486,19,0
0,1,0
0.0092825,5,0
0.20227,9,0
0.001596,12,0
0.040861,10,0
0.05907,7,0
0.033061,34,0
0.0048962,7,0
0.017709,4,0
0.0085664,5,0
8.8021e-06,1,0
0.43818,13,0
0.070592,9,0
0.063171,10,0
0.0022583,10,0
0.0012915,4,0
0.00014225,6,0
0.096714,7,0
0.010451,5,0
0,1,0
0.34974,8,0
0.052342,9,0
0.011482,4,0
0.016482,8,0
0.016833,9,0
0.20062,23,0
0.01951,11,0
0.021961,14,0
0.071749,16,0
0.07892,14,0
0.045426,19,0
0.012519,20,0
0.11754,33,0
0.017919,11,0
0.0034109,8,0
0.0072917,9,0
0.012503,23,0
0.041472,29,0
0.030009,25,1
0.27572,36,1
0.69904,23,1
1.3014,10,1
0.77551,10,1
0.63102,10,1
0.51915,11,1
0.94553,10,1
1.2095,11,1
1.2735,10,1
0.97225,28,1
0.57716,50,1
0.47574,38,1
0.52678,23,1
0.095132,25,1
0.026613,22,1
0.10972,11,1
0.2343,5,0
0.20069,9,0
0.29471,6,0
0.27492,7,0
0.49853,9,0
0.0012521,3,0
0,1,0
0.077103,13,0
0.0072635,9,0
0.015933,17,0
0.11477,13,0
0.15431,16,0
0.027613,11,0
0.0033356,11,0
0.0068075,6,0
0.15737,23,0
0.05394,13,0
0.033866,20,0
0.17359,12,0
0.040535,16,0
0.12817,11,0
0.028689,12,0
0.024366,6,0
0.058122,22,0
0.10661,16,0
0.0038083,15,0
0.025241,31,0
0.055548,13,0
0.04464,21,0
0.013973,10,0
0.016719,22,0
0.00025895,8,0
5.8647e-05,2,0
4.1143e-05,2,0
0.040583,13,0
0.038461,25,0
0.042667,18,0
0.0073837,24,0
0.0055335,19,0
0.00031476,7,0
0.057819,6,0
0.035379,32,0
0.015194,11,0
4.4043e-05,2,0
1.0408e-05,1,0
0.019284,7,0
0.09738,8,0
0.0020857,5,0
0.00011283,6,0
0.0033672,11,0
0.051538,25,0
3.3349e-05,2,0
0.00060156,1,0
0.021862,16,0
0.0028125,12,0
0.0029419,22,0
0.0054022,8,0
0.11393,8,0
0.0057206,2,0
0.0035373,10,0
0.0001075,1,0
0.0081451,12,0
0.00027988,4,0
0.00013872,7,0
0.046254,6,0
0.016034,10,0
0.0028293,14,0
0.0077484,5,0
0,1,0
0.20988,5,0
0.0094232,7,0
0,1,0
0.092212,20,0
0.019696,11,0
0.066206,5,0
0.0052481,13,0
0.01481,2,0
0.0030478,10,0
0.10294,7,0
0.20743,38,0
0.0014518,12,0
0.0021856,12,0
0.0015218,9,0
0.032743,41,0
0.15404,16,0
0.0030335,12,0
0.021581,14,0
0.2703,10,0
0.17599,9,0
0.070998,5,0
