@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE class	{0,1}

@DATA
1576.9,-4.9389,473.73,1
1610.1,-4.9784,473.73,1
1788.1,-4.9021,473.73,1
1511,-4.9058,473.73,1
1540.6,-4.8555,452.2,1
1705.8,-5.0393,452.2,1
1346,-5.29,452.2,1
1518,-5.2214,452.2,1
1648.3,-5.1782,452.2,1
1580.4,-4.9842,452.2,1
1804.5,-5.0826,452.2,1
1833.1,-5.1257,473.73,1
1921.5,-4.9226,473.73,1
2342.4,-4.667,473.73,1
2706.1,-4.7084,473.73,1
2268.5,-4.9186,473.73,1
1680.4,-5.1773,495.26,1
2139.9,-5.124,495.26,1
2151,-5.1828,495.26,1
2366.5,-5.1356,495.26,1
2493.2,-5.0591,495.26,1
1970.6,-5.0632,495.26,1
2187.4,-4.8868,495.26,1
2486.8,-5.0988,516.8,1
3070.2,-4.976,516.8,1
3178.9,-4.9232,516.8,1
3876.2,-5.1666,516.8,1
3924.9,-5.2599,516.8,1
3972.6,-5.1494,516.8,1
4270.7,-5.1305,516.8,1
3993.3,-5.1736,516.8,1
4907.1,-5.1474,516.8,1
4509.9,-5.1361,516.8,1
3982.8,-5.071,516.8,1
3776.8,-5.057,516.8,1
3537.2,-4.9813,516.8,1
3216.4,-4.891,495.26,1
2840,-4.8175,495.26,1
2975.9,-4.8121,495.26,1
3089.4,-4.7311,495.26,1
4043.9,-4.3274,495.26,1
4108.9,-4.2405,495.26,1
4853.5,-4.5075,495.26,1
4288.3,-4.3594,495.26,1
4019.4,-4.4489,473.73,1
3182.9,-4.5192,473.73,1
1925.3,-4.5393,452.2,1
2283.2,-5.2095,430.66,1
1600.4,-5.4831,990.53,1
1277.5,-5.4563,1012.1,1
908.79,-5.4931,409.13,1
722.45,-5.4617,452.2,0
753.43,-5.8297,882.86,0
1163.8,-5.6927,430.66,0
633.26,-5.7087,1270.5,0
481.76,-5.7363,581.4,0
343.83,-5.808,301.46,0
350.94,-5.7294,947.46,0
193.61,-5.8178,516.8,0
279.49,-5.676,990.53,0
243.27,-5.6434,473.73,0
201.29,-5.6205,1012.1,0
262.14,-5.541,1012.1,0
126.75,-5.6643,323,0
251,-5.6036,1055.1,0
100.45,-5.6361,990.53,0
34.807,-5.7287,409.13,0
160.16,-5.6215,366.06,0
94.406,-5.6108,1141.3,0
-7.964,-5.761,1076.7,0
-41.653,-5.8186,409.13,0
-37.258,-5.8215,258.4,0
-37.199,-5.8793,495.26,0
-4.3889,-5.8878,1292,0
57.068,-5.7262,107.67,0
24.602,-5.7122,129.2,0
43.332,-5.7087,107.67,0
-3.8281,-5.744,129.2,0
34.564,-5.7314,409.13,0
33.072,-5.6899,409.13,0
62.441,-5.8378,430.66,0
386.34,-6.1298,409.13,0
201.57,-6.0065,409.13,0
264.01,-5.8668,473.73,0
253.53,-5.8405,473.73,0
199.04,-5.8054,452.2,0
226.7,-5.6211,753.66,0
169.7,-5.6622,753.66,0
203.29,-5.5228,775.2,0
253.96,-5.3473,753.66,0
187.1,-5.4697,753.66,0
329.82,-5.3431,732.13,0
447.65,-5.2934,710.6,0
299.58,-5.6453,710.6,0
526.62,-5.605,732.13,0
351.57,-5.654,732.13,0
101.16,-5.7892,710.6,0
163.47,-5.9827,516.8,0
94.808,-5.8601,1141.3,0
183.24,-5.6851,732.13,0
22.506,-5.8029,732.13,0
151.65,-5.7124,387.6,0
385.15,-5.6503,1593.5,1
768.22,-5.6114,2217.9,1
2526.4,-5.4913,495.26,1
3508,-5.0815,516.8,1
3480.8,-5.3599,559.86,1
2679,-5.4002,516.8,1
3879.2,-4.9403,646,1
4254.2,-4.8406,559.86,1
2858.7,-5.092,538.33,1
2844.4,-5.3223,516.8,1
2621.9,-5.4109,516.8,1
1747.7,-5.5035,473.73,1
1298.9,-5.4586,775.2,1
899.33,-5.6576,753.66,1
655.78,-5.6762,753.66,1
349.23,-5.6845,753.66,1
340.24,-5.7965,387.6,1
216.97,-5.6761,387.6,0
164.66,-5.6056,387.6,0
521.09,-5.4848,387.6,0
1241.6,-5.447,2476.3,0
655.55,-5.6246,1055.1,0
378.19,-5.6697,215.33,0
336.25,-5.7424,344.53,0
365.8,-5.7825,366.06,0
352.96,-5.7024,344.53,0
194.01,-5.7537,366.06,0
307.01,-5.6301,344.53,0
572.41,-5.3334,452.2,0
681.28,-4.9713,473.73,0
719.59,-5.0456,473.73,0
443.5,-5.5227,473.73,0
467.21,-5.5468,473.73,0
608.2,-5.3233,495.26,0
461.52,-5.4616,473.73,0
405.24,-5.4779,452.2,0
371.98,-5.4323,473.73,0
490.62,-5.2709,473.73,0
622.39,-5.3251,473.73,0
427.75,-5.4664,473.73,0
292.99,-5.5254,473.73,0
383.59,-5.3574,473.73,0
338.92,-5.4208,452.2,0
369.08,-5.3702,473.73,0
573.88,-5.1988,452.2,0
644.75,-5.2222,452.2,0
763.55,-4.9806,473.73,0
542.59,-5.2058,473.73,0
541.23,-5.0578,452.2,0
612.56,-5.0344,452.2,0
391.77,-5.1492,236.87,0
319.21,-5.2044,236.87,0
161.17,-5.183,258.4,0
128.05,-5.3666,430.66,0
138.5,-5.3417,473.73,0
140.82,-5.3161,258.4,0
30.39,-5.4969,236.87,0
23.889,-5.5425,258.4,0
81.496,-5.3021,495.26,0
58.246,-5.3717,452.2,0
183.94,-5.1578,473.73,0
230.8,-5.0646,495.26,0
152.28,-5.2154,452.2,0
116.66,-5.3379,473.73,0
241.02,-5.137,473.73,0
352.08,-5.0223,581.4,0
139,-5.304,258.4,0
323.53,-5.0544,559.86,0
173.3,-5.2364,1055.1,0
411.65,-5.0781,301.46,0
175.29,-5.2514,1162.8,0
263.52,-5.1999,1076.7,0
195.37,-5.2395,258.4,0
241.59,-5.1829,473.73,0
359.24,-5.1331,473.73,0
291.57,-5.1649,602.93,0
386.36,-5.1297,473.73,0
405.88,-5.1214,452.2,0
326.85,-5.0954,409.13,0
194.32,-5.2857,409.13,0
228.38,-5.2514,452.2,0
103.39,-5.3554,452.2,0
221.54,-5.0892,409.13,0
383.17,-5.1876,409.13,0
425.79,-5.2435,409.13,0
224.86,-5.2458,430.66,0
340.38,-4.9041,516.8,0
435.12,-4.9088,495.26,0
196.32,-5.0671,258.4,0
106.8,-5.2915,236.87,0
131.5,-5.2048,258.4,0
9.6769,-5.3837,452.2,0
-8.6649,-5.5571,1184.3,0
110.64,-5.3611,452.2,0
197.46,-5.2261,279.93,0
356.76,-4.9787,495.26,0
787.97,-4.5599,516.8,0
220.78,-5.2242,258.4,0
110.93,-5.507,279.93,0
113.37,-5.6749,452.2,0
174.95,-5.6029,323,0
-3.6379,-5.8517,452.2,0
53.164,-5.8885,516.8,0
80.621,-5.9235,495.26,0
87.866,-5.9598,452.2,0
81.816,-5.9349,473.73,0
237.38,-5.7429,473.73,0
130.94,-5.791,258.4,0
168.21,-5.6805,473.73,0
84.4,-5.8015,452.2,0
147.48,-5.6212,452.2,0
131.71,-5.5303,430.66,0
17.043,-5.6534,452.2,0
264.01,-5.2953,495.26,0
211.87,-5.3499,516.8,0
120.34,-5.3906,667.53,0
321.3,-5.1893,430.66,0
288.27,-5.1213,430.66,0
300.85,-5.0789,473.73,0
739.43,-4.6947,516.8,0
1796.6,-4.2477,495.26,0
1392.8,-4.2864,495.26,0
764.87,-4.674,473.73,0
673.81,-4.5664,473.73,0
612.08,-4.6651,495.26,0
633.29,-4.6296,495.26,0
173.76,-5.0196,279.93,0
430.52,-4.8066,236.87,0
522.24,-4.9679,495.26,0
431.31,-4.9534,473.73,0
679.98,-5.1804,473.73,0
476.83,-5.2934,452.2,0
472.38,-5.3432,258.4,0
431.66,-5.5196,258.4,0
354.53,-5.5175,236.87,0
70.819,-5.8305,452.2,0
216.38,-5.7037,409.13,0
199.62,-5.7072,473.73,0
304.07,-5.4663,387.6,1
455.26,-5.2759,409.13,1
457.01,-5.2598,387.6,1
620.09,-5.1033,409.13,1
727.63,-5.0538,409.13,1
648.41,-5.0528,710.6,1
751.68,-4.9114,689.06,1
582.85,-5.0197,646,1
284.54,-5.2136,236.87,1
323.35,-5.3013,904.39,1
488.64,-4.9405,495.26,1
557.15,-4.7765,516.8,1
587.77,-4.8889,538.33,1
267.86,-5.3632,516.8,1
145.55,-5.5975,452.2,1
59.011,-5.7029,323,1
113.47,-5.5808,236.87,1
131.22,-5.5422,236.87,1
14.573,-5.6688,236.87,1
40.519,-5.6709,581.4,1
86.804,-5.5082,430.66,1
94.599,-5.386,538.33,1
555.19,-4.8581,258.4,1
331.81,-4.9868,667.53,0
360.57,-4.8991,667.53,0
594.29,-4.6362,624.46,0
696.32,-4.6304,667.53,0
634.39,-4.6611,430.66,0
521.01,-4.7395,430.66,0
301.49,-5.0133,473.73,0
303.8,-4.9515,430.66,0
362.85,-4.8728,409.13,0
355.63,-5.0138,925.93,0
235.26,-5.1873,215.33,0
287.92,-5.1589,947.46,0
768.26,-4.835,839.79,0
949.75,-4.7236,839.79,0
769.82,-4.8364,839.79,0
829.56,-4.9246,882.86,0
1336,-4.678,904.39,0
1007.3,-4.9584,947.46,0
338.61,-4.6063,21.533,0
160.91,-4.9646,64.6,0
147.31,-5.0799,64.6,0
318.47,-4.832,43.066,0
431.82,-4.78,43.066,1
255.44,-5.0501,43.066,1
1206.2,-5.0981,495.26,1
1711.9,-5.0216,21.533,1
1589.4,-4.8749,43.066,1
1237.3,-5.1536,1270.5,1
1571.6,-5.2016,452.2,1
1938.8,-5.0158,452.2,1
2086.8,-4.8652,452.2,1
2053.3,-5.0621,473.73,1
2100.4,-5.1237,452.2,1
2636.6,-5.139,452.2,1
2436.9,-4.9811,473.73,1
2433.1,-5.144,473.73,1
2563.6,-5.1967,473.73,1
3124.8,-5.0715,473.73,1
3083.9,-4.8455,495.26,1
3150.3,-4.9009,495.26,1
2816.7,-4.9369,473.73,1
2915.1,-4.8644,473.73,1
2536.1,-4.8885,473.73,1
2836,-4.8046,473.73,1
2851.4,-4.8443,473.73,1
2419.8,-4.9456,473.73,1
2513.1,-4.8897,495.26,1
2900,-4.785,495.26,1
2975.5,-4.9252,495.26,1
2872.8,-4.8363,495.26,1
2921.4,-4.9021,495.26,1
2820.4,-4.884,516.8,1
2964.4,-4.9896,516.8,1
2866.7,-4.9534,516.8,1
3244.4,-4.8504,516.8,1
3770.1,-4.7436,516.8,1
3155.8,-4.7945,516.8,1
3352.6,-4.6927,516.8,1
3652.6,-4.7728,516.8,1
3430.8,-4.7356,516.8,1
4072,-4.753,516.8,1
3530.6,-4.7685,516.8,1
3515.2,-4.8086,516.8,1
4394.3,-4.6745,516.8,1
3508.1,-4.6371,516.8,1
3263,-4.5481,516.8,1
3628.4,-4.4995,516.8,1
3199.1,-4.4482,516.8,1
3498.2,-4.4123,516.8,1
3721.5,-4.2786,538.33,1
3094.4,-4.3422,538.33,1
2747.4,-4.4763,538.33,1
1889.8,-4.6743,538.33,1
1383.4,-4.7369,516.8,1
803.83,-5.0375,21.533,1
326.27,-5.4173,43.066,1
231.01,-5.3209,64.6,1
106.15,-5.4096,43.066,1
186.58,-5.0701,21.533,1
221.55,-4.9487,43.066,0
175.54,-4.9398,64.6,0
337.48,-4.7261,43.066,0
300.28,-4.75,21.533,0
129.77,-5.0944,43.066,0
162.21,-5.0162,64.6,0
488.85,-4.4996,43.066,0
286.88,-4.8562,21.533,0
44.236,-5.456,64.6,0
