@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06367,0.04265,291.73,-5.2256,925.93,0
0.053179,0.040835,201.78,-5.3791,150.73,0
0.055817,0.041742,243.2,-5.2815,452.2,0
0.055719,0.041742,227.14,-5.3741,452.2,0
0.047433,0.044465,102.95,-5.4908,430.66,0
0.054388,0.045372,283.72,-5.3709,107.67,0
0.051699,0.049002,82.061,-5.541,107.67,0
0.037665,0.061706,72.068,-5.6496,452.2,0
0.034749,0.061706,-9.3524,-5.7208,689.06,0
0.034479,0.067151,26.326,-5.5286,710.6,0
0.033872,0.066243,-11.694,-5.602,430.66,0
0.028522,0.059891,-43.045,-5.6249,452.2,0
0.038485,0.050817,44.133,-5.4149,323,0
0.052006,0.034483,211.04,-5.398,344.53,0
0.060716,0.038113,282.33,-5.3025,129.2,0
0.054234,0.054446,260.58,-5.3078,279.93,0
0.044913,0.052632,131.31,-5.4504,409.13,0
0.04473,0.045372,154.09,-5.3717,129.2,0
0.03945,0.045372,64.489,-5.5047,473.73,0
0.042355,0.048094,102.21,-5.4741,667.53,0
0.047376,0.053539,211.66,-5.393,624.46,0
0.045213,0.046279,162.35,-5.4229,107.67,0
0.043067,0.055354,89.786,-5.5615,258.4,0
0.041835,0.068966,40.401,-5.631,689.06,0
0.04224,0.073503,82.233,-5.5786,495.26,0
0.044509,0.064428,98.513,-5.5833,387.6,0
0.04489,0.058984,167.55,-5.5662,452.2,0
0.045016,0.065336,78.019,-5.6305,473.73,0
0.037895,0.084392,67.971,-5.6621,387.6,0
0.036997,0.07804,17.651,-5.6912,430.66,0
0.03773,0.068058,54.333,-5.5845,710.6,0
0.0361,0.07441,-3.0602,-5.6052,452.2,0
0.04606,0.068058,124.41,-5.6731,150.73,0
