@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE class	{0,1}

@DATA
-39.679,-5.6444,236.87,30.932,0.33472,0,0
8.098,-5.5721,387.6,16.473,0.66803,182.72,0
27.341,-5.4843,409.13,20.758,0.28368,187.72,0
39.619,-5.5428,215.33,7.5371,0.75415,136.19,0
30.208,-5.6895,236.87,44.82,0.43672,151.5,0
172.62,-5.6098,409.13,81.018,0.33545,0,0
106.26,-5.6494,236.87,71.682,0.69332,208.22,0
269.33,-5.4397,775.2,120.5,0.57151,465.83,0
214.08,-5.5293,796.73,106.3,0.6162,370.47,0
163.77,-5.577,430.66,125.65,0.78371,68.094,0
21.28,-5.7495,775.2,30.549,0.35944,365.43,0
76.066,-5.622,775.2,22.704,0.17485,376.68,0
7.7272,-5.7604,409.13,15.428,0.42536,0,0
137.67,-5.5591,775.2,134.6,0.80522,91.358,0
270.92,-5.5271,430.66,153.98,0.54118,280.76,0
312.7,-5.4532,409.13,99.699,0.41741,265.48,0
207.34,-5.4632,775.2,74.433,0.42568,376.68,0
366.14,-5.3868,775.2,117.94,0.16062,303,0
283.32,-5.4537,538.33,60.544,0.27916,388.2,0
340.27,-5.4154,215.33,234.6,0.59977,117.94,0
606.81,-5.3208,409.13,189.78,0.17742,0,0
458.98,-5.4036,215.33,231.78,0.059752,204.28,0
372.71,-5.3195,796.73,112.04,0.65457,481.26,0
391.61,-5.2425,796.73,137.93,0.077583,92.618,0
469.87,-5.3218,818.26,153.95,0.30385,409.13,0
492.5,-5.2772,387.6,82.218,0.67363,0,0
442.42,-5.1498,818.26,58.73,0.48873,419.76,0
476.91,-5.1844,818.26,168.05,0.73971,487.72,0
560.86,-5.3609,236.87,186.47,0.47424,220.12,0
600.9,-5.2683,409.13,259.1,0.35663,344.87,0
337.42,-5.3126,818.26,147.99,0.11254,0,0
471.08,-5.2635,409.13,160.41,0.61937,93.861,0
446.67,-5.1668,861.33,251.31,0.899,0,0
753.88,-4.9507,409.13,373.73,0.84147,281.58,0
817.23,-4.8808,473.73,401.15,0.68885,159.69,0
1147.7,-4.7563,516.8,819.26,0.97402,105.49,0
1986.8,-4.4819,516.8,970.11,0.90557,0,0
2095.1,-4.3903,516.8,380.01,0.63442,0,0
1849,-4.6652,516.8,1070.7,1.1119,288.9,0
855.02,-4.9203,193.8,696.58,0.80009,45.679,0
713.98,-4.9254,495.26,233.1,0.47686,282.82,0
702.82,-5.0126,516.8,47.896,1.1572,197.36,0
720.51,-5.4597,344.53,226.01,0.73199,136.19,0
561.03,-5.2089,409.13,233.42,0.82645,199.11,0
526.28,-5.1975,538.33,241.94,0.4867,131.86,0
338.59,-5.3001,473.73,117.29,0.63261,142.84,0
607.53,-5.0464,452.2,286.73,0.33885,0,0
609.24,-5.2546,473.73,290.32,0.93918,0,0
884.22,-5.3822,452.2,168.43,0.20814,0,0
673.4,-5.2707,473.73,416.66,0.22704,71.418,0
368.6,-5.4017,473.73,210.29,0.39843,0,0
433.46,-5.3294,473.73,231.35,0.68941,225.84,0
615.55,-5.2234,689.06,293.47,0.53275,0,0
713.28,-5.2208,473.73,225,0.53224,319.39,0
473.6,-5.3319,258.4,166.13,0.35012,52.745,0
829.83,-5.2668,452.2,433.19,0.36267,209.33,0
925.87,-5.2819,452.2,240.02,0.054165,369.22,0
705.39,-5.2679,1055.1,435.63,0.75974,553.83,0
387.8,-5.5011,1033.6,112.31,0.74136,568.08,0
770.44,-5.4677,430.66,390.92,0.73996,360.32,0
784.5,-5.3008,430.66,377.13,0.092243,68.094,0
407.85,-5.4709,409.13,277.98,0.68504,239.3,0
405.57,-5.4724,710.6,132.91,0.27331,262.4,0
320.74,-5.4982,215.33,175.73,0.47723,186.48,0
213.02,-5.5552,387.6,148.08,0.74977,250.19,0
114.85,-5.7006,538.33,31.51,0.23089,0,0
195.72,-5.5739,387.6,132.98,0.64778,204.28,0
295.54,-5.55,753.66,184.51,0.61649,348.88,0
426.1,-5.4369,710.6,196.71,0.77405,349.87,0
477.16,-5.3296,409.13,159.99,0.38276,296.81,0
318.81,-5.4919,279.93,173.89,0.89661,164.7,0
666.86,-5.6224,215.33,159.93,0.31392,68.094,0
395.52,-5.4569,236.87,223.14,0.7941,151.5,0
415.08,-5.3913,409.13,124.17,0.41659,148.41,0
321.23,-5.3925,129.2,195.93,0.44365,139.55,0
176.06,-5.4643,107.67,96.391,0.4561,34.047,0
215.69,-5.3163,107.67,117.1,1.0526,122.76,0
303.21,-5.0474,387.6,61.08,0.61854,241.71,0
240.3,-5.1648,409.13,151.78,0.81762,229.91,0
111.46,-5.3063,129.2,102.2,0.99432,52.745,0
52.876,-5.5374,366.06,21.753,0.76551,0,0
93.563,-5.518,129.2,12,0.29415,123.7,0
49.798,-5.506,129.2,53.059,0.57789,210.98,0
-19.504,-5.6393,818.26,23.193,0.64354,187.72,0
-5.3586,-5.6529,215.33,6.6309,0.34131,272.38,0
-35.915,-5.6805,129.2,8.3503,0.45258,111.89,0
-9.2414,-5.5808,409.13,21.401,0.57663,66.37,0
63.205,-5.5613,150.73,36.054,0.30115,150.73,0
31.892,-5.5482,107.67,40.49,0.90752,48.15,0
166.02,-5.2644,107.67,138.49,0.87406,209.88,0
262.96,-5.2579,925.93,128.56,0.31945,615.49,0
291.73,-5.2256,925.93,94.468,0.5626,599.07,0
201.78,-5.3791,150.73,69.973,0.38783,188.95,0
243.2,-5.2815,452.2,55.528,0.11482,261.08,0
227.14,-5.3741,452.2,126.2,0.74979,69.776,0
102.95,-5.4908,430.66,53.968,0.093822,272.38,0
283.72,-5.3709,107.67,54.436,0.36729,131.86,0
82.061,-5.541,107.67,93.189,0.87871,136.19,0
72.068,-5.6496,452.2,57.393,0.71269,362.56,0
-9.3524,-5.7208,689.06,14.625,0.58825,298.37,0
26.326,-5.5286,710.6,5.552,0.57302,303,0
-11.694,-5.602,430.66,20.14,0.51936,235.88,0
-43.045,-5.6249,452.2,34.663,0.72542,156.02,0
44.133,-5.4149,323,74.879,0.78377,131.86,0
211.04,-5.398,344.53,158.54,0.55073,182.72,0
282.33,-5.3025,129.2,83.626,0.48891,64.6,0
260.58,-5.3078,279.93,140.27,0.62634,197.94,0
131.31,-5.4504,409.13,83.618,0.41706,175.6,0
154.09,-5.3717,129.2,71.753,0.38208,64.6,0
64.489,-5.5047,473.73,40.902,0.53088,357.09,0
102.21,-5.4741,667.53,86.724,0.55288,224.3,0
211.66,-5.393,624.46,79.782,0.37132,418.1,0
162.35,-5.4229,107.67,99.465,0.67591,140.38,0
89.786,-5.5615,258.4,73.991,0.76061,274.07,0
40.401,-5.631,689.06,12.352,0.21938,285.67,0
82.233,-5.5786,495.26,48.881,0.36473,273.23,0
98.513,-5.5833,387.6,64.825,0.18615,91.358,0
167.55,-5.5662,452.2,41.435,0.36257,139.55,0
78.019,-5.6305,473.73,62.325,0.51967,123.7,0
67.971,-5.6621,387.6,45.295,0.41455,91.358,0
17.651,-5.6912,430.66,10.971,0.46991,263.73,0
54.333,-5.5845,710.6,23.72,0.48997,87.468,0
-3.0602,-5.6052,452.2,10.355,0.49831,355.79,0
124.41,-5.6731,150.73,93.837,0.54078,312.05,0
138.5,-5.7083,1744.2,58.117,0.66784,512.74,0
173.18,-5.5169,452.2,12.461,0.63669,540.48,0
140.29,-5.5614,452.2,118.2,0.61986,0,0
372.37,-5.3787,452.2,199.18,0.77754,69.776,0
353.37,-5.3366,430.66,116.14,0.79259,68.094,0
448.71,-5.1433,430.66,69.173,0.11852,0,0
374.7,-5.3311,430.66,33.376,0.9346,0,0
454.65,-5.471,430.66,224.32,0.59193,0,0
596.04,-5.4592,430.66,216,0.39149,0,0
298.1,-5.5271,430.66,149.18,0.63278,0,0
446.73,-5.6041,430.66,174.15,0.88247,68.094,0
162.32,-5.805,452.2,156.28,0.56378,0,0
145.81,-5.7136,430.66,98.137,0.5161,235.88,0
30.213,-5.7118,710.6,40.573,0.51777,327.28,0
36.839,-5.6197,732.13,39.243,0.89722,88.784,0
113.82,-5.4253,732.13,96.619,0.97834,307.56,0
200.87,-5.2669,473.73,279.15,0.90591,311.3,0
889.7,-5.7369,323,693.79,1.0626,176.91,0
1282.9,-5.6605,279.93,259.37,0.74927,145.25,0
994.57,-5.5386,473.73,443.61,0.92819,214.25,0
887.19,-5.3494,473.73,330.18,0.6314,257.5,0
748.8,-5.3895,753.66,288.16,0.54411,298.76,1
1109,-5.2395,710.6,214.31,0.65528,87.468,1
831.64,-5.2256,775.2,474.91,0.67504,204.28,1
566.59,-5.4139,818.26,389.28,0.71703,229.91,1
1366.6,-5.0357,646,732.54,1.146,186.48,1
1351.9,-4.8924,710.6,589.37,0.55763,276.6,1
852.69,-5.1628,430.66,403.56,0.64221,245.52,1
969.95,-5.0521,430.66,116.76,0.65436,68.094,1
824.57,-4.9933,452.2,257.2,0.87672,69.776,1
1130.4,-4.7443,452.2,310.71,0.62403,0,1
995.38,-4.8291,452.2,168.12,0.49793,0,1
1073.6,-4.847,452.2,218.76,0.69716,0,1
906.23,-5.0297,452.2,411.49,0.80129,0,1
699.92,-5.1023,452.2,307.81,0.61076,69.776,1
635.49,-5.1759,430.66,297.52,0.66256,68.094,1
