@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE cepstralMostDominantPeak_delta REAL
@ATTRIBUTE cepstralNumPeaks_delta REAL
@ATTRIBUTE cepstralLocFirstPeak_delta REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.14688,0.032668,1453.3,-4.408,495.26,0.0083881,0,0,0.69525,9,0.067469,0.013881,863.88,0.57816,146.05,0.0090748,0,0,0.2448,3,0
0.12496,0.022686,782.22,-4.716,473.73,0.0014289,0,0,0.6928,9,0.059902,0.0045372,575.56,0.95895,71.418,0.0019004,0,0,0.26514,2.1213,0
0.089448,0.034483,606.29,-4.798,516.8,0.003333,0,0,0.49232,8,0.042133,0.017689,211.79,0.66052,105.49,0.0032344,0,0,0.052215,2,0
0.085269,0.040835,634.26,-4.8978,516.8,0.0077064,0,0,0.68173,10,0.0025213,0.0074554,228.22,0.94322,166.8,0.0065633,0,0,0.11466,4.4721,0
0.089299,0.03176,442.05,-5.1613,409.13,0.014513,1,8,0.53089,12,0.023983,0.015184,252.32,1.0498,175.6,0.0077149,1,5.6569,0.18698,3.4641,0
0.072387,0.026316,346.2,-5.3249,366.06,0.015909,2,8,0.55001,12,0.025594,0.008464,283.4,0.28849,153.78,0.0091105,1,5.6569,0.13014,4.2426,1
0.1074,0.026316,906.02,-5.13,538.33,0.0040781,0,0,0.46931,9,0.062624,0.0091422,548.71,0.72114,170.23,0.0028635,0,0,0.33196,3.6742,1
0.14542,0.032668,1010.8,-5.1222,473.73,0.011888,3,13,1.0196,9,0.068979,0.014911,629.46,0.43217,123.7,0.01423,1.2247,9.1924,0.65875,0,1
0.17284,0.039927,1690,-5.0571,473.73,0.038145,1,13,1.3205,9,0.066472,0.015346,862.26,0.50497,0,0.027672,0.70711,7.6485,0.35627,0,1
0.19655,0.044465,1890.7,-5.0213,473.73,0.052036,4,4,1.2119,9,0.066738,0.0044916,282.15,0.44401,0,0.011182,2,4.2426,0.35009,4.2426,1
0.21816,0.03902,1774.2,-4.9786,473.73,0.042951,3,4,1.1182,13,0.058246,0.012623,704.22,0.3442,71.418,0.014281,1.2247,0,0.22096,6.245,1
0.22765,0.036298,2449.8,-4.9737,495.26,0.04254,3,4,1.2992,15,0.044581,0.0040582,1060.5,0.48272,73.023,0.021287,1.2247,0,0.092003,3.873,1
0.23562,0.039927,2692.3,-5.0723,495.26,0.064254,4,4,1.1313,15,0.017682,0.014116,651.25,0.23818,0,0.019406,0,0,0.39745,6.7082,1
0.23031,0.046279,2764.8,-4.9514,495.26,0.054261,3,4,1.0199,21,0.024188,0.011224,409.28,0.47185,0,0.015336,1.2247,0,0.053044,5.6125,1
0.23054,0.045372,2571.1,-4.9823,495.26,0.055585,3,4,1.1368,18,0.009923,0.0045372,857.48,0.32661,0,0.0074259,0,0,0.3348,10.392,1
0.23116,0.047187,2192.9,-4.9942,495.26,0.056245,3,4,1.2171,9,0.037399,0.012242,743.55,0.29532,0,0.011147,1.2247,0,0.24373,2.1213,1
0.21844,0.051724,2066.9,-5.0173,495.26,0.051167,4,4,1.2344,19,0.0029856,0.006851,592.37,0.19,73.023,0.020277,1.4142,0,0.37427,10.223,1
0.23124,0.045372,2532.4,-4.9798,473.73,0.040174,4,4,1.4441,20,0.032618,0,488.68,0.41962,0,0.0037792,1.4142,0,0.15461,5.4772,1
0.22764,0.051724,2255.5,-5.088,495.26,0.050456,3,4,1.2013,22,0.035225,0.017467,669.1,0.5476,73.023,0.0074122,0,0,0.31261,11,1
0.22034,0.057169,2135.5,-5.0977,495.26,0.042352,4,4,1.2814,31,0.011346,0.0072026,399.73,0.47915,73.023,0.010471,0,0,0.20112,10.416,1
0.22881,0.049909,2405.1,-4.9979,473.73,0.055634,3,4,1.2644,15,0.040089,0.020189,680.88,0.56345,71.418,0.0038939,0,0,0.18641,12.845,1
0.23439,0.040835,2521,-4.9706,473.73,0.041806,4,4,1.3363,9,0.00948,0.013612,682.72,0.34365,71.418,0.014466,1.4142,0,0.20055,5.1962,1
0.22957,0.040835,2035.4,-5.0454,495.26,0.045623,4,4,1.2042,9,0.025646,0.0043044,332.88,0.41386,73.023,0.0066684,1.4142,0,0.036034,0,1
0.24012,0.039927,2412.1,-4.9027,495.26,0.039857,3,4,1.3385,9,0.037537,0.0085126,783.67,0.43377,73.023,0.017027,1.7321,0,0.11706,0,1
0.24131,0.044465,2544.6,-4.9687,473.73,0.060171,2,4,1.1838,9,0.017641,0.015559,429.28,0.19744,71.418,0.022873,0,0,0.30797,4.7434,1
0.23754,0.050817,2267.2,-4.9184,473.73,0.057247,3,4,1.1782,14,0.018256,0,212.49,0.38131,0,0.014147,1.2247,0,0.18077,0,1
0.24412,0.044465,2584.4,-5.0278,473.73,0.067162,3,4,1.2392,9,0.047491,0.010044,480.95,0.69222,0,0.032222,1.2247,0,0.31226,5.1962,1
