@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
369.39,5.4503,646,0.010385,1,18,297.13,1.1702,559.86,0.009887,1,18,1
829.47,5.1367,279.93,0.017223,1,14,757.2,0.85659,193.8,0.016724,1,14,1
564.21,5.0627,107.67,0.012071,2,12,491.95,0.78258,21.533,0.011572,2,12,1
522.6,5.0986,258.4,0.001921,0,0,450.33,0.81845,172.27,0.0014227,0,0,1
356.69,5.1963,258.4,0.0017938,0,0,284.43,0.91623,172.27,0.0012955,0,0,0
196.48,5.315,366.06,0.0091828,0,0,124.22,1.0349,279.93,0.0086845,0,0,0
151.58,5.2687,279.93,0.003922,0,0,79.32,0.98861,193.8,0.0034237,0,0,0
117.11,5.3216,258.4,0.0072803,0,0,44.85,1.0415,172.27,0.006782,0,0,0
176.19,5.1642,279.93,0.0023413,0,0,103.93,0.88408,193.8,0.001843,0,0,0
118.34,5.1615,279.93,0.004222,0,0,46.078,0.88138,193.8,0.0037236,0,0,0
71.297,5.2231,258.4,0.00051425,0,0,0,0.94301,172.27,1.5928e-05,0,0,0
44.165,5.2872,258.4,0.0050776,0,0,0,1.0071,172.27,0.0045793,0,0,0
19.407,5.3507,581.4,0.0057332,0,0,0,1.0706,495.26,0.0052349,0,0,0
25.592,5.3161,258.4,0.0012748,0,0,6.1852,1.036,172.27,0.00077652,0,0,0
35.451,5.42,129.2,0.0038995,0,0,16.044,1.1398,43.066,0.0034012,0,0,0
76.76,5.592,107.67,0.0026822,0,0,57.353,1.3119,21.533,0.0021839,0,0,0
31.862,5.4581,559.86,0.0084896,0,0,12.455,1.178,473.73,0.0079912,0,0,0
20.129,5.4133,301.46,0.0045892,0,0,0.72145,1.1332,215.33,0.0040909,0,0,0
51.918,5.5397,258.4,0.0018211,0,0,32.51,1.2596,172.27,0.0013228,0,0,0
40.5,5.4734,387.6,0.0048789,0,0,21.092,1.1932,301.46,0.0043806,0,0,0
1.6389,5.3789,150.73,0.006002,0,0,0,1.0988,64.6,0.0055037,0,0,0
46.959,5.5092,279.93,0.0047016,0,0,45.32,1.2291,193.8,0.0042032,0,0,0
75.383,5.6071,495.26,0.0042172,0,0,73.744,1.327,409.13,0.0037188,0,0,0
18.768,5.4726,150.73,0.015203,1,12,17.129,1.1925,64.6,0.014705,1,12,0
11.081,5.4097,150.73,0.0055432,0,0,9.4419,1.1296,64.6,0.0050449,0,0,0
32.667,5.3872,172.27,0.0074417,0,0,31.028,1.1071,86.133,0.0069434,0,0,0
6.4531,5.4119,409.13,0.0048458,0,0,4.8142,1.1318,323,0.0043475,0,0,0
8.9179,5.4334,387.6,0.0050197,0,0,7.2791,1.1533,301.46,0.0045214,0,0,0
6.3679,5.3849,409.13,0.0034342,0,0,4.7291,1.1048,323,0.0029358,0,0,0
28.502,5.4539,581.4,0.0026225,0,0,26.864,1.1738,495.26,0.0021241,0,0,0
40.129,5.6118,387.6,0.01195,2,12,38.49,1.3317,301.46,0.011452,2,12,0
39.679,5.6444,236.87,0.002826,0,0,38.04,1.3643,150.73,0.0023277,0,0,0
8.098,5.5721,387.6,0.0092,0,0,6.4592,1.292,301.46,0.0087017,0,0,0
27.341,5.4843,409.13,0.0068255,0,0,25.702,1.2041,323,0.0063272,0,0,0
39.619,5.5428,215.33,0.0093862,0,0,37.98,1.2627,129.2,0.0088878,0,0,0
30.208,5.6895,236.87,0.012458,1,9,28.569,1.4094,150.73,0.01196,1,9,0
172.62,5.6098,409.13,0.011677,1,7,170.98,1.3297,323,0.011179,1,7,0
106.26,5.6494,236.87,0.011249,1,9,104.62,1.3692,150.73,0.010751,1,9,0
269.33,5.4397,775.2,0.0147,2,10,267.7,1.1596,689.06,0.014202,2,10,0
214.08,5.5293,796.73,0.0064735,0,0,212.44,1.2492,710.6,0.0059751,0,0,0
163.77,5.577,430.66,0.0079749,0,0,162.14,1.2969,344.53,0.0074766,0,0,0
21.28,5.7495,775.2,0.0084302,0,0,19.641,1.4694,689.06,0.0079319,0,0,0
76.066,5.622,775.2,0.0077837,0,0,74.427,1.3418,689.06,0.0072854,0,0,0
7.7272,5.7604,409.13,0.016736,1,13,6.0883,1.4803,323,0.016238,1,13,0
137.67,5.5591,775.2,0.011249,1,9,136.03,1.279,689.06,0.01075,1,9,0
270.92,5.5271,430.66,0.0094006,0,0,269.28,1.247,344.53,0.0089023,0,0,0
312.7,5.4532,409.13,0.004712,0,0,311.06,1.173,323,0.0042137,0,0,0
207.34,5.4632,775.2,0.0050084,0,0,205.7,1.1831,689.06,0.0045101,0,0,0
366.14,5.3868,775.2,0.015817,1,10,364.5,1.1067,689.06,0.015319,1,10,0
283.32,5.4537,538.33,0.0041298,0,0,281.68,1.1735,452.2,0.0036315,0,0,0
340.27,5.4154,215.33,0.0028436,0,0,338.63,1.1353,129.2,0.0023453,0,0,0
606.81,5.3208,409.13,0.0054191,0,0,605.17,1.0407,323,0.0049208,0,0,0
458.98,5.4036,215.33,0.015194,1,26,457.34,1.1235,129.2,0.014695,1,26,0
372.71,5.3195,796.73,0.014863,1,26,371.07,1.0394,710.6,0.014364,1,26,0
391.61,5.2425,796.73,0.0036392,0,0,389.97,0.96236,710.6,0.0031409,0,0,0
469.87,5.3218,818.26,0.0073539,0,0,468.23,1.0417,732.13,0.0068556,0,0,0
492.5,5.2772,387.6,0.0050014,0,0,490.86,0.99706,301.46,0.0045031,0,0,0
442.42,5.1498,818.26,0.0072337,0,0,440.78,0.86968,732.13,0.0067354,0,0,0
476.91,5.1844,818.26,0.012223,1,28,475.27,0.90429,732.13,0.011725,1,28,0
560.86,5.3609,236.87,0.011661,1,19,559.22,1.0808,150.73,0.011163,1,19,0
600.9,5.2683,409.13,0.0022487,0,0,599.27,0.9882,323,0.0017504,0,0,0
337.42,5.3126,818.26,0.0095318,0,0,335.78,1.0325,732.13,0.0090335,0,0,0
471.08,5.2635,409.13,0.0074443,0,0,469.44,0.98343,323,0.0069459,0,0,0
446.67,5.1668,861.33,0.0058104,0,0,445.03,0.88672,775.2,0.0053121,0,0,0
753.88,4.9507,409.13,0.0030615,0,0,752.24,0.67059,323,0.0025632,0,0,0
817.23,4.8808,473.73,0.00098521,0,0,815.59,0.60067,387.6,0.00048689,0,0,0
1147.7,4.7563,516.8,0.0026277,0,0,1146.1,0.47615,430.66,0.0021294,0,0,0
1986.8,4.4819,516.8,0.0010851,0,0,1985.2,0.20174,430.66,0.00058679,0,0,0
2095.1,4.3903,516.8,0,0,0,2093.4,0.1102,430.66,0,0,0,0
1849,4.6652,516.8,0.00055272,0,0,1847.3,0.38509,430.66,0.00055272,0,0,0
855.02,4.9203,193.8,0.0026443,0,0,853.38,0.6402,107.67,0.0026443,0,0,0
713.98,4.9254,495.26,0.0007549,0,0,712.34,0.6453,409.13,0.0007549,0,0,0
