@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.039998,0.038113,0.011567,43,0
0.095288,0.057169,0.028153,73,0
0.10643,0.076225,0.027937,76,0
0.092445,0.058984,0.014719,149,0
0.097162,0.048094,0.017492,54,0
0.089413,0.056261,0.022826,125,1
0.092038,0.049909,0.013987,119,1
0.084138,0.04265,0.029844,121,1
0.080269,0.043557,0.022041,107,1
0.12653,0.037205,0.020187,7,1
0.12999,0.041742,0.021509,67,1
0.092544,0.049909,0.03465,59,1
0.094783,0.041742,0.051895,53,1
0.097709,0.047187,0.053668,49,1
0.10879,0.050817,0.05207,49,1
0.11361,0.048094,0.056282,49,1
0.11402,0.050817,0.050723,49,1
0.10222,0.051724,0.058665,50,1
0.077406,0.048094,0.050694,51,1
0.080363,0.048094,0.049605,53,1
0.090566,0.057169,0.047637,58,1
0.084963,0.062613,0.031774,59,1
0.074614,0.054446,0.035136,65,1
0.073955,0.052632,0.02448,53,1
0.079374,0.045372,0.025187,72,1
0.097048,0.038113,0.029572,77,1
0.10269,0.037205,0.033466,85,1
0.094988,0.03902,0.030472,89,1
0.093199,0.04265,0.023575,95,1
0.083552,0.044465,0.031772,40,1
0.069744,0.049002,0.021319,121,1
0.069224,0.043557,0.016783,33,1
0.070326,0.03902,0.016691,67,1
0.06722,0.044465,0.021505,25,1
0.073231,0.050817,0.021837,34,1
0.072589,0.052632,0.023675,140,1
0.068217,0.050817,0.012302,17,1
0.070779,0.049909,0.012719,86,1
0.06169,0.056261,0.01674,45,1
0.051685,0.053539,0.012685,141,1
0.051016,0.050817,0.02185,95,1
0.063409,0.052632,0.021695,137,1
0.07114,0.047187,0.022352,134,1
0.069998,0.044465,0.017239,33,1
0.069623,0.044465,0.021972,92,1
0.067077,0.04265,0.018588,32,1
0.070426,0.049002,0.020208,123,1
0.067353,0.055354,0.022559,124,1
0.064874,0.046279,0.027552,120,1
0.058759,0.055354,0.031326,120,1
0.05826,0.079855,0.030041,114,1
0.072598,0.083485,0.025389,121,1
0.082709,0.058076,0.019648,117,1
0.08786,0.046279,0.02198,74,1
0.19237,0.041742,0.024129,51,1
0.32618,0.026316,0.054297,124,1
0.38573,0.024501,0.051476,34,1
0.37606,0.026316,0.048289,34,1
0.40238,0.028131,0.053219,28,1
0.47413,0.03176,0.076305,25,1
0.55342,0.030853,0.060812,23,1
0.58618,0.028131,0.070137,24,1
0.56802,0.026316,0.073898,26,1
0.53219,0.024501,0.072267,110,1
0.4826,0.023593,0.08317,29,1
0.4057,0.023593,0.093202,31,1
0.31669,0.023593,0.077384,34,1
0.29712,0.022686,0.07664,36,1
0.27289,0.025408,0.073334,38,1
0.22202,0.034483,0.06035,39,1
0.18628,0.046279,0.057528,41,1
0.17382,0.053539,0.065676,44,1
0.16445,0.053539,0.063406,46,1
0.15684,0.049002,0.044223,46,1
0.16887,0.039927,0.060476,46,1
0.16712,0.038113,0.061272,46,1
0.16211,0.041742,0.053173,45,1
0.16653,0.03539,0.062955,46,1
0.16525,0.032668,0.067197,47,1
0.16533,0.033575,0.054446,48,1
0.16331,0.04265,0.045756,150,1
0.13729,0.061706,0.042999,49,1
0.13771,0.058076,0.051665,151,1
0.16164,0.041742,0.042852,48,1
0.16018,0.036298,0.046265,48,1
0.15419,0.047187,0.043647,148,1
0.15927,0.052632,0.063687,47,1
0.19706,0.043557,0.064398,45,1
0.24505,0.033575,0.061965,45,1
0.25952,0.027223,0.059437,45,1
0.22094,0.043557,0.061442,44,1
0.16569,0.062613,0.047591,41,1
0.18855,0.053539,0.043564,41,1
0.19614,0.050817,0.056067,41,1
0.19796,0.051724,0.057158,40,1
0.20445,0.046279,0.06483,40,1
0.18435,0.049002,0.078706,39,1
0.19416,0.048094,0.071907,38,1
0.22498,0.049909,0.067245,37,1
0.26405,0.045372,0.062033,36,1
0.29402,0.037205,0.060631,35,1
0.3055,0.033575,0.052999,35,1
0.31037,0.037205,0.043539,35,1
0.3207,0.04265,0.035185,124,1
0.33803,0.033575,0.045462,32,1
0.34045,0.030853,0.052744,32,1
0.34577,0.037205,0.041744,36,1
0.36559,0.03176,0.047042,39,1
0.35383,0.026316,0.032401,36,1
0.33585,0.026316,0.041417,40,1
0.34308,0.023593,0.046728,127,1
0.32322,0.023593,0.046076,39,1
0.29329,0.025408,0.051836,39,1
0.2996,0.024501,0.04984,40,1
0.36431,0.022686,0.042101,40,1
0.43108,0.021779,0.039781,40,1
0.45988,0.023593,0.044304,40,1
0.46749,0.022686,0.063431,40,1
0.45149,0.020871,0.04965,41,1
0.41661,0.020871,0.038105,43,1
0.33721,0.020871,0.042159,39,1
0.25219,0.020871,0.038502,40,1
0.2016,0.054446,0.032528,62,1
0.14344,0.075318,0.018354,39,1
0.11078,0.066243,0.016328,39,1
0.081327,0.072595,0.016693,58,1
0.066454,0.060799,0.012953,42,0
0.084831,0.069873,0.031497,67,0
0.085024,0.090744,0.02903,31,0
0.069063,0.087114,0.025247,45,0
0.053963,0.090744,0.012107,32,0
0.046173,0.094374,0.022938,103,0
0.036997,0.096189,0.01882,49,0
0.031004,0.098911,0.012662,79,0
0.035757,0.091652,0.015937,31,0
0.032405,0.07441,0.014431,119,0
0.028084,0.069873,0.018995,35,0
0.032116,0.068966,0.015582,82,0
0.030184,0.057169,0.0091221,82,0
0.025293,0.057169,0.012735,74,0
0.019024,0.062613,0.015099,41,0
0.020588,0.065336,0.0069484,39,0
0.019553,0.073503,0.013367,117,0
0.015711,0.071688,0.0082892,54,0
0.011367,0.068966,0.011469,115,0
0.0028615,0.077132,0.0074685,25,0
0.0030309,0.078947,0.0081827,115,0
0.0045827,0.086207,0.0069159,31,0
0.0093703,0.099819,0.014025,13,0
0.017358,0.068966,0.0071658,13,0
0.016999,0.048094,0.0030127,151,0
0.010928,0.057169,0.0090791,66,0
0.008388,0.063521,0.0065708,74,0
0.01356,0.062613,0.01161,46,0
0.015398,0.076225,0.0083305,45,0
0.022546,0.11525,0.011414,27,0
0.035683,0.12886,0.022066,27,0
0.035229,0.1216,0.020297,61,0
0.038359,0.090744,0.017881,69,0
0.037931,0.07078,0.021373,36,0
0.031556,0.07804,0.014979,71,0
0.030875,0.076225,0.018025,77,0
0.02886,0.069873,0.024052,52,0
0.0423,0.055354,0.016868,66,0
0.042141,0.041742,0.012726,66,0
0.033466,0.045372,0.0044957,78,0
0.055728,0.040835,0.012388,66,0
0.072678,0.041742,0.018933,75,0
0.057424,0.066243,0.0080918,141,0
0.052613,0.079855,0.020702,62,0
0.048205,0.07804,0.01293,62,0
0.022253,0.080762,0.006475,123,0
0.02247,0.10254,0.026274,57,0
0.022392,0.10526,0.016466,40,0
0.022202,0.076225,0.014746,133,0
0.020076,0.072595,0.013192,135,0
0.024042,0.073503,0.02031,80,0
0.040586,0.073503,0.014239,33,1
0.084367,0.072595,0.01757,88,1
0.17001,0.061706,0.028226,41,1
0.27422,0.044465,0.047332,33,1
0.26725,0.049002,0.028977,28,1
0.22131,0.049909,0.028044,32,1
0.30659,0.03176,0.01725,27,1
0.32814,0.030853,0.030655,8,1
0.26962,0.044465,0.070281,33,1
0.23756,0.066243,0.094883,34,1
0.19034,0.078947,0.064793,37,1
0.13243,0.085299,0.033748,49,1
0.1122,0.078947,0.02221,62,1
0.084757,0.073503,0.017509,118,1
0.060348,0.078947,0.027162,25,1
0.042716,0.087114,0.011566,75,1
0.037451,0.076225,0.018146,84,1
0.034511,0.065336,0.012478,84,0
0.02639,0.061706,0.0096391,50,0
0.076495,0.07078,0.01023,68,0
0.094051,0.095281,0.014898,90,0
0.06664,0.097096,0.014009,34,0
0.047959,0.084392,0.011337,62,0
0.039116,0.089837,0.014571,61,0
0.041917,0.094374,0.017136,71,0
0.040243,0.075318,0.018695,66,0
0.034309,0.072595,0.0188,82,0
0.035608,0.068966,0.013285,97,0
0.078751,0.045372,0.012897,55,0
0.10492,0.030853,0.019301,146,0
0.10173,0.03539,0.019947,145,0
0.080157,0.039927,0.0068465,38,0
0.081401,0.041742,0.01825,34,0
0.089192,0.046279,0.01044,58,0
0.073511,0.043557,0.01109,138,0
0.063286,0.048094,0.014656,55,0
0.059822,0.050817,0.016123,137,0
0.085329,0.036298,0.017648,145,0
0.098592,0.026316,0.017005,34,0
0.07852,0.030853,0.016085,52,0
0.051126,0.047187,0.0038221,35,0
0.057279,0.045372,0.014277,54,0
0.060872,0.034483,0.0080284,23,0
0.070191,0.029946,0.0066211,31,0
0.084513,0.03176,0.0084249,68,0
0.092639,0.030853,0.0088996,48,0
0.10481,0.026316,0.003854,57,0
0.098524,0.022686,0.0042404,143,0
0.084799,0.029038,0,54,0
0.08196,0.036298,0.0019153,42,0
0.072795,0.026316,0.0072095,35,0
0.050225,0.023593,0.0081069,49,0
0.029577,0.032668,0.0043117,40,0
0.018282,0.043557,0.0055365,24,0
0.019907,0.03902,0.0042352,54,0
0.020366,0.039927,0,135,0
0.012734,0.049002,0.0034441,63,0
0.011011,0.050817,0.0053811,73,0
0.011924,0.049909,0.0082182,108,0
0.020089,0.040835,0.00402,41,0
0.028001,0.036298,0.0076944,43,0
0.029843,0.038113,0.0054098,34,0
0.030976,0.043557,0.0064876,99,0
0.027088,0.04265,0.001399,49,0
0.039271,0.034483,0.0058015,24,0
0.040154,0.03539,0.010722,23,0
0.030776,0.033575,0.0037347,117,0
0.032577,0.036298,0.01026,101,0
0.038881,0.04265,0.010805,23,0
0.037802,0.046279,0.011418,25,0
0.026355,0.049002,0.0028429,74,0
0.027982,0.04265,0.013135,25,0
0.036752,0.034483,0,35,0
0.042842,0.03539,0.0066238,32,0
0.044436,0.034483,0.0093082,35,0
0.04093,0.039927,0.0041125,115,0
0.048532,0.041742,0.018309,68,0
0.062783,0.033575,0.013206,25,0
0.051812,0.03902,0.01128,62,0
0.034817,0.043557,0.011403,35,0
0.028863,0.056261,0.016796,53,0
0.032297,0.045372,0.0057201,50,0
