@relation featureMatrix

@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.020796,5,1
0.073494,3,1
0.15939,3,1
0.17625,3,1
0.38852,3,1
0.24504,3,1
0.3886,3,1
0.38747,2,1
0.53156,2,1
0.68749,2,1
0.42233,2,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0.00019306,4,0
0,1,0
0,1,0
0,1,0
0.00052074,5,0
0,1,0
0.00094571,3,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.00066585,4,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.028094,4,0
0,1,0
0.0070404,2,0
0.0003167,1,0
0.011119,7,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.0053097,13,0
0.00025096,3,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.00084601,4,0
0.0017725,7,0
0.0067071,14,0
0.00033832,1,0
0.0017432,11,0
0.0015392,10,0
0,1,0
0.0010715,5,0
0.00041798,1,0
0.007226,17,0
0.0040021,7,0
0,1,0
0,1,0
0.00081262,3,0
0.042637,23,0
0.008674,23,0
0.005393,14,0
0.046969,19,0
0.061134,17,0
0.022065,12,0
0.0068508,7,0
0.01084,12,0
0.0008759,3,0
0.00034668,1,0
0,1,0
0.0051239,1,0
0.022516,3,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.019935,2,0
0,1,0
0.0049824,9,0
0,1,0
0,1,0
0,1,0
0.01201,4,0
0.00029176,1,0
0,1,0
0,1,0
0,1,0
0.030773,2,0
0,1,0
0.00064517,4,0
0,1,0
0,1,0
0,1,0
0,1,0
0.039592,2,0
0,1,0
0,1,0
0,1,0
0.0067486,19,0
0,1,0
0,1,0
0,1,0
0.00035692,8,0
0,1,0
0,1,0
0.003997,2,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.0054546,5,0
0,1,0
0,1,0
0,1,0
0.0031532,4,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.0024129,6,0
0,1,0
0,1,0
0,1,0
0,1,0
0.00011322,2,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.0010014,6,0
0.004445,13,0
0,1,0
0,1,0
0,1,0
0.00056489,14,0
0,1,0
0,1,0
0,1,0
0,1,0
0.033562,3,1
0.036599,3,1
0.28434,3,1
0.20507,2,1
0.51062,3,1
0.44013,3,1
0.37533,3,1
0.86243,5,1
0.88307,6,1
0.74753,7,1
0.92337,8,1
0.99599,8,1
0.75592,7,1
0.3645,6,1
0.32893,5,1
0.62153,5,1
0.58035,4,1
0.35027,5,1
0.31291,3,1
0.72806,3,1
0.58772,3,1
0.60305,3,1
0.95255,3,1
0.78218,2,1
0.49535,2,1
0.22637,3,1
0.13536,2,1
0.13083,2,1
0.20165,2,1
0.20693,3,1
0.098902,2,1
0.18935,4,1
0.1728,6,1
0.15836,4,1
0.16674,3,1
0.13798,3,1
0.20936,4,1
0.36532,4,1
0.2015,3,1
0.16891,4,1
0.23319,3,1
0.32522,4,1
0.35214,6,1
0.16138,2,1
0.20462,3,1
0.41916,5,1
0.30525,3,1
0.11425,3,1
0.082314,5,1
1.0435,2,1
1.3624,2,1
1.5433,2,1
1.4681,2,1
1.3131,2,1
1.5077,2,1
1.531,2,1
1.6177,2,1
1.5625,2,1
1.5573,2,1
1.5291,2,1
1.4862,2,1
1.4327,2,1
1.3714,2,1
1.3978,2,1
1.3517,2,1
1.2224,2,1
0.97571,2,1
0.93142,2,1
1.0295,4,1
1.1027,4,1
0.98986,2,1
1.1112,2,1
1.1187,3,1
1.2022,7,1
1.292,9,1
1.1514,9,1
0.96759,8,1
0.77679,8,1
1.0221,8,1
1.3547,9,1
0.93794,8,1
0.92492,9,1
1.1549,9,1
1.1917,9,1
0.98318,9,1
0.84782,9,1
1.0812,9,1
1.1559,8,1
1.2187,2,1
1.1717,2,1
1.2306,2,1
1.1742,2,1
0.99502,2,1
1.0565,3,1
1.4397,3,1
1.3737,3,1
1.3815,2,1
1.4564,2,1
1.4858,2,1
1.4911,2,1
1.4752,2,1
1.4061,2,1
1.4874,2,1
1.5036,2,1
1.5007,2,1
1.5196,2,1
1.5422,2,1
1.4838,2,1
1.484,2,1
1.5788,2,1
1.658,2,1
1.6562,2,1
1.683,2,1
1.6496,2,1
1.6235,2,1
1.5687,2,1
1.4888,2,1
1.3268,2,1
0.33259,2,1
0,1,1
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0.020444,1,0
0.00020407,5,0
0,1,0
0.00031109,15,0
0.012997,4,0
0,1,0
0.021131,2,0
0.01039,6,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
3.062e-05,1,0
0.006331,4,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
5.4237e-05,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.035097,6,0
0.0049042,1,0
0.0001116,1,0
0.010827,3,0
7.1141e-05,2,0
0,1,0
6.4017e-05,1,0
0.012457,6,0
0,1,0
0,1,0
0,1,0
0.00060419,3,0
3.2921e-05,1,0
0.0027325,3,1
0.19989,6,1
0.77196,2,1
1.2642,2,1
1.0212,2,1
0.79507,2,1
0.81377,3,1
0.90208,2,1
1.1847,3,1
1.1882,2,1
1.0451,3,1
0.51388,5,1
0.42065,8,1
0.3068,3,1
0.068032,5,1
0.02304,1,1
0.0081088,4,1
0.070597,1,0
0.0072459,3,0
0.17783,1,0
0.2603,1,0
0.04056,3,0
0,1,0
0,1,0
0.03016,2,0
0,1,0
0,1,0
0.065622,1,0
0.11847,2,0
0,1,0
0,1,0
0,1,0
0.0037054,2,0
6.066e-05,1,0
0.00042861,2,0
0.088253,3,0
0,1,0
0.026708,1,0
0,1,0
0,1,0
0.010555,5,0
0.066991,4,0
0,1,0
0.014804,4,0
0,1,0
0.0001034,1,0
0,1,0
0.0098272,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.00044851,4,0
0.01458,2,0
0,1,0
0,1,0
0,1,0
0.00014462,3,0
0.0053718,6,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.00062451,5,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.0064099,5,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.00094355,3,0
0,1,0
0,1,0
0,1,0
0,1,0
0.010112,4,0
0,1,0
0,1,0
0.00033561,1,0
0,1,0
0.0027231,2,0
0.0028188,9,0
0.030807,6,0
0,1,0
0,1,0
0,1,0
0.00032337,3,0
6.4021e-05,2,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.00026565,1,0
0.017988,3,0
0,1,0
0,1,0
0,1,0
9.7724e-05,1,0
0.0016624,6,0
0,1,0
0.0076998,8,0
5.4853e-05,1,0
0.0076386,3,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.031691,5,1
0.012913,4,1
0.0075732,1,1
0.010529,3,1
0.11781,3,1
0.039343,3,1
0.13688,3,1
0.094853,4,1
0.30422,4,1
0.14591,2,1
0.29816,2,1
0.91862,2,1
0.98661,2,1
0.074358,2,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0.022042,8,1
0.00071674,4,1
0,1,1
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0.00013511,2,0
0,1,0
0.00012254,2,0
0,1,0
0,1,0
0,1,0
0.0010086,10,0
0,1,0
0,1,0
4.3361e-05,1,0
0,2,0
0.050517,2,0
0,1,0
0,1,0
0.0012342,1,1
0.0083437,1,1
0.66692,2,1
0.39992,4,1
0.47045,5,1
0.97917,6,1
0.86121,6,1
0.91007,6,1
0.96636,6,1
1.1675,6,1
1.0525,6,1
0.93798,6,1
1.267,6,1
1.0073,6,1
1.0961,6,1
1.2274,7,1
1.1543,7,1
1.0661,7,1
1.2368,7,1
1.1476,7,1
1.0067,7,1
1.1787,6,1
1.0912,7,1
1.2401,2,1
0.98894,2,1
0.95116,2,1
1.2199,2,1
0.97402,2,1
0.96806,2,1
1.2564,2,1
1.0905,2,1
1.245,2,1
1.3747,2,1
1.4157,2,1
1.4876,2,1
1.4859,2,1
1.488,2,1
1.5075,2,1
1.5091,2,1
1.4845,2,1
1.4081,2,1
1.478,2,1
1.5365,2,1
1.5233,2,1
1.5493,2,1
1.5641,2,1
1.5173,2,1
1.6198,2,1
1.5358,2,1
1.4766,2,1
1.1999,2,1
1.2181,2,1
1.2678,2,1
0.42042,2,1
0,1,1
0.000403,1,1
0.033129,1,1
0.06609,1,0
0.0083364,1,0
0,1,0
0.13398,2,0
0,1,0
0.022227,4,0
0.13161,1,0
0.21118,3,0
0.58482,3,0
0.38342,3,0
0.31711,3,0
0.47954,3,0
0.29368,3,0
0.066591,3,0
0.14815,3,0
0.078784,2,0
0.062666,4,0
0.038594,2,0
0.11061,2,0
0.24809,3,0
0.105,2,0
0.088156,3,0
0.029381,2,0
0.11347,3,0
0.14531,3,0
0.074074,3,1
0.68178,2,1
0.99712,2,1
1.3241,2,1
1.3909,2,1
1.218,2,1
1.1971,9,1
1.0077,9,1
1.1119,2,1
1.1672,2,1
1.2943,2,1
1.1983,4,1
1.2299,2,1
1.1515,2,1
1.1126,6,1
1.1418,2,1
1.1271,2,1
1.4042,2,1
1.1953,2,1
1.0916,4,1
1.3065,8,1
1.2589,2,1
1.2653,2,1
1.1633,2,1
1.1732,3,1
1.1466,7,1
1.0439,12,1
1.0857,12,1
0.91499,13,1
0.8224,15,1
0.97744,9,1
1.2155,3,1
1.0657,4,1
0.96755,5,1
1.1617,7,1
1.0386,4,1
1.0582,4,1
1.1936,2,1
1.2617,2,1
1.2864,2,1
1.268,3,1
1.2815,9,1
1.2565,9,1
1.0937,9,1
0.84394,9,1
0.98021,5,1
0.88264,5,1
0.88402,5,1
1.0205,5,1
1.0478,5,1
0.95464,5,1
1.057,5,1
0.77054,5,1
0.83689,5,1
0.87291,5,1
0.80475,8,1
1.0356,8,1
1.0505,8,1
1.0136,8,1
1.1864,9,1
1.2976,9,1
1.2352,9,1
1.057,5,1
1.2146,2,1
1.3198,9,1
1.1791,9,1
1.2463,2,1
1.3457,2,1
1.2882,2,1
1.3666,2,1
1.3968,2,1
1.3582,2,1
1.3041,2,1
1.3134,2,1
1.4763,2,1
1.2797,2,1
1.1873,2,1
1.3668,2,1
1.3616,2,1
1.2478,2,1
1.2844,2,1
1.1987,3,1
1.1591,4,1
1.0966,5,1
1.1647,5,1
1.0274,5,1
1.0562,5,1
