@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
257.17,5.1427,624.46,0.22508,6,0
141.97,5.1663,366.06,0.24171,6,0
325.53,5.2943,64.6,0.29898,6,0
374.83,5.3401,1658.1,0.29429,6,0
411.9,5.1458,366.06,0.49564,4,0
367.78,5.196,366.06,0.39708,5,0
711.03,5.0386,366.06,0.44938,3,0
664.48,4.9926,344.53,0.70918,2,0
776.48,4.7891,344.53,1.082,2,0
721.48,4.9296,344.53,0.95341,2,0
814.81,5.1069,344.53,0.49297,4,0
1016.7,5.0241,344.53,0.71103,2,0
614.45,5.0625,344.53,0.78191,2,0
782.36,5.1617,344.53,0.61077,4,0
415.02,5.259,366.06,0.63516,3,0
357.14,5.2682,344.53,0.43198,6,0
180.85,5.2915,624.46,0.33993,5,0
192.41,5.2185,646,0.35771,3,0
267.41,5.0549,646,0.32195,3,0
421.97,4.8987,387.6,0.47495,2,0
1478.4,5.4684,236.87,0.37361,14,0
1992.6,5.4278,193.8,0.38529,11,0
1621,5.3218,387.6,0.39046,7,0
1393.5,5.1312,387.6,0.42575,2,0
1201.4,5.1643,667.53,0.29641,5,1
1512.5,5.0418,624.46,0.26914,4,1
1112.9,4.9835,689.06,0.51837,4,1
802.04,5.1127,732.13,0.32999,4,1
1738.9,4.8151,559.86,0.63506,3,1
1566.1,4.6501,624.46,0.70547,3,1
1012.3,4.9278,344.53,0.78223,3,1
1178.3,4.8079,344.53,1.0412,5,1
984.45,4.7657,366.06,1.1925,7,1
1329.8,4.5566,366.06,1.3466,8,1
1120.4,4.5969,366.06,1.2646,8,1
1286.7,4.6524,366.06,1.3414,8,1
1091.7,4.7633,366.06,1.3496,8,1
851.28,4.8618,366.06,1.1165,7,1
