@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
4469.3,4.4276,430.66,1
3647.9,4.7228,430.66,1
2770,4.6383,409.13,1
2963.5,4.6091,409.13,1
2568.8,4.8706,387.6,1
2132.7,5.0141,366.06,1
2409.7,4.8976,366.06,1
2326,5.0636,366.06,1
2173.2,5.0612,366.06,1
2049.3,4.8763,366.06,1
1857,4.7648,366.06,1
1908.1,4.802,366.06,1
2090.9,4.7137,366.06,1
1748.5,4.6843,366.06,1
1804.1,4.61,344.53,1
2103.4,4.8287,344.53,1
1674.7,5.0242,344.53,1
1896.8,4.9632,344.53,1
2034.3,4.884,344.53,1
1980.4,4.7315,344.53,1
2173.7,4.8497,344.53,1
2252.6,4.9197,366.06,1
2297.1,4.7163,366.06,1
2785.6,4.4248,366.06,1
3259.2,4.4929,366.06,1
2755.1,4.7133,366.06,1
1961.5,4.8776,387.6,1
2501.2,4.899,387.6,1
2601.3,4.9966,387.6,1
2801.6,4.9757,387.6,1
2926.4,4.8666,387.6,1
2231.9,4.8545,387.6,1
2478.8,4.6808,387.6,1
2863.2,4.8751,409.13,1
3530.9,4.7905,409.13,1
3600.9,4.7044,409.13,1
4521.2,4.9672,409.13,1
4579.5,5.0657,409.13,1
4470,4.9627,409.13,1
4894.2,4.9365,409.13,1
4584.4,4.9897,409.13,1
5710.3,4.9759,409.13,1
5195.7,4.9346,409.13,1
4481.5,4.8719,409.13,1
4286.4,4.8308,409.13,1
3913,4.7916,409.13,1
3546.3,4.6918,387.6,1
3191.1,4.6419,387.6,1
3359.7,4.6441,387.6,1
3356,4.5482,387.6,1
4156.7,4.1272,387.6,1
4216,4.0538,387.6,1
5042.3,4.4022,387.6,1
4445.6,4.2481,387.6,1
4195.8,4.4025,366.06,1
3494.8,4.4114,366.06,1
2193.4,4.4121,344.53,1
3006.4,5.0619,323,1
2379.2,5.2177,882.86,1
1972.8,5.1852,904.39,1
1405.9,5.2171,301.46,1
1125.3,5.2017,904.39,0
1247.8,5.3836,775.2,0
1786.7,5.317,1442.7,0
1056.9,5.3558,1162.8,0
854.7,5.3796,473.73,0
658.52,5.4124,193.8,0
673.28,5.3678,839.79,0
438.35,5.4495,409.13,0
554.48,5.3322,882.86,0
478.37,5.3011,366.06,0
388.41,5.2971,904.39,0
480.66,5.2146,904.39,0
318.71,5.2471,215.33,0
487.38,5.1966,947.46,0
281.48,5.1958,882.86,0
172.15,5.2812,301.46,0
367.58,5.2343,258.4,0
261.38,5.2135,1033.6,0
117.09,5.3429,968.99,0
53.255,5.3789,301.46,0
81.421,5.3597,150.73,0
87.361,5.4188,387.6,0
142.44,5.4603,1184.3,0
119.07,5.3964,0,0
82.886,5.3681,21.533,0
105.69,5.3913,0,0
81.636,5.3463,21.533,0
120.89,5.3794,301.46,0
151.06,5.281,301.46,0
251.33,5.4235,323,0
754.23,5.6564,301.46,0
484.23,5.5787,301.46,0
534.58,5.4601,366.06,0
520.96,5.442,366.06,0
436.32,5.4021,344.53,0
456.13,5.216,323,0
373.66,5.2651,646,0
393.28,5.1357,646,0
439.42,4.9629,646,0
346.68,5.1094,646,0
517.89,4.956,624.46,0
716.98,4.9049,602.93,0
555.32,5.2401,602.93,0
807.85,5.261,624.46,0
583.34,5.3063,624.46,0
250.15,5.4114,624.46,0
400.44,5.5542,279.93,0
291.73,5.4578,1033.6,0
377.93,5.2706,624.46,0
144.49,5.3793,624.46,0
340.11,5.3031,279.93,0
627.62,5.3136,1485.8,1
1061.1,5.3344,538.33,1
3026.6,5.2663,387.6,1
3969.9,4.8832,409.13,1
4003.1,5.0739,452.2,1
3162.9,5.1233,409.13,1
4181.1,4.7291,516.8,1
4363.5,4.5896,452.2,1
3118.4,4.7921,430.66,1
2904.8,4.8953,409.13,1
2774.1,5.0408,409.13,1
1957,5.1645,366.06,1
1516.9,5.1552,667.53,1
1249.4,5.3153,646,1
1022.9,5.3355,646,1
644.74,5.3184,646,1
612.07,5.4274,279.93,1
448.65,5.33,279.93,0
352.84,5.245,279.93,0
847.1,5.2407,279.93,0
1910.2,5.2435,2368.7,0
1100.4,5.3764,947.46,0
689.53,5.3663,107.67,0
