@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4-weka.filters.unsupervised.attribute.Remove-R3'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute class {0,1}

@data
1650.6,495.26,1
1710,495.26,1
1804.8,495.26,1
1680.8,495.26,1
1808.8,495.26,1
1899,495.26,1
1749.7,473.73,1
1720.3,473.73,1
1612.6,495.26,1
1548.1,495.26,1
1574.5,473.73,1
1716.6,473.73,1
1683.1,473.73,1
1612.9,473.73,1
1314.4,452.2,1
1479.7,452.2,1
1344.1,452.2,1
1190.2,452.2,1
1264.1,452.2,1
1293,452.2,1
1155.6,452.2,1
1221.4,452.2,1
1359.7,452.2,1
1403.3,452.2,1
1368.5,452.2,1
1385.3,452.2,1
1303.9,21.533,1
1375.6,452.2,1
1460.7,473.73,1
1494.4,473.73,1
1510.2,21.533,1
1533.8,473.73,1
1540.7,473.73,1
1476.6,21.533,1
1502.8,43.066,1
1266,21.533,1
1075.8,452.2,1
1103.8,21.533,1
1219.5,64.6,1
1213,452.2,1
1097.9,64.6,1
1220.3,21.533,1
1062,64.6,1
1149.7,452.2,1
1175.1,21.533,1
1298.7,452.2,1
1203.6,452.2,1
1303.1,452.2,1
1437.7,452.2,1
1396.3,21.533,1
1451.5,452.2,1
1625.2,473.73,1
1816.7,473.73,1
1857.3,473.73,1
1888.2,473.73,1
1832.8,473.73,1
1755.6,473.73,1
1697.2,473.73,1
1797.7,495.26,1
1883.1,495.26,1
2102.1,495.26,1
2053.6,495.26,1
1940.3,495.26,1
2053,495.26,1
2050.3,495.26,1
2048.8,495.26,1
2028.4,495.26,1
2145.4,495.26,1
1997.6,473.73,1
1883.4,473.73,1
1912.6,473.73,1
1813.9,473.73,1
1906,473.73,1
1856.5,473.73,1
1662.7,473.73,1
1738.3,452.2,1
1542.4,452.2,1
1399.6,452.2,1
1379.1,64.6,1
1208.7,21.533,1
1288.4,796.73,1
1398.5,753.66,1
1380.6,732.13,1
1325.3,710.6,1
743.85,689.06,1
737.65,689.06,1
709.65,732.13,1
474.93,21.533,1
578.09,64.6,1
730,64.6,1
681.97,21.533,1
383.92,43.066,1
718.65,710.6,1
634.28,64.6,1
457.68,21.533,1
594.49,64.6,1
465.53,495.26,1
432.83,43.066,1
185.11,21.533,1
7.2617,43.066,1
32.086,64.6,1
82.063,21.533,1
2.2225,21.533,1
41.903,64.6,1
3.34,64.6,1
44.788,21.533,0
155.67,21.533,0
33.838,64.6,0
10.632,43.066,0
91.112,21.533,0
138.89,43.066,0
35.518,64.6,0
45.691,43.066,0
18.213,43.066,0
29.963,43.066,0
25.817,64.6,0
10.966,21.533,0
33.331,43.066,0
12.245,64.6,0
55.603,43.066,0
7.1325,21.533,0
26.441,21.533,0
35.805,64.6,0
7.9663,64.6,0
3.367,43.066,0
23.749,21.533,0
23.9,64.6,0
20.812,43.066,0
29.565,43.066,0
79.668,21.533,0
16.987,64.6,0
72.503,43.066,0
85.092,21.533,0
51.247,43.066,0
51.08,64.6,0
47.631,43.066,0
0.83739,21.533,0
36.693,43.066,0
62.712,64.6,0
40.311,43.066,0
10.878,21.533,0
30.468,64.6,0
30.512,43.066,0
67.017,43.066,0
52.932,21.533,0
65.539,64.6,0
0,43.066,0
44.391,21.533,0
56.567,64.6,0
8.531,43.066,0
49.101,43.066,0
11.576,21.533,0
85.762,64.6,0
164.94,64.6,0
91.573,21.533,0
19.079,21.533,0
