@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0013141,0.00056952,33,29,0
0.0024421,0.0016975,32,28,0
0.0022516,0.0015071,33,29,0
0.0018841,0.0011395,37,33,0
0.0011368,0.00039221,44,40,0
0.0014974,0.00075287,42,38,0
0.0024012,0.0016566,114,110,0
0.0016395,0.00089489,105,101,0
0.0013694,0.00062482,130,126,0
0.0019587,0.0012141,124,120,0
0.0018334,0.0010888,89,85,0
0.0010301,0.00028556,117,113,0
0.0014383,0.00069377,137,133,0
0.0010738,0.00032927,149,145,0
0.001028,0.0002834,43,39,0
0.0007551,1.053e-05,131,127,0
0.00071051,0,110,106,0
0.0013634,0.00065285,142,138,0
0.0011663,0.00045582,120,116,0
0.001372,0.00066144,139,135,0
0.0010074,0.00029687,40,36,0
0.0011897,0.00047918,81,77,0
0.0013494,0.00063892,153,149,0
0.00094072,0.00023021,114,110,0
0.00073018,1.967e-05,76,72,0
0.0015976,0.00088713,28,24,0
0.0010117,0.00030119,80,76,0
0.0010268,0.00031624,141,137,0
0.0008272,0.00011669,127,123,0
0.00086894,0.00015842,57,53,0
0.002576,0.0018655,123,119,0
0.0026669,0.0019564,57,53,0
0.0029646,0.0022541,56,52,0
0.0020009,0.0012903,105,101,0
0.0022615,0.001551,72,68,0
0.002014,0.0013035,57,53,0
0.00097112,0.00026061,74,70,0
0.0019104,0.0011999,117,113,0
0.0024296,0.001719,38,34,0
0.0013233,0.00061283,38,34,0
0.0013084,0.00059788,71,67,0
0.0010703,0.00035983,43,39,0
0.00066291,0,61,57,0
0.00093317,0.00027026,63,59,0
0.0010459,0.00038304,105,101,0
0.0014334,0.00077052,108,104,0
0.0018253,0.0011624,76,72,0
0.0020976,0.0014347,42,38,0
0.0020115,0.0013486,42,38,0
0.0012627,0.00059979,46,42,0
0.0012668,0.0006039,87,83,0
0.001597,0.00093412,41,37,0
0.0020838,0.0014209,116,109,0
0.0013575,0.0006946,47,40,0
0.0015518,0.00088891,48,41,0
0.0012902,0.0006273,92,85,0
0.0013045,0.00064159,104,97,0
0.0047045,0.0040416,105,98,0
0.0037216,0.0030587,42,35,0
0.0039684,0.0033055,51,44,0
0.003573,0.0029101,69,62,0
0.0027238,0.0020609,46,39,0
0.0026478,0.0019849,72,65,0
0.0017164,0.0010535,98,91,0
0.0036162,0.0029533,115,108,0
0.0046148,0.0039519,26,19,0
0.0039799,0.003317,51,44,0
0.0029257,0.0022628,15,8,0
0.0039074,0.0032445,30,23,0
0.0052504,0.0045874,141,134,0
0.0044728,0.0038098,64,57,0
0.0028368,0.0021739,45,38,0
0.0035464,0.0028835,131,124,0
0.0023502,0.0016873,45,38,0
0.0024487,0.0017858,61,54,0
0.0039114,0.0032485,136,129,0
0.006805,0.0061421,128,121,0
0.0077353,0.0070724,61,54,0
0.0096976,0.0090347,72,65,0
0.011915,0.011252,65,58,0
