@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0010579,0.00014248,0.1833,0.16515,0.00086894,0.00015842,57,53,0
0.0014242,0.00050887,0.16425,0.1461,0.002576,0.0018655,123,119,0
0.0017533,0.00083794,0.12886,0.11071,0.0026669,0.0019564,57,53,0
0.0017279,0.00081255,0.10799,0.089837,0.0029646,0.0022541,56,52,0
0.0015616,0.00064619,0.12432,0.10617,0.0020009,0.0012903,105,101,0
0.0014326,0.0005172,0.13702,0.11887,0.0022615,0.001551,72,68,0
0.0013182,0.00040285,0.13339,0.11525,0.002014,0.0013035,57,53,0
0.0014601,0.00054472,0.13612,0.11797,0.00097112,0.00026061,74,70,0
0.00147,0.0005546,0.13702,0.11887,0.0019104,0.0011999,117,113,0
0.001443,0.00052764,0.16334,0.14519,0.0024296,0.001719,38,34,0
0.0012733,0.00035793,0.17151,0.15336,0.0013233,0.00061283,38,34,0
0.0010135,9.81e-05,0.14882,0.13067,0.0013084,0.00059788,71,67,0
0.00094912,3.3739e-05,0.15789,0.13975,0.0010703,0.00035983,43,39,0
0.00099959,8.421e-05,0.17604,0.15789,0.00066291,0,61,57,0
0.0010016,8.6258e-05,0.18784,0.16969,0.00093317,0.00027026,63,59,0
0.00099418,7.8802e-05,0.18603,0.16788,0.0010459,0.00038304,105,101,0
0.0010704,0.00015504,0.15426,0.13612,0.0014334,0.00077052,108,104,0
0.0011061,0.00019073,0.14065,0.1225,0.0018253,0.0011624,76,72,0
0.0017118,0.00079638,0.11525,0.097096,0.0020976,0.0014347,42,38,0
0.0019377,0.0010223,0.07441,0.056261,0.0020115,0.0013486,42,38,0
0.0014782,0.00056282,0.097096,0.078947,0.0012627,0.00059979,46,42,0
0.0014635,0.00054813,0.11343,0.095281,0.0012668,0.0006039,87,83,0
0.0015327,0.00061732,0.11071,0.092559,0.001597,0.00093412,41,37,0
0.0014596,0.00054418,0.13702,0.11887,0.0020838,0.0014209,116,109,0
0.0015575,0.00064215,0.11706,0.098911,0.0013575,0.0006946,47,40,0
0.0015236,0.00060827,0.096189,0.07804,0.0015518,0.00088891,48,41,0
0.0014467,0.0005313,0.12341,0.10526,0.0012902,0.0006273,92,85,0
0.0024323,0.0015169,0.13067,0.11252,0.0013045,0.00064159,104,97,0
0.0035436,0.0026282,0.13612,0.11797,0.0047045,0.0040416,105,98,0
0.0036244,0.002709,0.13249,0.11434,0.0037216,0.0030587,42,35,0
0.0031256,0.0022102,0.11797,0.099819,0.0039684,0.0033055,51,44,0
0.002429,0.0015136,0.12432,0.10617,0.003573,0.0029101,69,62,0
0.0018323,0.00091696,0.12341,0.10526,0.0027238,0.0020609,46,39,0
0.0016716,0.00075627,0.12795,0.1098,0.0026478,0.0019849,72,65,0
0.0022439,0.0013286,0.15426,0.13612,0.0017164,0.0010535,98,91,0
0.0028422,0.0019268,0.18421,0.16606,0.0036162,0.0029533,115,108,0
0.0027951,0.0018797,0.20508,0.18693,0.0046148,0.0039519,26,19,0
0.0024607,0.0015453,0.17786,0.15971,0.0039799,0.003317,51,44,0
0.003157,0.0022416,0.1225,0.10436,0.0029257,0.0022628,15,8,0
0.0041301,0.0032147,0.080762,0.062613,0.0039074,0.0032445,30,23,0
0.004041,0.0031256,0.07804,0.059891,0.0052504,0.0045874,141,134,0
0.0034989,0.0025835,0.11797,0.099819,0.0044728,0.0038098,64,57,0
0.0032342,0.0023188,0.13702,0.11887,0.0028368,0.0021739,45,38,0
0.0028036,0.0018882,0.15971,0.14156,0.0035464,0.0028835,131,124,0
0.0022262,0.0013109,0.1824,0.16425,0.0023502,0.0016873,45,38,0
0.0022121,0.0012967,0.16606,0.14791,0.0024487,0.0017858,61,54,0
0.0034327,0.0025173,0.12613,0.10799,0.0039114,0.0032485,136,129,0
0.0052389,0.0043235,0.10254,0.084392,0.006805,0.0061421,128,121,0
0.0073247,0.0064093,0.11162,0.093466,0.0077353,0.0070724,61,54,0
0.0092305,0.0083151,0.11797,0.099819,0.0096976,0.0090347,72,65,0
0.010222,0.009307,0.13975,0.1216,0.011915,0.011252,65,58,0
0.010496,0.0095802,0.14247,0.12432,0.0097021,0.0090391,120,113,0
0.010241,0.0093254,0.13339,0.11525,0.010729,0.010066,38,31,0
0.010463,0.0095473,0.13249,0.11434,0.012497,0.011834,55,48,0
0.010791,0.0098761,0.12613,0.10799,0.01236,0.011697,82,75,0
0.010103,0.0091874,0.11343,0.095281,0.010309,0.0096458,54,47,0
0.008869,0.0079536,0.11162,0.093466,0.011816,0.011153,54,47,0
0.0078392,0.0069238,0.11615,0.098004,0.0093691,0.0087062,57,50,0
0.0072995,0.0063841,0.10345,0.085299,0.0080205,0.0073576,100,93,0
