@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1798.6,1760.3,4.512,1.0925,452.2,366.06,1.1936,1.1108,5,19,1
1747.6,1709.3,4.6393,0.96518,452.2,366.06,1.1992,1.1165,5,19,1
1722.3,1684,4.5755,1.0289,452.2,366.06,1.2226,1.1398,5,19,1
1720.2,1682,4.363,1.2415,452.2,366.06,1.2179,1.1352,5,19,1
1711.9,1673.7,4.3348,1.2696,452.2,366.06,1.2204,1.1376,5,19,1
1762.5,1724.2,4.1706,1.4339,452.2,366.06,1.2249,1.1421,6,18,1
1824.1,1785.8,4.2908,1.3136,452.2,366.06,1.2347,1.1519,5,19,1
1832.6,1794.3,4.3072,1.2972,452.2,366.06,1.3963,1.3136,8,16,1
1824.5,1786.3,4.1329,1.4715,452.2,366.06,1.4617,1.3789,8,16,1
1920.3,1882,4.1325,1.472,452.2,366.06,1.5104,1.4276,8,16,1
1908,1869.7,4.0696,1.5349,452.2,366.06,1.5096,1.4269,8,16,1
2049.6,2011.3,4.1403,1.4642,452.2,366.06,1.495,1.4122,8,16,1
2249.3,2211.1,4.0852,1.5192,473.73,387.6,1.4642,1.3814,9,15,1
2399.9,2361.6,4.2757,1.3287,473.73,387.6,1.4348,1.352,9,15,1
2591.2,2552.9,4.3513,1.2531,473.73,387.6,1.514,1.4312,5,19,1
2604.1,2565.8,4.5096,1.0948,473.73,387.6,1.5597,1.4769,2,22,1
2544.1,2505.8,4.0363,1.5682,473.73,387.6,1.5367,1.454,9,15,1
2508,2469.7,4.0714,1.5331,473.73,387.6,1.5368,1.454,5,19,1
2478.2,2439.9,4.1327,1.4718,473.73,387.6,1.5687,1.4859,2,22,1
2590.1,2551.8,4.1338,1.4707,495.26,409.13,1.5821,1.4993,2,22,1
2705.1,2666.9,4.1928,1.4116,495.26,409.13,1.5701,1.4873,2,22,1
2833,2794.7,4.1412,1.4632,495.26,409.13,1.5675,1.4847,2,22,1
2888.1,2849.9,4.2368,1.3677,495.26,409.13,1.5706,1.4879,2,22,1
2816.9,2778.6,4.2059,1.3986,495.26,409.13,1.5701,1.4873,2,22,1
2819.4,2781.1,4.3005,1.304,495.26,409.13,1.5661,1.4833,2,22,1
2814.3,2776,4.2836,1.3208,495.26,409.13,1.5555,1.4727,2,22,1
2917,2878.7,4.3106,1.2938,495.26,409.13,1.5628,1.4801,2,22,1
2872.7,2834.4,4.2781,1.3263,495.26,409.13,1.5506,1.4678,2,22,1
