@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.1162,0.11397,0.028131,0.13702,937.52,899.25,4.1903,1.4141,538.33,452.2,1
0.11374,0.11152,0.024501,0.14065,750.76,712.49,3.9878,1.6166,495.26,409.13,1
0.11198,0.10975,0.021779,0.14338,640.72,602.45,3.8042,1.8002,495.26,409.13,1
0.079116,0.076888,0.028131,0.13702,299.65,261.37,3.604,2.0005,495.26,409.13,1
0.032012,0.029784,0.043557,0.1216,23.064,0,4.6371,0.96739,473.73,387.6,1
0.02062,0.018392,0.036298,0.12886,10.189,0,4.4872,1.1172,409.13,323,1
0.019472,0.017244,0.018149,0.14701,21.964,11.775,4.5071,1.0974,430.66,344.53,1
0.011514,0.0092862,0.044465,0.12069,47.214,37.024,4.8589,0.7456,430.66,344.53,1
0.01036,0.0081317,0.053539,0.11162,66.043,55.854,5.2049,0.3996,452.2,366.06,1
0.013161,0.010933,0.03176,0.13339,50.648,40.459,4.9431,0.66132,452.2,366.06,1
0.013776,0.011548,0.025408,0.13975,35.022,24.833,4.6361,0.96839,473.73,387.6,0
0.012272,0.010044,0.023593,0.14156,32.136,21.947,4.4768,1.1276,473.73,387.6,0
0.0074759,0.005248,0.038113,0.12704,42.521,32.332,4.8134,0.79109,473.73,387.6,0
0.0043124,0.0020845,0.088929,0.076225,52.316,42.127,5.2624,0.34207,473.73,387.6,0
0.0029858,0.00075788,0.11887,0.046279,56.062,45.873,5.4435,0.16095,2239.5,2153.3,0
0.0023971,0.00016916,0.11434,0.050817,49.645,39.456,5.476,0.12843,473.73,387.6,0
0.0025065,0.00027855,0.11434,0.050817,48.006,37.816,5.3485,0.25593,473.73,387.6,0
0.002229,1.0106e-06,0.12704,0.038113,45.754,35.565,5.462,0.14245,2002.6,1916.5,0
0.0018429,0,0.14882,0.016334,40.928,30.738,5.5172,0.087302,2304.1,2217.9,0
0.0018017,0,0.15064,0.014519,43.032,32.843,5.4499,0.15453,2304.1,2217.9,0
0.0016858,0,0.14701,0.018149,39.784,29.594,5.4607,0.14376,2325.6,2239.5,0
0.0016838,0,0.13975,0.025408,39.204,29.015,5.5109,0.093574,215.33,129.2,0
0.0015937,0,0.13884,0.026316,41.195,31.006,5.5835,0.020905,2174.9,2088.7,0
0.0016213,2.7633e-05,0.14701,0.018149,43.617,33.428,5.5383,0.066148,1981.1,1894.9,0
0.0016503,5.6604e-05,0.15245,0.012704,40.176,29.986,5.5134,0.091024,559.86,473.73,0
0.001645,5.1336e-05,0.12976,0.03539,37.176,26.987,5.4623,0.14217,150.73,64.6,0
0.0016683,7.4598e-05,0.12341,0.041742,39.616,29.427,5.4663,0.13813,193.8,107.67,0
0.0014711,0,0.15336,0.011797,40.618,30.429,5.5813,0.023164,559.86,473.73,0
0.0013076,0,0.15971,0.0054446,37.018,26.829,5.6439,0,538.33,452.2,0
0.0013672,5.9596e-05,0.16515,0,38.639,28.45,5.6086,0.035265,473.73,387.6,0
0.0013951,8.7509e-05,0.17695,0,37.934,27.744,5.5888,0.055128,301.46,215.33,0
0.0012238,0,0.18603,0,34.896,24.707,5.6354,0.0085209,279.93,193.8,0
0.0010825,0,0.18421,0.0018149,31.359,21.17,5.6076,0.036326,150.73,64.6,0
0.0011544,7.1899e-05,0.17604,0.0099819,29.832,19.643,5.5367,0.10716,366.06,279.93,0
0.0013259,0.00024339,0.15426,0.03176,33.269,23.08,5.5329,0.11103,323,236.87,0
0.0012375,0.00015508,0.16969,0.016334,35.848,25.659,5.612,0.031909,495.26,409.13,0
0.0010457,0,0.20871,0,31.571,21.382,5.5983,0.045643,430.66,344.53,0
0.0009479,0,0.22232,0,26.535,16.346,5.5745,0.069428,409.13,323,0
0.0010953,0.00014745,0.20236,0.019964,29.149,18.96,5.4579,0.18599,301.46,215.33,0
0.0011989,0.00025095,0.16606,0.056261,29.498,19.308,5.4393,0.20463,301.46,215.33,0
0.0010645,0.00011661,0.18421,0.038113,28.559,18.37,5.479,0.1649,301.46,215.33,0
0.00094367,0,0.22323,0,24.604,14.414,5.4603,0.18358,21.533,0,0
0.00091538,0,0.20599,0.017241,27.214,17.025,5.4828,0.16111,387.6,366.06,0
0.0011283,0.00021293,0.15154,0.071688,27.878,17.689,5.4346,0.20929,215.33,193.8,0
0.0012635,0.00034809,0.14247,0.080762,29.94,19.751,5.4653,0.17857,150.73,129.2,0
0.0011172,0.00020177,0.16697,0.056261,27.909,17.72,5.5718,0.072073,21.533,0,0
0.0010912,0.00017586,0.16243,0.060799,28.696,18.507,5.4901,0.15383,21.533,0,0
0.0011061,0.00019072,0.1588,0.064428,29.517,19.328,5.5073,0.13659,236.87,215.33,0
0.0010227,0.00010736,0.16788,0.055354,31.856,21.667,5.5451,0.098799,215.33,193.8,0
0.0011297,0.00021436,0.16515,0.058076,31.195,21.006,5.551,0.09293,258.4,236.87,0
0.0012973,0.00038191,0.16969,0.053539,32.881,22.692,5.5113,0.13261,215.33,193.8,0
0.001434,0.00051866,0.18784,0.03539,39.5,29.311,5.5868,0.057131,21.533,0,0
0.0017267,0.0008113,0.20871,0.014519,50.471,40.282,5.6946,0,2368.7,2347.1,0
0.0017151,0.0007997,0.21234,0.010889,42.961,32.772,5.6581,0.036427,2368.7,2347.1,0
0.0015268,0.00061142,0.21688,0.0063521,43.262,33.072,5.6332,0.061408,775.2,753.66,0
0.001749,0.00083367,0.20871,0.014519,46.763,36.574,5.6879,0.0066813,430.66,409.13,0
0.0019546,0.0010392,0.18784,0.03539,51.49,41.301,5.687,0.0075898,1485.8,1464.3,0
0.0019513,0.0010359,0.19782,0.025408,49.355,39.165,5.6596,0.035003,1485.8,1464.3,0
0.0021388,0.0012234,0.19056,0.032668,53.377,43.188,5.6241,0.070487,2411.7,2390.2,0
0.0024038,0.0014884,0.19056,0.032668,60.71,50.521,5.7018,0,1507.3,1485.8,0
0.0024412,0.0015258,0.16969,0.053539,58.713,48.524,5.5993,0.10251,2304.1,2282.5,0
0.0021747,0.0012594,0.14338,0.079855,49.26,39.071,5.5316,0.17015,2045.7,2024.1,0
0.0032928,0.0023775,0.11162,0.11162,47.013,36.824,5.3725,0.3293,258.4,236.87,0
0.0037279,0.0028125,0.056261,0.16697,46.461,36.272,5.1589,0.54289,150.73,129.2,0
0.0028897,0.0019744,0.057169,0.16606,35.7,25.511,5.0582,0.64356,452.2,430.66,0
0.0028867,0.0019713,0.058076,0.16515,40.043,29.854,5.2878,0.41393,215.33,193.8,0
0.0025111,0.0015957,0.062613,0.16062,28.809,18.62,4.9608,0.74094,236.87,215.33,0
0.0015704,0.00065501,0.10436,0.11887,27.14,16.951,5.2824,0.41941,193.8,172.27,0
0.0013018,0.0003864,0.18149,0.041742,29.594,19.405,5.3975,0.30426,150.73,129.2,0
0.0013259,0.00041048,0.17514,0.048094,29.787,19.598,5.6018,0.099996,236.87,215.33,0
0.0012661,0.00035077,0.12613,0.097096,25.684,15.495,5.1735,0.52828,258.4,236.87,0
0.001242,0.00032659,0.11978,0.10345,25.076,14.887,5.2668,0.43497,215.33,193.8,0
