@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2260.3,2014.4,4.7671,0.4562,473.73,344.53,1.3852,1.3385,5,9,1
2229.8,1983.9,4.7454,0.47785,473.73,344.53,1.373,1.3263,4,10,1
2054,1808.1,4.8963,0.32698,452.2,323,1.2892,1.2425,9,5,1
1896.7,1650.8,4.9031,0.32019,452.2,323,1.0421,0.99544,6,8,1
1968.8,1723,4.9313,0.29196,452.2,323,0.85428,0.80759,5,9,1
1801.8,1555.9,4.8602,0.36304,452.2,323,0.90963,0.86295,5,9,1
1884.6,1638.8,4.913,0.31028,452.2,323,0.91465,0.86797,5,9,1
1884.1,1638.2,4.916,0.30726,452.2,323,0.86805,0.82137,5,9,1
1964.9,1719,4.9579,0.26533,430.66,301.46,0.70706,0.66038,6,8,1
2078.4,1832.6,4.9041,0.31915,452.2,323,0.72198,0.6753,4,10,1
1842,1596.1,4.9254,0.29787,452.2,323,0.80526,0.75858,5,9,1
2130.1,1884.2,4.8022,0.42109,430.66,301.46,0.91701,0.87033,5,9,1
1973.8,1727.9,4.714,0.50927,452.2,323,1.0521,1.0054,4,10,1
1670,1424.1,4.9202,0.30308,452.2,323,0.88274,0.83606,5,9,1
2015.1,1769.3,4.8525,0.37074,452.2,323,0.96175,0.91507,8,6,1
1865.7,1619.8,4.6931,0.53012,452.2,323,1.1931,1.1464,8,6,1
1826.5,1580.6,4.6388,0.58441,452.2,323,1.3451,1.2984,8,6,1
1795.2,1549.3,4.548,0.67529,452.2,323,1.3774,1.3307,8,6,1
1881.6,1635.7,4.52,0.70323,452.2,323,1.3384,1.2918,8,6,1
2073.9,1828,4.5151,0.70813,473.73,344.53,1.3558,1.3091,9,5,1
2224,1978.1,4.6219,0.60131,473.73,344.53,1.3813,1.3346,8,6,1
2475,2229.2,4.4961,0.72719,473.73,344.53,1.5344,1.4878,2,12,1
2514.6,2268.7,4.6616,0.56165,473.73,344.53,1.5545,1.5078,2,12,1
2218.8,1972.9,4.4077,0.81557,473.73,344.53,1.4966,1.45,9,5,1
