@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.058478,0.072595,0.028512,2,11,0
0.053965,0.079855,0.016741,2,9,0
0.053593,0.076225,0.01513,1,23,0
0.051746,0.066243,0.020334,2,9,0
0.062696,0.051724,0.011372,2,8,0
0.062212,0.043557,0.009524,0,0,0
0.055486,0.048094,0.018929,1,20,0
0.07471,0.039927,0.013748,1,13,0
0.08778,0.039927,0.010543,1,14,0
0.074766,0.068058,0.017655,2,13,0
0.070578,0.079855,0.026427,3,13,0
0.067796,0.075318,0.026874,1,10,0
0.047802,0.079855,0.010871,1,24,0
0.046847,0.10617,0.030741,2,10,0
0.046406,0.11252,0.015287,2,8,0
0.04695,0.079855,0.010753,1,20,0
0.045729,0.072595,0.016402,1,23,0
0.048765,0.073503,0.0094466,0,0,0
0.062486,0.076225,0.011312,1,29,1
0.1056,0.07441,0.027112,1,24,1
0.19322,0.062613,0.039487,4,13,1
0.29789,0.04265,0.036575,4,8,1
0.29075,0.04265,0.025129,3,11,1
0.24726,0.047187,0.038692,3,8,1
0.33872,0.03176,0.038021,2,11,1
0.36174,0.030853,0.017863,3,8,1
0.29943,0.046279,0.055866,5,3,1
0.26423,0.068058,0.098077,5,3,1
0.21663,0.078947,0.089261,6,3,1
0.15745,0.083485,0.069883,7,3,1
0.13664,0.073503,0.052916,4,8,1
0.10725,0.071688,0.041582,4,8,1
0.079003,0.080762,0.030775,2,11,1
0.062458,0.088929,0.011193,1,19,1
0.057595,0.07804,0.032537,3,11,1
0.055304,0.065336,0.025623,2,10,0
0.048978,0.062613,0.017898,1,9,0
0.088813,0.071688,0.0556,2,14,0
0.10217,0.096189,0.054212,2,14,0
0.079929,0.098004,0.011169,1,15,0
0.065533,0.083485,0.030664,1,12,0
0.058695,0.088929,0.014293,3,11,0
