@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE class	{0,1}

@DATA
0.077412,0.049002,0
0.097069,0.034483,0
0.10733,0.024501,0
0.09202,0.030853,0
0.070976,0.044465,0
0.075728,0.041742,0
0.078464,0.036298,0
0.085242,0.032668,0
0.096071,0.030853,0
0.10244,0.028131,0
0.11176,0.028131,0
0.10675,0.024501,0
0.096271,0.029038,0
0.094254,0.038113,0
0.08713,0.028131,0
0.069445,0.023593,0
0.053427,0.032668,0
0.044722,0.03902,0
0.046093,0.033575,0
0.046593,0.037205,0
0.040653,0.047187,0
0.039229,0.051724,0
0.039953,0.051724,0
0.046137,0.041742,0
0.052266,0.036298,0
0.053709,0.038113,0
0.054578,0.045372,0
0.051603,0.044465,0
0.060994,0.034483,0
0.061655,0.03539,0
0.054438,0.033575,0
0.055753,0.03539,0
0.060706,0.041742,0
0.059934,0.046279,0
0.051163,0.049002,0
0.052499,0.04265,0
0.059102,0.033575,0
0.063892,0.034483,0
0.065447,0.038113,0
0.062618,0.043557,0
0.068128,0.040835,0
0.079104,0.032668,0
0.070644,0.040835,0
0.057546,0.046279,0
0.052974,0.057169,0
0.055636,0.045372,0
0.064315,0.023593,0
0.073023,0.033575,0
0.066891,0.047187,0
0.058523,0.043557,0
0.072831,0.033575,0
0.078829,0.027223,0
0.062749,0.03539,0
0.045247,0.049002,0
0.046326,0.039927,0
0.038045,0.03539,0
0.033292,0.051724,0
0.04504,0.049909,0
0.05344,0.032668,0
0.089851,0.025408,0
0.1084,0.019964,0
0.082092,0.024501,0
0.050158,0.052632,0
0.045823,0.075318,0
0.048951,0.082577,0
0.046426,0.079855,0
0.041989,0.10799,0
0.042448,0.14428,0
0.048345,0.1216,0
0.051482,0.11343,0
0.058559,0.10617,0
0.060901,0.08167,0
0.052763,0.071688,0
0.049677,0.072595,0
0.050404,0.07078,0
0.046705,0.058984,0
0.047173,0.053539,0
0.054804,0.048094,0
0.053433,0.047187,0
0.049678,0.045372,0
0.057942,0.046279,0
0.060716,0.045372,0
0.068499,0.033575,0
0.12078,0.023593,0
0.19142,0.021779,0
0.18079,0.022686,0
0.10958,0.023593,0
0.098066,0.024501,0
0.098361,0.025408,0
0.089035,0.023593,0
0.0678,0.025408,0
0.077609,0.024501,0
0.084529,0.020871,0
0.078612,0.022686,0
0.090761,0.032668,0
0.081367,0.053539,0
0.072069,0.062613,0
0.074464,0.061706,0
0.065415,0.064428,0
0.053242,0.083485,0
0.053623,0.089837,0
0.055983,0.090744,0
0.06741,0.076225,1
0.08517,0.03902,1
0.085945,0.034483,1
0.085679,0.033575,1
0.091006,0.030853,1
0.090018,0.03902,1
0.099215,0.037205,1
0.089692,0.039927,1
0.065163,0.047187,1
0.061102,0.049002,1
0.085916,0.037205,1
0.11016,0.022686,1
0.099642,0.029038,1
0.071017,0.04265,1
0.048283,0.060799,1
0.041714,0.07078,1
0.046688,0.067151,1
0.049327,0.061706,1
0.043178,0.058076,1
0.04139,0.051724,1
0.042067,0.047187,1
0.048248,0.036298,1
0.074301,0.026316,1
0.07454,0.032668,0
0.073006,0.033575,0
0.088067,0.030853,0
0.084317,0.030853,0
0.092886,0.023593,0
0.08736,0.025408,0
0.063944,0.030853,0
0.064007,0.022686,0
0.063079,0.028131,0
0.060204,0.039927,0
0.055264,0.03902,0
0.058516,0.039927,0
0.096109,0.036298,0
0.10964,0.034483,0
0.098726,0.039927,0
0.10056,0.039927,0
0.12949,0.043557,0
0.10899,0.025408,0
0.087614,0.014519,0
0.081653,0.019056,0
0.07452,0.015426,0
0.080725,0.014519,0
0.090205,0.030853,1
0.093484,0.033575,1
0.13286,0.026316,1
0.15904,0.039927,1
0.15998,0.047187,1
0.15514,0.052632,1
0.16084,0.052632,1
0.17699,0.062613,1
0.19802,0.07078,1
0.19989,0.078947,1
0.19351,0.091652,1
0.21107,0.077132,1
0.22717,0.07804,1
0.22554,0.090744,1
0.2266,0.090744,1
0.25101,0.077132,1
0.27045,0.062613,1
0.26731,0.058984,1
0.25229,0.062613,1
0.24863,0.072595,1
0.25114,0.07804,1
0.25315,0.067151,1
0.25181,0.059891,1
0.24516,0.049909,1
0.25614,0.044465,1
0.28089,0.045372,1
0.29378,0.030853,1
0.29466,0.040835,1
0.28723,0.043557,1
0.27597,0.049002,1
0.27643,0.063521,1
0.28883,0.046279,1
0.31751,0.04265,1
0.32918,0.047187,1
0.32656,0.03539,1
0.34489,0.03902,1
0.34939,0.040835,1
0.35427,0.030853,1
0.36989,0.03539,1
0.3642,0.033575,1
0.35367,0.04265,1
0.37244,0.055354,1
0.37718,0.036298,1
0.36883,0.027223,1
0.37376,0.03176,1
0.38284,0.026316,1
0.41878,0.022686,1
0.43497,0.023593,1
0.38916,0.023593,1
0.31367,0.025408,1
0.25599,0.025408,1
0.20012,0.029038,1
0.13361,0.028131,1
0.096312,0.029038,1
0.086726,0.020871,1
0.068766,0.03176,1
0.056996,0.041742,1
0.074129,0.015426,0
0.092927,0.011797,0
0.092281,0.010889,0
0.073838,0.0072595,0
0.0666,0.008167,0
0.092532,0.011797,0
0.089096,0.027223,0
0.065319,0.03902,0
0.077245,0.023593,0
0.087179,0.016334,0
0.086967,0.041742,0
0.079686,0.046279,0
0.089588,0.017241,0
0.095488,0.008167,0
0.088514,0.012704,0
0.095434,0.017241,0
0.092492,0.019056,0
0.072715,0.041742,0
0.06094,0.039927,0
0.067563,0.010889,0
0.078367,0.024501,0
0.08498,0.020871,0
0.083125,0.021779,0
0.084843,0.022686,0
0.084185,0.020871,0
0.084064,0.021779,1
0.1219,0.019964,1
0.1588,0.030853,1
0.17886,0.03902,1
0.18893,0.04265,1
0.20225,0.041742,1
0.21213,0.044465,1
0.21076,0.044465,1
0.21272,0.044465,1
0.22007,0.041742,1
0.22318,0.047187,1
0.22459,0.055354,1
0.21929,0.057169,1
0.22718,0.049909,1
0.23803,0.044465,1
0.231,0.050817,1
0.22586,0.055354,1
0.22011,0.053539,1
0.21979,0.051724,1
0.21411,0.051724,1
0.20672,0.061706,1
0.2087,0.060799,1
0.20645,0.049002,1
0.19283,0.048094,1
0.1812,0.050817,1
0.17438,0.062613,1
0.16664,0.064428,1
0.16529,0.054446,1
0.16738,0.056261,1
0.16811,0.062613,1
0.16949,0.059891,1
0.16912,0.059891,1
0.17782,0.053539,1
0.19261,0.050817,1
0.18838,0.058076,1
0.17611,0.065336,1
0.17879,0.065336,1
0.19169,0.054446,1
0.19578,0.049909,1
0.20873,0.047187,1
0.20959,0.043557,1
0.19736,0.056261,1
0.20159,0.061706,1
0.20997,0.049002,1
0.18348,0.060799,1
0.15024,0.064428,1
0.16762,0.058984,1
0.17338,0.061706,1
0.16825,0.056261,1
0.17405,0.064428,1
0.17304,0.07078,1
0.16412,0.055354,1
0.16169,0.048094,1
0.16552,0.056261,1
0.16544,0.055354,1
0.17059,0.057169,1
0.18394,0.058076,1
0.18589,0.053539,1
0.18629,0.065336,1
0.19612,0.064428,1
0.2141,0.061706,1
0.22622,0.059891,1
0.23613,0.048094,1
0.24268,0.050817,1
0.2359,0.055354,1
0.23175,0.049909,1
0.23101,0.044465,1
0.24749,0.03902,1
0.26315,0.03902,1
0.26347,0.034483,1
0.26423,0.032668,1
0.26275,0.041742,1
0.2574,0.037205,1
0.25284,0.028131,1
0.25913,0.029946,1
0.26853,0.03539,1
0.26347,0.036298,1
0.24758,0.03176,1
0.23649,0.037205,1
0.23256,0.041742,1
0.2321,0.043557,1
0.22747,0.04265,1
0.22235,0.04265,1
0.21488,0.03902,1
0.21323,0.034483,1
0.20048,0.034483,1
0.19045,0.03539,1
0.1971,0.04265,1
0.17506,0.050817,1
0.16873,0.046279,1
0.20507,0.03539,1
0.21196,0.039927,1
0.18194,0.039927,1
0.15653,0.03902,1
0.14206,0.044465,1
0.11997,0.039927,1
0.10521,0.027223,1
0.12293,0.027223,1
0.128,0.028131,1
0.1208,0.021779,1
0.11232,0.022686,1
0.11181,0.024501,1
0.11581,0.025408,1
0.11336,0.027223,1
0.11292,0.028131,1
0.11439,0.022686,1
0.11376,0.020871,1
0.096027,0.041742,1
0.077235,0.030853,1
0.081972,0.015426,1
0.090099,0.019964,1
0.082261,0.020871,1
0.086632,0.019964,1
0.098345,0.018149,1
0.094915,0.038113,0
0.10194,0.036298,0
0.1023,0.010889,0
0.09099,0.023593,0
0.099137,0.029946,0
0.095514,0.033575,0
0.072443,0.058984,0
0.069456,0.055354,0
0.076427,0.029038,0
0.08079,0.0090744,0
0.090152,0.017241,0
0.076717,0.038113,0
0.075115,0.041742,0
0.087348,0.025408,0
0.072805,0.03176,0
0.049138,0.060799,0
0.057257,0.039927,0
0.092776,0.0027223,0
0.10491,0.0027223,0
0.094978,0.0054446,0
0.090302,0.010889,0
0.094675,0.0099819,0
0.091728,0.029946,0
0.067444,0.04265,0
0.062904,0.017241,0
0.096934,0.0072595,0
0.10813,0.014519,0
0.089085,0.027223,0
0.081261,0.020871,0
0.089744,0.015426,0
0.081733,0.032668,0
0.07086,0.036298,0
0.089454,0.016334,0
0.097294,0.00090744,0
0.075651,0.013612,0
0.071849,0.019964,0
0.079618,0.0063521,0
0.086885,0.0099819,0
0.10302,0.016334,0
0.10485,0.0090744,0
0.099541,0.0027223,0
0.08425,0.040835,0
0.085927,0.047187,0
0.092319,0.022686,0
0.076016,0.049909,0
0.075614,0.076225,0
0.086784,0.083485,0
0.10773,0.055354,0
0.10697,0.020871,0
0.095021,0.034483,0
0.093103,0.041742,0
0.095746,0.017241,0
0.10511,0.0063521,0
0.089046,0.039927,0
0.08083,0.044465,0
0.12301,0.011797,0
0.13673,0.0072595,0
0.098671,0.065336,0
0.071843,0.10889,0
0.095923,0.066243,0
0.09479,0.051724,0
0.073389,0.069873,0
0.083942,0.086207,0
0.12001,0.058984,0
0.1177,0.025408,0
0.087062,0.043557,0
0.10696,0.030853,0
0.12114,0.0045372,0
0.099337,0.0099819,0
0.073158,0.03176,0
0.07544,0.025408,0
0.081286,0.0099819,0
0.085823,0.012704,0
0.10387,0.0072595,0
0.10686,0.011797,0
0.086957,0.0099819,0
0.083055,0.014519,0
0.073443,0.03176,0
0.062698,0.026316,0
0.094258,0.014519,0
0.096755,0.012704,0
0.096886,0.018149,0
0.090289,0.024501,0
0.064749,0.026316,0
0.084036,0.034483,0
0.083824,0.049909,0
0.083777,0.03176,0
0.085608,0.018149,0
0.065988,0.029038,0
0.12863,0.013612,0
0.12889,0.017241,0
0.06909,0.03176,0
0.080748,0.019056,0
0.097688,0.0045372,0
0.082787,0.025408,0
0.07438,0.029946,0
0.11527,0.022686,0
0.11731,0.029038,0
0.092832,0.011797,0
0.081731,0.019964,0
0.076187,0.028131,0
0.092479,0.014519,0
0.088039,0.020871,0
0.058375,0.027223,0
0.077972,0.020871,0
0.11098,0.0099819,0
0.10404,0.013612,0
0.066801,0.04265,0
0.077964,0.029946,0
0.09932,0.0036298,0
0.085795,0.012704,0
0.078282,0.017241,0
0.10525,0.008167,0
0.10786,0.0027223,0
0.090044,0.0090744,0
0.0922,0.012704,0
0.091307,0.008167,0
0.095349,0.0027223,0
