@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1.5179,1.4567,2,-12,1
1.4482,1.387,2,-12,1
1.5082,1.447,2,-12,1
1.5927,1.5314,2,-12,1
1.511,1.4498,2,-12,1
1.3625,1.3013,2,-12,1
1.3848,1.3235,2,-12,1
1.2069,1.1457,3,-11,1
1.0737,1.0124,5,-9,1
1.284,1.2228,4,-10,1
1.4375,1.3763,3,-11,1
1.4477,1.3865,2,-12,1
1.483,1.4217,2,-12,1
1.5143,1.4531,4,-10,1
1.5307,1.4695,5,-9,1
1.4156,1.3543,2,-12,1
1.1551,1.0939,8,-6,1
1.068,1.0068,8,-6,1
1.2161,1.1549,8,-6,1
1.2495,1.1882,9,-5,1
0.97541,0.91418,8,-6,1
0.95004,0.8888,9,-5,1
1.3375,1.2763,4,-10,1
1.5335,1.4723,2,-12,1
1.486,1.4248,2,-12,1
1.2967,1.2354,8,-6,1
1.0865,1.0253,9,-5,1
1.2845,1.2232,5,-9,1
1.2667,1.2054,2,-12,1
1.2657,1.2045,2,-12,1
1.2793,1.2181,2,-12,1
1.2604,1.1992,2,-12,1
1.4013,1.3401,2,-12,1
1.3208,1.2596,3,-11,1
1.3962,1.335,3,-11,1
1.4146,1.3534,2,-12,1
1.4053,1.3441,2,-12,1
1.3551,1.2938,2,-12,1
1.3257,1.2644,2,-12,1
1.3832,1.322,2,-12,1
1.3766,1.3153,2,-12,1
1.2527,1.1915,2,-12,1
1.4026,1.3413,2,-12,1
1.4971,1.4359,2,-12,1
1.4827,1.4214,2,-12,1
1.5472,1.4859,2,-12,1
1.586,1.5248,2,-12,1
1.566,1.5047,2,-12,1
1.6042,1.543,2,-12,1
1.6312,1.57,2,-12,1
1.7162,1.655,2,-12,1
1.6866,1.6253,2,-12,1
1.6996,1.6383,2,-12,1
1.7234,1.6621,2,-12,1
1.6978,1.6366,2,-12,1
1.649,1.5878,2,-12,1
1.5475,1.4863,2,-12,1
1.1582,1.097,4,-10,1
0.48208,0.42084,6,-8,1
0.47509,0.41385,4,-10,1
0.29623,0.23499,6,-8,1
0.30451,0.24327,9,-5,0
0.22213,0.16089,12,-2,0
0.30812,0.24688,8,-6,0
0.32014,0.25891,8,-6,0
0.19384,0.13261,10,-4,0
0.21453,0.15329,10,-4,0
0.23865,0.17741,8,-6,0
0.27731,0.21607,6,-8,0
0.34365,0.28241,4,-10,0
0.4006,0.33936,7,-7,0
0.40208,0.34084,5,-9,0
0.35188,0.29064,5,-9,0
0.27181,0.21058,7,-7,0
