@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
747.92,740.58,5.058,0.86674,473.73,387.6,1
1064.8,1057.4,4.8867,0.69541,495.26,409.13,1
981.02,973.68,5.0061,0.81483,624.46,538.33,1
835.38,828.04,4.9732,0.78191,624.46,538.33,1
829.21,821.87,4.9377,0.74641,495.26,409.13,1
721.87,714.53,5.1621,0.97084,516.8,430.66,1
983.26,975.92,5.0113,0.82001,516.8,430.66,1
727,719.65,5.0985,0.90725,516.8,430.66,1
806.46,799.11,4.9734,0.78214,538.33,452.2,1
777.6,770.26,5.3146,1.1234,538.33,452.2,1
1225.9,1218.6,5.2457,1.0544,516.8,430.66,1
1023,1015.7,5.2266,1.0353,559.86,473.73,1
1292.1,1284.7,5.1065,0.91524,646,559.86,1
1932.4,1925,4.9715,0.78023,473.73,387.6,1
3666,3658.7,4.4892,0.29791,538.33,452.2,1
3730.1,3722.8,4.2431,0.051801,538.33,430.66,1
2918.8,2911.4,4.3315,0.14027,516.8,409.13,1
4085.1,4077.8,4.2428,0.051501,538.33,430.66,1
4677.8,4670.4,4.4053,0.21405,581.4,473.73,1
6812,6804.6,4.4445,0.25319,581.4,473.73,1
6364.1,6356.7,4.044,0,581.4,473.73,1
6252.6,6245.3,4.3544,0.31039,581.4,473.73,1
6081.5,6074.2,4.3802,0.33613,559.86,452.2,1
4955.7,4948.3,4.3291,0.28504,559.86,452.2,1
4476.6,4469.3,4.4276,0.3836,538.33,430.66,1
3655.2,3647.9,4.7228,0.67875,538.33,430.66,1
2777.3,2770,4.6383,0.59426,516.8,409.13,1
2970.8,2963.5,4.6091,0.56501,516.8,409.13,1
2576.2,2568.8,4.8706,0.82655,495.26,387.6,1
2140,2132.7,5.0141,0.97004,473.73,366.06,1
2417,2409.7,4.8976,0.8536,473.73,366.06,1
2333.3,2326,5.0636,1.0196,473.73,366.06,1
2180.6,2173.2,5.0612,1.0172,473.73,366.06,1
2056.7,2049.3,4.8763,0.83221,473.73,366.06,1
1864.3,1857,4.7648,0.72073,473.73,366.06,1
1915.4,1908.1,4.802,0.75795,473.73,366.06,1
2098.2,2090.9,4.7137,0.66966,473.73,366.06,1
1755.8,1748.5,4.6843,0.64023,473.73,366.06,1
1811.5,1804.1,4.61,0.56592,452.2,344.53,1
2110.8,2103.4,4.8287,0.78462,452.2,344.53,1
1682.1,1674.7,5.0242,0.98014,452.2,344.53,1
1904.1,1896.8,4.9632,0.91918,452.2,344.53,1
2041.6,2034.3,4.884,0.83998,452.2,344.53,1
1995.2,1980.4,4.7315,0.68741,452.2,344.53,1
2188.5,2173.7,4.8497,0.80564,452.2,344.53,1
2267.4,2252.6,4.9197,0.87564,473.73,366.06,1
2311.9,2297.1,4.7163,0.67222,473.73,366.06,1
2800.4,2785.6,4.4248,0.38073,473.73,366.06,1
3274,3259.2,4.4929,0.44881,473.73,366.06,1
2770,2755.1,4.7133,0.66922,473.73,366.06,1
2027.5,1961.5,4.8776,0.83353,495.26,387.6,1
2567.2,2501.2,4.899,0.85493,495.26,387.6,1
