@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.18474,0.12653,0.073503,0.057169,1896.7,1650.8,4.9031,0.91802,452.2,323,0.10065,0.088008,49,35,1.0421,0.99544,6,5,1
0.16835,0.11013,0.071688,0.055354,1968.8,1723,4.9313,0.94625,452.2,323,0.10364,0.090999,50,36,0.85428,0.80759,5,4,1
0.1668,0.10859,0.062613,0.046279,1801.8,1555.9,4.8602,0.87517,452.2,323,0.11029,0.097646,51,37,0.90963,0.86295,5,4,1
0.17122,0.113,0.054446,0.038113,1884.6,1638.8,4.913,0.92793,452.2,323,0.088861,0.076222,52,38,0.91465,0.86797,5,4,1
0.17394,0.11572,0.049909,0.033575,1884.1,1638.2,4.916,0.93095,452.2,323,0.084094,0.071455,52,38,0.86805,0.82137,5,4,1
0.1802,0.12198,0.060799,0.044465,1964.9,1719,4.9579,0.97288,430.66,301.46,0.097834,0.085194,51,37,0.70706,0.66038,6,5,1
0.18469,0.12647,0.07078,0.054446,2078.4,1832.6,4.9041,0.91906,452.2,323,0.098555,0.085915,52,38,0.72198,0.6753,4,3,1
0.18074,0.12252,0.064428,0.048094,1842,1596.1,4.9254,0.94033,452.2,323,0.10418,0.091546,51,37,0.80526,0.75858,5,4,1
0.17445,0.11624,0.062613,0.046279,2130.1,1884.2,4.8022,0.81712,430.66,301.46,0.10159,0.088952,51,37,0.91701,0.87033,5,4,1
0.17525,0.11704,0.056261,0.039927,1973.8,1727.9,4.714,0.72894,452.2,323,0.10507,0.092429,51,37,1.0521,1.0054,4,3,1
0.17607,0.11785,0.058076,0.041742,1670,1424.1,4.9202,0.93513,452.2,323,0.099936,0.087297,50,36,0.88274,0.83606,5,4,1
0.1764,0.11818,0.066243,0.049909,2015.1,1769.3,4.8525,0.86747,452.2,323,0.089372,0.076733,49,35,0.96175,0.91507,8,7,1
0.18529,0.12707,0.057169,0.040835,1865.7,1619.8,4.6931,0.70809,452.2,323,0.096412,0.083773,49,35,1.1931,1.1464,8,7,1
0.1837,0.12548,0.053539,0.037205,1826.5,1580.6,4.6388,0.6538,452.2,323,0.097633,0.084994,48,34,1.3451,1.2984,8,7,1
0.18332,0.1251,0.058076,0.041742,1795.2,1549.3,4.548,0.56292,452.2,323,0.10354,0.090897,48,34,1.3774,1.3307,8,7,1
0.19218,0.13397,0.059891,0.043557,1881.6,1635.7,4.52,0.53498,452.2,323,0.11843,0.10579,48,34,1.3384,1.2918,8,7,1
0.2045,0.14628,0.061706,0.045372,2073.9,1828,4.5151,0.53008,473.73,344.53,0.12357,0.11094,47,33,1.3558,1.3091,9,8,1
0.23185,0.17363,0.057169,0.040835,2224,1978.1,4.6219,0.6369,473.73,344.53,0.11775,0.10511,45,31,1.3813,1.3346,8,7,1
0.25353,0.19531,0.051724,0.03539,2475,2229.2,4.4961,0.51102,473.73,344.53,0.11941,0.10677,43,29,1.5344,1.4878,2,1,1
0.25378,0.19556,0.054446,0.038113,2514.6,2268.7,4.6616,0.67656,473.73,344.53,0.087198,0.074559,44,30,1.5545,1.5078,2,1,1
0.24708,0.18886,0.062613,0.046279,2218.8,1972.9,4.4077,0.42263,473.73,344.53,0.10496,0.092319,44,30,1.4966,1.45,9,8,1
0.25483,0.19662,0.059891,0.043557,2472.2,2226.3,4.4681,0.48301,473.73,344.53,0.12098,0.10834,43,29,1.5186,1.4719,2,1,1
0.26437,0.20615,0.053539,0.037205,2319.5,2073.7,4.3517,0.36666,473.73,344.53,0.10979,0.097147,43,29,1.6073,1.5606,2,1,1
0.26602,0.2078,0.049002,0.032668,2403.1,2157.3,4.3226,0.33758,473.73,344.53,0.11439,0.10175,42,28,1.6057,1.559,2,1,1
0.26825,0.21003,0.044465,0.028131,2438.9,2193,4.4203,0.43525,495.26,366.06,0.098148,0.085509,41,27,1.5387,1.492,2,1,1
0.27267,0.21445,0.034483,0.018149,2553.8,2308,4.4337,0.44867,495.26,366.06,0.086512,0.073873,41,27,1.4964,1.4498,2,1,1
0.28059,0.22238,0.032668,0.016334,2738.1,2492.3,4.4375,0.45241,495.26,366.06,0.098607,0.085968,40,26,1.5027,1.4561,2,1,1
0.29587,0.23765,0.028131,0.011797,2944.9,2699.1,4.4177,0.43269,495.26,366.06,0.10978,0.097142,40,26,1.478,1.4314,2,1,1
0.28608,0.22786,0.026316,0.0099819,2991.9,2746,4.5918,0.60677,495.26,366.06,0.086863,0.074224,41,27,1.4714,1.4248,2,1,1
