@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1884.1,1638.2,4.916,0.93095,452.2,323,0.084094,0.071455,52,38,1
1964.9,1719,4.9579,0.97288,430.66,301.46,0.097834,0.085194,51,37,1
2078.4,1832.6,4.9041,0.91906,452.2,323,0.098555,0.085915,52,38,1
1842,1596.1,4.9254,0.94033,452.2,323,0.10418,0.091546,51,37,1
2130.1,1884.2,4.8022,0.81712,430.66,301.46,0.10159,0.088952,51,37,1
1973.8,1727.9,4.714,0.72894,452.2,323,0.10507,0.092429,51,37,1
1670,1424.1,4.9202,0.93513,452.2,323,0.099936,0.087297,50,36,1
2015.1,1769.3,4.8525,0.86747,452.2,323,0.089372,0.076733,49,35,1
1865.7,1619.8,4.6931,0.70809,452.2,323,0.096412,0.083773,49,35,1
1826.5,1580.6,4.6388,0.6538,452.2,323,0.097633,0.084994,48,34,1
1795.2,1549.3,4.548,0.56292,452.2,323,0.10354,0.090897,48,34,1
1881.6,1635.7,4.52,0.53498,452.2,323,0.11843,0.10579,48,34,1
2073.9,1828,4.5151,0.53008,473.73,344.53,0.12357,0.11094,47,33,1
2224,1978.1,4.6219,0.6369,473.73,344.53,0.11775,0.10511,45,31,1
2475,2229.2,4.4961,0.51102,473.73,344.53,0.11941,0.10677,43,29,1
2514.6,2268.7,4.6616,0.67656,473.73,344.53,0.087198,0.074559,44,30,1
