@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.17122,0.113,0.054446,0.038113,1884.6,1638.8,4.913,0.92793,452.2,323,1
0.17394,0.11572,0.049909,0.033575,1884.1,1638.2,4.916,0.93095,452.2,323,1
0.1802,0.12198,0.060799,0.044465,1964.9,1719,4.9579,0.97288,430.66,301.46,1
0.18469,0.12647,0.07078,0.054446,2078.4,1832.6,4.9041,0.91906,452.2,323,1
0.18074,0.12252,0.064428,0.048094,1842,1596.1,4.9254,0.94033,452.2,323,1
0.17445,0.11624,0.062613,0.046279,2130.1,1884.2,4.8022,0.81712,430.66,301.46,1
0.17525,0.11704,0.056261,0.039927,1973.8,1727.9,4.714,0.72894,452.2,323,1
0.17607,0.11785,0.058076,0.041742,1670,1424.1,4.9202,0.93513,452.2,323,1
0.1764,0.11818,0.066243,0.049909,2015.1,1769.3,4.8525,0.86747,452.2,323,1
0.18529,0.12707,0.057169,0.040835,1865.7,1619.8,4.6931,0.70809,452.2,323,1
0.1837,0.12548,0.053539,0.037205,1826.5,1580.6,4.6388,0.6538,452.2,323,1
0.18332,0.1251,0.058076,0.041742,1795.2,1549.3,4.548,0.56292,452.2,323,1
0.19218,0.13397,0.059891,0.043557,1881.6,1635.7,4.52,0.53498,452.2,323,1
0.2045,0.14628,0.061706,0.045372,2073.9,1828,4.5151,0.53008,473.73,344.53,1
0.23185,0.17363,0.057169,0.040835,2224,1978.1,4.6219,0.6369,473.73,344.53,1
0.25353,0.19531,0.051724,0.03539,2475,2229.2,4.4961,0.51102,473.73,344.53,1
0.25378,0.19556,0.054446,0.038113,2514.6,2268.7,4.6616,0.67656,473.73,344.53,1
0.24708,0.18886,0.062613,0.046279,2218.8,1972.9,4.4077,0.42263,473.73,344.53,1
0.25483,0.19662,0.059891,0.043557,2472.2,2226.3,4.4681,0.48301,473.73,344.53,1
0.26437,0.20615,0.053539,0.037205,2319.5,2073.7,4.3517,0.36666,473.73,344.53,1
0.26602,0.2078,0.049002,0.032668,2403.1,2157.3,4.3226,0.33758,473.73,344.53,1
0.26825,0.21003,0.044465,0.028131,2438.9,2193,4.4203,0.43525,495.26,366.06,1
0.27267,0.21445,0.034483,0.018149,2553.8,2308,4.4337,0.44867,495.26,366.06,1
0.28059,0.22238,0.032668,0.016334,2738.1,2492.3,4.4375,0.45241,495.26,366.06,1
0.29587,0.23765,0.028131,0.011797,2944.9,2699.1,4.4177,0.43269,495.26,366.06,1
0.28608,0.22786,0.026316,0.0099819,2991.9,2746,4.5918,0.60677,495.26,366.06,1
0.2582,0.19998,0.036298,0.019964,2565.2,2319.3,4.6309,0.6459,495.26,366.06,1
0.25339,0.19517,0.03902,0.022686,2930.2,2684.3,4.62,0.63499,495.26,366.06,1
0.27059,0.21238,0.040835,0.024501,2900.1,2654.2,4.6345,0.64943,495.26,366.06,1
0.28127,0.22305,0.043557,0.027223,2960,2714.1,4.6689,0.68384,495.26,366.06,1
0.29366,0.23544,0.03902,0.022686,3138.6,2892.7,4.6196,0.63456,473.73,344.53,1
0.29319,0.23498,0.03176,0.015426,3216,2970.1,4.5457,0.5607,473.73,344.53,1
0.27972,0.2215,0.03176,0.015426,2846.5,2600.7,4.6169,0.63186,473.73,344.53,1
0.26929,0.21107,0.03902,0.022686,2780.1,2534.3,4.5855,0.60045,473.73,344.53,1
0.25907,0.20086,0.036298,0.019964,2682.5,2436.6,4.6408,0.65572,473.73,344.53,1
0.30041,0.24219,0.03902,0.022686,4165,3919.1,4.9343,0.94922,452.2,323,1
0.31248,0.25427,0.049002,0.032668,6170.4,5924.5,4.8411,0.85603,473.73,344.53,1
0.37321,0.31499,0.038113,0.021779,4878.6,4632.8,4.8481,0.86307,452.2,323,1
0.45419,0.39598,0.030853,0.014519,8303.6,8057.8,4.821,0.83595,452.2,323,1
0.46634,0.40812,0.034483,0.018149,7573.8,7327.9,4.8637,0.87865,258.4,129.2,1
0.4405,0.38228,0.03539,0.019056,7815.9,7570,4.7009,0.71586,430.66,301.46,1
0.42163,0.36341,0.032668,0.016334,7006.6,6760.7,4.6821,0.69705,258.4,129.2,1
0.43015,0.37193,0.029038,0.012704,6432,6186.1,4.6904,0.70538,258.4,129.2,1
0.39619,0.33797,0.034483,0.018149,6096.2,5850.3,4.6031,0.61809,301.46,172.27,1
0.35171,0.29349,0.037205,0.020871,4894,4648.1,4.7373,0.7523,732.13,602.93,1
0.3612,0.30298,0.03176,0.015426,5070.3,4824.4,4.616,0.63092,430.66,301.46,1
0.33131,0.2731,0.03176,0.015426,4226.3,3980.4,4.4982,0.51311,430.66,301.46,1
0.27945,0.22123,0.045372,0.029038,3879.2,3633.3,5.012,1.0269,107.67,0,1
0.26067,0.20245,0.049002,0.032668,4079.6,3833.7,5.0898,1.1048,107.67,0,1
0.22182,0.1636,0.041742,0.025408,2377.8,2131.9,4.9735,0.98847,86.133,0,1
0.23379,0.17557,0.029038,0.012704,2668.9,2423,4.7737,0.78869,86.133,0,1
0.24957,0.19135,0.019964,0.0036298,2268.4,2022.5,4.674,0.68893,107.67,21.533,1
0.20686,0.14864,0.029946,0.013612,1749.8,1503.9,4.8352,0.8502,107.67,21.533,1
0.17777,0.11956,0.03176,0.015426,1805.5,1559.6,4.6311,0.64602,279.93,193.8,1
0.21337,0.15516,0.026316,0.0099819,1976.2,1730.3,4.6244,0.63933,710.6,624.46,1
0.21095,0.15273,0.028131,0.011797,2352.1,2106.2,4.7526,0.76756,107.67,21.533,1
0.21216,0.15394,0.055354,0.03902,2412.7,2166.9,5.1618,1.1767,107.67,21.533,1
0.22761,0.1694,0.075318,0.058984,4173.9,3928,5.3954,1.4104,344.53,258.4,1
0.22586,0.16764,0.049002,0.032668,2843.7,2597.8,5.2084,1.2234,366.06,279.93,1
0.22126,0.16304,0.043557,0.027223,2659,2413.1,5.0989,1.1138,344.53,258.4,1
0.21018,0.15196,0.043557,0.027223,2232.7,1986.8,4.9352,0.95017,344.53,258.4,1
0.18751,0.1293,0.032668,0.016334,2050.7,1804.8,4.9115,0.92648,344.53,258.4,1
0.12706,0.068843,0.046279,0.029946,1169.2,923.3,5.0569,1.0718,366.06,279.93,1
0.09912,0.040902,0.062613,0.046279,662.43,416.55,5.2012,1.2162,646,559.86,1
0.10979,0.051571,0.04265,0.026316,1152.1,906.18,4.9446,0.95955,279.93,193.8,1
0.1136,0.055379,0.024501,0.008167,700.1,454.22,4.91,0.92491,107.67,21.533,1
0.099355,0.041137,0.043557,0.027223,708.6,462.72,4.9182,0.93317,258.4,172.27,1
0.080206,0.021989,0.048094,0.03176,589.39,343.51,4.9199,0.93483,258.4,172.27,0
0.068927,0.01071,0.041742,0.025408,396.82,150.94,5.0332,1.0481,366.06,279.93,0
0.058401,0.00018353,0.045372,0.029038,324.78,78.903,4.98,0.99497,279.93,193.8,0
0.057256,0,0.045372,0.029038,301.17,55.293,4.971,0.98596,258.4,172.27,0
0.059673,0.0024166,0.040835,0.024501,353.33,107.45,4.8658,0.88071,279.93,193.8,0
0.056333,0,0.029038,0.012704,261.07,15.192,4.8316,0.84656,279.93,193.8,0
0.049991,0,0.025408,0.0090744,228.71,0,4.8482,0.86315,258.4,172.27,0
0.045485,0,0.034483,0.018149,147.72,0,4.9448,0.95971,258.4,172.27,0
