@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R4

@attribute cepstralMostDominantPeak numeric
@attribute cepstralMostDominantPeak_min numeric
@attribute cepstralLocPeak numeric
@attribute class {0,1}

@data
0.089314,0.076675,49,1
0.098802,0.086163,49,1
0.091441,0.078801,50,1
0.10199,0.089346,49,1
0.11881,0.10617,49,1
0.11673,0.10409,48,1
0.099519,0.08688,47,1
0.10942,0.096777,48,1
0.11367,0.10103,48,1
0.1064,0.093758,47,1
0.11067,0.098027,46,1
0.11201,0.099367,45,1
0.1114,0.098766,46,1
0.10362,0.090984,46,1
0.10442,0.091782,46,1
0.10082,0.08818,146,1
0.10031,0.08767,48,1
0.10065,0.088008,49,1
0.10364,0.090999,50,1
0.11029,0.097646,51,1
0.088861,0.076222,52,1
0.084094,0.071455,52,1
0.097834,0.085194,51,1
0.098555,0.085915,52,1
0.10418,0.091546,51,1
0.10159,0.088952,51,1
0.10507,0.092429,51,1
0.099936,0.087297,50,1
0.089372,0.076733,49,1
0.096412,0.083773,49,1
0.097633,0.084994,48,1
0.10354,0.090897,48,1
0.11843,0.10579,48,1
0.12357,0.11094,47,1
0.11775,0.10511,45,1
0.11941,0.10677,43,1
0.087198,0.074559,44,1
0.10496,0.092319,44,1
0.12098,0.10834,43,1
0.10979,0.097147,43,1
0.11439,0.10175,42,1
0.098148,0.085509,41,1
0.086512,0.073873,41,1
0.098607,0.085968,40,1
0.10978,0.097142,40,1
0.086863,0.074224,41,1
0.079824,0.067185,42,1
0.088981,0.076341,136,1
0.093086,0.080447,42,1
0.082929,0.07029,42,1
0.086073,0.073433,43,1
0.083895,0.071256,139,1
0.09819,0.085551,43,1
0.098849,0.08621,43,1
0.093195,0.080556,45,1
0.057502,0.044863,144,1
0.049529,0.03689,47,1
0.045333,0.032694,149,1
0.054439,0.041799,48,1
0.06103,0.048391,26,1
0.031337,0.018698,24,1
0.030274,0.017635,55,1
0.042188,0.029549,61,1
0.029964,0.017325,47,1
0.036773,0.024134,71,1
0.039515,0.026876,78,1
0.030348,0.017709,29,1
0.035873,0.023234,80,1
0.0445,0.031861,84,1
0.027828,0.015189,71,1
0.026659,0.01402,67,1
0.031753,0.019114,46,1
0.022399,0.00976,25,1
0.021705,0.009066,96,1
0.02396,0.011321,56,1
0.018463,0.005824,81,1
0.051863,0.039224,72,1
0.042435,0.029796,29,1
0.038307,0.025667,96,1
0.03334,0.020701,34,1
0.035051,0.022412,41,1
0.039125,0.026485,70,1
0.033799,0.02116,69,1
0.022218,0.009579,33,1
0.022922,0.010283,62,1
0.0326,0.019961,37,1
0.021399,0.00876,70,1
0.025555,0.012915,158,0
0.018652,0.006013,88,0
0.021748,0.009109,65,0
0.017957,0.005318,72,0
0.016843,0.004204,128,0
0.014074,0.001435,113,0
0.014579,0.00194,55,0
0.020201,0.007562,35,0
0.013439,0.0008,113,0
0.014867,0.002228,85,0
0.013112,0.000472,90,0
0.010079,0,98,0
0.011402,0.001323,80,0
0.013918,0.003839,109,0
0.014831,0.004752,46,0
0.018962,0.008883,34,0
0.017049,0.00697,48,0
0.0147,0.004621,21,0
0.015349,0.00527,146,0
0.021421,0.011342,96,0
0.022196,0.012117,109,0
0.01938,0.009301,111,0
0.015021,0.004942,115,0
0.011132,0.001053,15,0
0.014413,0.004334,106,0
0.017243,0.007164,37,0
0.016058,0.005979,37,0
0.016637,0.006558,89,0
0.023924,0.013845,60,0
0.019982,0.009903,33,0
0.021298,0.011219,34,0
0.020463,0.010384,104,0
0.033322,0.023243,51,0
0.026366,0.016287,63,0
0.026088,0.016009,63,0
0.036335,0.026255,60,0
0.024501,0.014422,66,0
0.022263,0.012184,62,0
0.024319,0.014239,119,0
0.022591,0.012512,65,0
0.032781,0.022702,62,0
0.022082,0.012003,118,0
0.025485,0.015406,64,0
0.017104,0.007025,67,0
0.026131,0.016052,122,0
0.018979,0.0089,128,0
0.021872,0.011793,76,0
0.028615,0.018536,62,0
0.030667,0.020588,52,0
0.026741,0.016661,76,0
0.022931,0.012851,118,0
0.027719,0.01764,117,0
0.029639,0.01956,33,0
