@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.066235,0.034994,0.059891,0.043557,0.033322,0.023243,51,37,0
0.073108,0.041868,0.058076,0.041742,0.026366,0.016287,63,49,0
0.078676,0.047435,0.059891,0.043557,0.026088,0.016009,63,49,0
0.0797,0.04846,0.054446,0.038113,0.036335,0.026255,60,46,0
0.068939,0.037698,0.060799,0.044465,0.024501,0.014422,66,52,0
0.055375,0.024134,0.066243,0.049909,0.022263,0.012184,62,48,0
0.052599,0.021358,0.057169,0.040835,0.024319,0.014239,119,105,0
0.053327,0.022087,0.068058,0.051724,0.022591,0.012512,65,51,0
0.063728,0.032487,0.068966,0.052632,0.032781,0.022702,62,48,0
0.074438,0.043197,0.053539,0.037205,0.022082,0.012003,118,104,0
0.07959,0.04835,0.053539,0.037205,0.025485,0.015406,64,50,0
0.082199,0.050958,0.051724,0.03539,0.017104,0.0070249,67,52,0
0.084253,0.053012,0.049909,0.033575,0.026131,0.016052,122,107,0
0.084656,0.053415,0.048094,0.03176,0.018979,0.0088997,128,113,0
0.092453,0.061213,0.053539,0.037205,0.021872,0.011793,76,61,0
0.10139,0.07015,0.053539,0.037205,0.028615,0.018536,62,47,0
0.099295,0.068055,0.043557,0.027223,0.030667,0.020588,52,37,0
0.098566,0.067325,0.04265,0.026316,0.026741,0.016661,76,61,0
0.099242,0.068001,0.040835,0.024501,0.022931,0.012851,118,103,0
0.097868,0.066627,0.038113,0.021779,0.027719,0.01764,117,102,0
0.10087,0.069634,0.044465,0.028131,0.029639,0.01956,33,18,0
0.0999,0.068659,0.046279,0.029946,0.031439,0.02136,50,35,0
0.10291,0.071673,0.047187,0.030853,0.025542,0.015463,116,101,0
0.10034,0.0691,0.049909,0.033575,0.023346,0.013267,120,105,0
0.091845,0.060604,0.044465,0.028131,0.021247,0.011168,72,57,0
0.090582,0.059342,0.043557,0.027223,0.016367,0.0062875,73,58,0
0.086992,0.055751,0.048094,0.03176,0.028103,0.018024,86,71,0
0.1033,0.072064,0.038113,0.021779,0.025929,0.01585,113,98,0
0.13051,0.099267,0.029038,0.012704,0.024611,0.014532,39,24,0
0.1372,0.10596,0.029038,0.012704,0.02483,0.01475,46,31,0
0.16909,0.13785,0.024501,0.008167,0.030546,0.020467,45,30,0
0.23268,0.20144,0.025408,0.0090744,0.030938,0.020859,31,16,0
0.27742,0.24618,0.027223,0.010889,0.034875,0.024796,39,24,0
0.23682,0.20558,0.03176,0.015426,0.026047,0.015968,23,8,0
0.15217,0.12093,0.036298,0.019964,0.025289,0.01521,64,49,0
0.1344,0.10316,0.03539,0.019056,0.02135,0.011271,45,30,0
0.1146,0.083361,0.03902,0.022686,0.02463,0.014551,136,121,0
0.10952,0.078281,0.036298,0.019964,0.027137,0.017058,35,20,0
0.11595,0.084711,0.033575,0.017241,0.023033,0.012954,133,118,0
0.094311,0.06307,0.040835,0.024501,0.020297,0.010218,40,25,0
0.082456,0.051216,0.043557,0.027223,0.017095,0.0070164,89,74,0
0.10455,0.07331,0.038113,0.021779,0.021307,0.011228,56,41,0
0.13197,0.10073,0.03902,0.022686,0.02351,0.013431,47,32,0
0.13751,0.10627,0.03539,0.019056,0.038398,0.028319,43,28,0
0.12066,0.089418,0.03176,0.015426,0.026706,0.016627,15,0,0
0.097386,0.066145,0.046279,0.029946,0.020709,0.01063,84,69,0
0.099794,0.068553,0.044465,0.028131,0.019039,0.0089603,51,36,0
0.10776,0.076516,0.036298,0.019964,0.032494,0.022414,70,55,0
0.10911,0.077869,0.045372,0.029038,0.034396,0.024317,53,38,0
0.11356,0.082318,0.049909,0.033575,0.028278,0.018199,16,1,0
0.12235,0.091105,0.047187,0.030853,0.026808,0.016729,40,25,0
0.13213,0.10089,0.051724,0.03539,0.037687,0.027608,40,25,0
0.11324,0.082004,0.059891,0.043557,0.032175,0.022095,72,57,0
0.10802,0.076783,0.056261,0.039927,0.033827,0.023748,33,18,0
0.12806,0.096824,0.046279,0.029946,0.033146,0.023067,74,59,0
0.12944,0.0982,0.04265,0.026316,0.036401,0.026322,75,60,0
