@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.030699,0.016466,40,33,0
0.028978,0.014746,133,126,0
0.027424,0.013192,135,128,0
0.034542,0.02031,80,73,0
0.028471,0.014239,33,26,1
0.031802,0.01757,88,81,1
0.042458,0.028226,41,34,1
0.061564,0.047332,33,26,1
0.04321,0.028977,28,21,1
0.042276,0.028044,32,25,1
0.031482,0.01725,27,20,1
0.044887,0.030655,8,1,1
0.084513,0.070281,33,26,1
0.10912,0.094883,34,27,1
0.079025,0.064793,37,30,1
0.04798,0.033748,49,42,1
0.036442,0.02221,62,55,1
0.031741,0.017509,118,111,1
0.041394,0.027162,25,18,1
0.025798,0.011566,75,68,1
0.032378,0.018146,84,77,1
0.02671,0.012478,84,77,0
0.023871,0.0096391,50,43,0
0.024463,0.01023,68,61,0
0.02913,0.014898,90,83,0
0.028241,0.014009,34,27,0
0.025569,0.011337,62,55,0
0.028803,0.014571,61,54,0
0.032894,0.017136,71,64,0
0.034454,0.018695,66,59,0
0.034847,0.0188,82,75,0
0.029332,0.013285,97,90,0
0.028944,0.012897,55,48,0
0.035348,0.019301,146,139,0
0.035994,0.019947,145,138,0
0.022894,0.0068465,38,31,0
0.034297,0.01825,34,27,0
0.026487,0.01044,58,51,0
0.027137,0.01109,138,131,0
0.030703,0.014656,55,48,0
0.032171,0.016123,137,130,0
0.033696,0.017648,145,138,0
0.033052,0.017005,34,27,0
0.03333,0.016085,52,45,0
0.021067,0.0038221,35,28,0
0.031522,0.014277,54,47,0
0.025273,0.0080284,23,16,0
0.023866,0.0066211,31,24,0
0.02567,0.0084249,68,61,0
0.026144,0.0088996,48,41,0
0.021099,0.003854,57,50,0
0.021485,0.0042404,143,136,0
0.0165,0,54,47,0
0.018415,0.0019153,42,35,0
0.023709,0.0072095,35,28,0
0.024606,0.0081069,49,42,0
0.020811,0.0043117,40,33,0
0.022036,0.0055365,24,17,0
0.020735,0.0042352,54,47,0
0.014735,0,135,128,0
0.018179,0.0034441,63,56,0
0.020116,0.0053811,73,66,0
0.022953,0.0082182,108,101,0
0.018755,0.00402,41,34,0
0.022429,0.0076944,43,36,0
0.020144,0.0054098,34,27,0
0.021222,0.0064876,99,92,0
0.016134,0.001399,49,42,0
0.020536,0.0058015,24,17,0
0.025457,0.010722,23,16,0
0.018469,0.0037347,117,110,0
0.024995,0.01026,101,94,0
0.025539,0.010805,23,16,0
0.026152,0.011418,25,18,0
0.017578,0.0028429,74,67,0
0.02787,0.013135,25,18,0
0.013868,0,35,27,0
0.020492,0.0066238,32,24,0
0.023177,0.0093082,35,27,0
0.017981,0.0041125,115,107,0
0.032177,0.018309,68,60,0
0.027074,0.013206,25,17,0
0.025148,0.01128,62,54,0
0.025271,0.011403,35,27,0
0.030665,0.016796,53,45,0
0.019588,0.0057201,50,42,0
0.020009,0.0061404,34,26,0
0.027351,0.013483,116,108,0
0.028709,0.014841,67,59,0
0.017059,0.0031907,58,50,0
0.028341,0.014473,21,13,0
0.019589,0.0057208,141,133,0
0.017603,0.0037349,59,51,0
0.01637,0.0025018,111,103,0
0.016886,0.003018,143,135,0
0.020552,0.0066838,62,54,0
0.020523,0.0066547,143,135,0
0.029377,0.015508,24,16,0
0.017878,0.0040097,55,47,0
0.018567,0.0046985,42,34,0
0.027145,0.013277,136,128,0
0.018748,0.0048795,124,116,0
0.021623,0.0077542,29,21,0
0.022721,0.0088524,59,51,0
0.026915,0.013047,71,63,0
0.02737,0.013501,55,47,0
0.031092,0.017224,23,15,0
0.030037,0.016169,35,27,0
0.040839,0.026971,70,62,0
0.034936,0.021067,55,47,0
0.029794,0.015926,40,32,0
0.02625,0.012382,10,2,0
0.033046,0.019178,41,33,0
0.032774,0.018906,79,71,0
0.018369,0.0045006,40,32,0
0.023162,0.0092936,47,39,0
0.020631,0.0067627,29,21,0
0.023076,0.009208,40,32,0
0.01692,0.0030513,30,22,0
0.01773,0.0038621,100,92,0
0.01201,0,130,122,0
0.025502,0.013492,45,37,0
0.015836,0.0038257,43,35,0
0.019314,0.007304,39,31,0
0.018201,0.0061913,48,40,0
0.025382,0.013372,134,126,0
0.019037,0.007027,31,23,0
0.018532,0.006522,28,20,0
0.015351,0.0033413,47,39,0
0.020981,0.0089712,36,28,0
0.010887,0,42,34,0
0.013577,0.0026905,30,22,0
0.024247,0.01336,14,6,0
0.018478,0.0075912,161,153,0
0.024482,0.013595,59,51,0
0.026339,0.015452,52,44,0
0.023138,0.012251,37,29,0
0.023398,0.012512,42,34,0
0.027226,0.016339,41,33,0
