@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.054913,0.023672,0.049002,0.029038,0.24473,0.18349,5,4,0
0.061482,0.030241,0.051724,0.03176,0.16569,0.10445,6,5,0
0.058349,0.027108,0.044465,0.024501,0.17173,0.11049,6,5,0
0.055221,0.02398,0.057169,0.037205,0.25058,0.18934,6,5,0
0.05378,0.022539,0.068966,0.049002,0.26488,0.20364,6,5,0
0.054297,0.023056,0.069873,0.049909,0.3384,0.27716,4,3,0
0.057181,0.02594,0.064428,0.044465,0.17854,0.11731,7,6,0
0.057884,0.026643,0.060799,0.040835,0.2909,0.22966,6,5,0
0.057996,0.026755,0.062613,0.04265,0.28683,0.22559,7,6,0
0.048651,0.01741,0.08167,0.061706,0.34088,0.27965,5,4,0
0.047675,0.016435,0.07441,0.054446,0.25589,0.19465,5,4,0
0.048651,0.01741,0.062613,0.04265,0.28632,0.22508,6,5,0
0.046526,0.015286,0.071688,0.051724,0.30295,0.24171,6,5,0
0.059625,0.028384,0.068058,0.048094,0.36022,0.29898,6,5,0
0.067263,0.036022,0.07078,0.050817,0.35553,0.29429,6,5,0
0.060619,0.029378,0.073503,0.053539,0.55688,0.49564,4,3,0
0.066268,0.035027,0.057169,0.037205,0.45832,0.39708,5,4,0
0.081317,0.050077,0.046279,0.026316,0.51062,0.44938,3,2,0
0.097906,0.066665,0.046279,0.026316,0.77042,0.70918,2,1,0
0.10917,0.077933,0.029946,0.0099819,1.1432,1.082,2,1,0
0.10107,0.069832,0.028131,0.008167,1.0147,0.95341,2,1,0
0.089814,0.058574,0.045372,0.025408,0.55421,0.49297,4,3,0
0.10183,0.07059,0.050817,0.030853,0.77227,0.71103,2,1,0
0.10472,0.07348,0.048094,0.028131,0.84314,0.78191,2,1,0
0.090797,0.059556,0.062613,0.04265,0.67201,0.61077,4,3,0
0.077032,0.045792,0.068966,0.049002,0.6964,0.63516,3,2,0
0.060013,0.028772,0.063521,0.043557,0.49322,0.43198,6,5,0
0.05168,0.020439,0.055354,0.03539,0.40117,0.33993,5,4,0
0.04841,0.017169,0.048094,0.028131,0.41895,0.35771,3,2,0
0.058925,0.027685,0.040835,0.020871,0.38319,0.32195,3,2,0
0.071239,0.039998,0.038113,0.018149,0.53618,0.47495,2,1,0
