@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.060619,0.029378,0.03539,0.015426,0
0.052386,0.021145,0.048094,0.028131,0
0.050722,0.019481,0.058076,0.038113,0
0.053574,0.022333,0.058984,0.03902,0
0.045216,0.013975,0.075318,0.055354,0
0.039792,0.0085512,0.073503,0.053539,0
0.043271,0.01203,0.059891,0.039927,0
0.040727,0.0094859,0.063521,0.043557,0
0.045453,0.014212,0.058984,0.03902,0
0.052779,0.021538,0.047187,0.027223,0
0.057435,0.026194,0.04265,0.022686,0
0.078073,0.046833,0.043557,0.023593,0
0.082507,0.051266,0.043557,0.023593,0
0.068947,0.037706,0.041742,0.021779,0
0.072329,0.041088,0.039927,0.019964,0
0.072104,0.040864,0.039927,0.019964,0
0.061429,0.030188,0.044465,0.024501,0
0.070445,0.039204,0.045372,0.025408,0
0.066926,0.035685,0.049909,0.029946,0
0.048762,0.017521,0.063521,0.043557,0
0.044945,0.013704,0.061706,0.041742,0
0.044651,0.01341,0.062613,0.04265,0
0.043907,0.012667,0.061706,0.041742,0
0.036891,0.0056499,0.058984,0.03902,0
0.049703,0.018462,0.050817,0.030853,0
0.067331,0.03609,0.03539,0.015426,0
0.078703,0.047463,0.038113,0.018149,0
0.070319,0.039079,0.050817,0.030853,0
0.058248,0.027007,0.049909,0.029946,0
0.058,0.026759,0.046279,0.026316,0
0.051141,0.019901,0.046279,0.026316,0
0.054913,0.023672,0.049002,0.029038,0
0.061482,0.030241,0.051724,0.03176,0
0.058349,0.027108,0.044465,0.024501,0
0.055221,0.02398,0.057169,0.037205,0
0.05378,0.022539,0.068966,0.049002,0
0.054297,0.023056,0.069873,0.049909,0
0.057181,0.02594,0.064428,0.044465,0
0.057884,0.026643,0.060799,0.040835,0
0.057996,0.026755,0.062613,0.04265,0
0.048651,0.01741,0.08167,0.061706,0
0.047675,0.016435,0.07441,0.054446,0
0.048651,0.01741,0.062613,0.04265,0
0.046526,0.015286,0.071688,0.051724,0
0.059625,0.028384,0.068058,0.048094,0
0.067263,0.036022,0.07078,0.050817,0
0.060619,0.029378,0.073503,0.053539,0
0.066268,0.035027,0.057169,0.037205,0
0.081317,0.050077,0.046279,0.026316,0
0.097906,0.066665,0.046279,0.026316,0
0.10917,0.077933,0.029946,0.0099819,0
0.10107,0.069832,0.028131,0.008167,0
0.089814,0.058574,0.045372,0.025408,0
0.10183,0.07059,0.050817,0.030853,0
0.10472,0.07348,0.048094,0.028131,0
0.090797,0.059556,0.062613,0.04265,0
0.077032,0.045792,0.068966,0.049002,0
0.060013,0.028772,0.063521,0.043557,0
0.05168,0.020439,0.055354,0.03539,0
0.04841,0.017169,0.048094,0.028131,0
0.058925,0.027685,0.040835,0.020871,0
0.071239,0.039998,0.038113,0.018149,0
0.12653,0.095288,0.057169,0.037205,0
0.13768,0.10643,0.076225,0.056261,0
0.12369,0.092445,0.058984,0.03902,0
0.1284,0.097162,0.048094,0.028131,0
0.12065,0.089413,0.056261,0.036298,1
0.12328,0.092038,0.049909,0.029946,1
0.11538,0.084138,0.04265,0.022686,1
0.11151,0.080269,0.043557,0.023593,1
0.15777,0.12653,0.037205,0.017241,1
0.16123,0.12999,0.041742,0.021779,1
0.12379,0.092544,0.049909,0.029946,1
0.12602,0.094783,0.041742,0.021779,1
0.12895,0.097709,0.047187,0.027223,1
0.14003,0.10879,0.050817,0.030853,1
0.14485,0.11361,0.048094,0.028131,1
0.14526,0.11402,0.050817,0.030853,1
0.13346,0.10222,0.051724,0.03176,1
0.10865,0.077406,0.048094,0.028131,1
0.1116,0.080363,0.048094,0.028131,1
0.12181,0.090566,0.057169,0.037205,1
0.1162,0.084963,0.062613,0.04265,1
0.10586,0.074614,0.054446,0.034483,1
0.1052,0.073955,0.052632,0.032668,1
0.11061,0.079374,0.045372,0.025408,1
0.12829,0.097048,0.038113,0.018149,1
0.13393,0.10269,0.037205,0.017241,1
0.12623,0.094988,0.03902,0.019056,1
0.12444,0.093199,0.04265,0.022686,1
0.11479,0.083552,0.044465,0.024501,1
0.10099,0.069744,0.049002,0.029038,1
0.10046,0.069224,0.043557,0.023593,1
0.10157,0.070326,0.03902,0.019056,1
0.098461,0.06722,0.044465,0.024501,1
0.10447,0.073231,0.050817,0.030853,1
0.10383,0.072589,0.052632,0.032668,1
0.099458,0.068217,0.050817,0.030853,1
0.10202,0.070779,0.049909,0.029946,1
0.092931,0.06169,0.056261,0.036298,1
0.082926,0.051685,0.053539,0.033575,1
0.082257,0.051016,0.050817,0.030853,1
0.09465,0.063409,0.052632,0.032668,1
0.10238,0.07114,0.047187,0.027223,1
0.10124,0.069998,0.044465,0.024501,1
0.10086,0.069623,0.044465,0.024501,1
0.098318,0.067077,0.04265,0.022686,1
0.10167,0.070426,0.049002,0.029038,1
0.098593,0.067353,0.055354,0.03539,1
0.096115,0.064874,0.046279,0.026316,1
0.09,0.058759,0.055354,0.03539,1
0.0895,0.05826,0.079855,0.059891,1
0.10384,0.072598,0.083485,0.063521,1
0.11395,0.082709,0.058076,0.038113,1
0.1191,0.08786,0.046279,0.026316,1
0.22361,0.19237,0.041742,0.021779,1
0.35742,0.32618,0.026316,0.0063521,1
0.41697,0.38573,0.024501,0.0045372,1
0.4073,0.37606,0.026316,0.0018149,1
0.43362,0.40238,0.028131,0.0036298,1
0.50537,0.47413,0.03176,0.0072595,1
0.58466,0.55342,0.030853,0.0063521,1
