@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
35.022,24.833,4.6361,0.96839,473.73,387.6,0.0164,0.01473,48,0
32.136,21.947,4.4768,1.1276,473.73,387.6,0.01176,0.01009,42,0
42.521,32.332,4.8134,0.79109,473.73,387.6,0.0098642,0.0081948,42,0
52.316,42.127,5.2624,0.34207,473.73,387.6,0.0065858,0.0049164,53,0
56.062,45.873,5.4435,0.16095,2239.5,2153.3,0.0035648,0.0018954,130,0
49.645,39.456,5.476,0.12843,473.73,387.6,0.0030833,0.0014139,46,0
48.006,37.816,5.3485,0.25593,473.73,387.6,0.0049725,0.0033031,41,0
45.754,35.565,5.462,0.14245,2002.6,1916.5,0.0023634,0.00069403,102,0
40.928,30.738,5.5172,0.087302,2304.1,2217.9,0.0021726,0.00050324,63,0
43.032,32.843,5.4499,0.15453,2304.1,2217.9,0.0032224,0.001553,58,0
39.784,29.594,5.4607,0.14376,2325.6,2239.5,0.0028067,0.0011373,61,0
39.204,29.015,5.5109,0.093574,215.33,129.2,0.0021325,0.0004631,139,0
41.195,31.006,5.5835,0.020905,2174.9,2088.7,0.0019576,0.00028822,136,0
43.617,33.428,5.5383,0.066148,1981.1,1894.9,0.0023652,0.00069578,59,0
40.176,29.986,5.5134,0.091024,559.86,473.73,0.0020792,0.00040983,102,0
37.176,26.987,5.4623,0.14217,150.73,64.6,0.0016776,8.2091e-06,53,0
39.616,29.427,5.4663,0.13813,193.8,107.67,0.002072,0.00040258,33,0
40.618,30.429,5.5813,0.023164,559.86,473.73,0.0026185,0.00094913,114,0
37.018,26.829,5.6439,0,538.33,452.2,0.0020333,0.00036389,35,0
38.639,28.45,5.6086,0.035265,473.73,387.6,0.0021981,0.00052865,39,0
37.934,27.744,5.5888,0.055128,301.46,215.33,0.0020819,0.00041248,120,0
34.896,24.707,5.6354,0.0085209,279.93,193.8,0.0016426,0,90,0
31.359,21.17,5.6076,0.036326,150.73,64.6,0.0019038,0.00026117,7,0
29.832,19.643,5.5367,0.10716,366.06,279.93,0.0015354,0,28,0
33.269,23.08,5.5329,0.11103,323,236.87,0.0017671,0.00023169,106,0
35.848,25.659,5.612,0.031909,495.26,409.13,0.0018848,0.00034933,42,0
31.571,21.382,5.5983,0.045643,430.66,344.53,0.0014177,0,61,0
26.535,16.346,5.5745,0.069428,409.13,323,0.0012717,0,45,0
29.149,18.96,5.4579,0.18599,301.46,215.33,0.0012343,0,26,0
29.498,19.308,5.4393,0.20463,301.46,215.33,0.0015631,0.00032875,96,0
28.559,18.37,5.479,0.1649,301.46,215.33,0.0012628,2.8443e-05,116,0
24.604,14.414,5.4603,0.18358,21.533,0,0.0012007,0,111,0
27.214,17.025,5.4828,0.16111,387.6,366.06,0.0014413,0.00024058,60,0
27.878,17.689,5.4346,0.20929,215.33,193.8,0.0009747,0,60,0
29.94,19.751,5.4653,0.17857,150.73,129.2,0.0013405,0.00036578,66,0
27.909,17.72,5.5718,0.072073,21.533,0,0.0010357,6.1027e-05,65,0
28.696,18.507,5.4901,0.15383,21.533,0,0.0012321,0.00025737,89,0
29.517,19.328,5.5073,0.13659,236.87,215.33,0.0012255,0.00025084,42,0
31.856,21.667,5.5451,0.098799,215.33,193.8,0.0012037,0.00022903,35,0
31.195,21.006,5.551,0.09293,258.4,236.87,0.0019099,0.00093521,106,0
32.881,22.692,5.5113,0.13261,215.33,193.8,0.0015059,0.00053119,65,0
39.5,29.311,5.5868,0.057131,21.533,0,0.0026587,0.001684,62,0
50.471,40.282,5.6946,0,2368.7,2347.1,0.0027823,0.0018076,58,0
42.961,32.772,5.6581,0.036427,2368.7,2347.1,0.0023506,0.0013759,67,0
43.262,33.072,5.6332,0.061408,775.2,753.66,0.0023837,0.001409,117,0
46.763,36.574,5.6879,0.0066813,430.66,409.13,0.002397,0.0014223,21,0
51.49,41.301,5.687,0.0075898,1485.8,1464.3,0.0025801,0.0016054,73,0
49.355,39.165,5.6596,0.035003,1485.8,1464.3,0.0024774,0.0015027,68,0
53.377,43.188,5.6241,0.070487,2411.7,2390.2,0.0030386,0.0020639,59,0
60.71,50.521,5.7018,0,1507.3,1485.8,0.0044319,0.0034572,36,0
58.713,48.524,5.5993,0.10251,2304.1,2282.5,0.0043285,0.0033537,60,0
49.26,39.071,5.5316,0.17015,2045.7,2024.1,0.0025823,0.0016076,148,0
47.013,36.824,5.3725,0.3293,258.4,236.87,0.0023529,0.0013782,108,0
46.461,36.272,5.1589,0.54289,150.73,129.2,0.0022965,0.0013218,94,0
35.7,25.511,5.0582,0.64356,452.2,430.66,0.0031848,0.0022101,56,0
40.043,29.854,5.2878,0.41393,215.33,193.8,0.0014147,0.00044003,50,0
28.809,18.62,4.9608,0.74094,236.87,215.33,0.0012131,0.00023841,114,0
27.14,16.951,5.2824,0.41941,193.8,172.27,0.0010185,4.3821e-05,67,0
29.594,19.405,5.3975,0.30426,150.73,129.2,0.0015653,0.00059063,88,0
29.787,19.598,5.6018,0.099996,236.87,215.33,0.0011415,0.00016683,89,0
25.684,15.495,5.1735,0.52828,258.4,236.87,0.00094813,0,105,0
25.076,14.887,5.2668,0.43497,215.33,193.8,0.00074457,0,41,0
24.62,14.431,5.2573,0.44449,409.13,387.6,0.0013141,0.00056952,33,0
27.437,17.248,5.0953,0.60651,516.8,495.26,0.0024421,0.0016975,32,0
24.991,14.802,4.9816,0.72015,516.8,495.26,0.0022516,0.0015071,33,0
28.74,18.551,5.2488,0.45301,516.8,495.26,0.0018841,0.0011395,37,0
28.654,18.465,5.0912,0.61061,236.87,215.33,0.0011368,0.00039221,44,0
31.903,21.714,5.409,0.29275,279.93,258.4,0.0014974,0.00075287,42,0
27.471,17.282,5.2352,0.46653,279.93,258.4,0.0024012,0.0016566,114,0
26.669,16.48,5.4072,0.29453,279.93,258.4,0.0016395,0.00089489,105,0
27.844,17.655,5.3768,0.32492,279.93,258.4,0.0013694,0.00062482,130,0
31.271,21.082,5.4953,0.20642,236.87,215.33,0.0019587,0.0012141,124,0
28.523,18.333,5.3938,0.30797,279.93,258.4,0.0018334,0.0010888,89,0
27.399,17.21,5.1854,0.51633,301.46,279.93,0.0010301,0.00028556,117,0
27.41,17.221,5.0995,0.60227,258.4,236.87,0.0014383,0.00069377,137,0
26.427,16.238,5.2741,0.42764,258.4,236.87,0.0010738,0.00032927,149,0
25.709,15.52,5.2329,0.46885,236.87,215.33,0.001028,0.0002834,43,0
24.452,14.263,5.4014,0.30035,193.8,172.27,0.0007551,1.053e-05,131,0
25.563,15.374,5.4244,0.27736,172.27,150.73,0.00071051,0,110,0
27.511,17.322,5.1381,0.56363,193.8,172.27,0.0013634,0.00065285,142,0
24.976,14.787,5.2867,0.41505,279.93,258.4,0.0011663,0.00045582,120,0
24.198,14.009,5.0739,0.62787,258.4,236.87,0.001372,0.00066144,139,0
24.461,14.272,5.3307,0.37111,258.4,236.87,0.0010074,0.00029687,40,0
24.751,14.562,5.1141,0.5877,258.4,236.87,0.0011897,0.00047918,81,0
22.809,12.62,4.9006,0.80117,258.4,236.87,0.0013494,0.00063892,153,0
21.995,11.806,5.2641,0.43765,279.93,258.4,0.00094072,0.00023021,114,0
22.988,12.799,5.2535,0.44823,258.4,236.87,0.00073018,1.967e-05,76,0
32.458,22.269,5.6371,0.064694,430.66,409.13,0.0015976,0.00088713,28,0
26.349,16.159,5.4313,0.27043,215.33,193.8,0.0010117,0.00030119,80,0
24.231,14.042,5.3278,0.37393,215.33,193.8,0.0010268,0.00031624,141,0
21.925,11.736,5.335,0.36676,258.4,236.87,0.0008272,0.00011669,127,0
22.314,12.125,5.4903,0.21149,258.4,236.87,0.00086894,0.00015842,57,0
40.665,30.476,5.5848,0.11699,236.87,215.33,0.002576,0.0018655,123,0
42.278,32.088,5.5267,0.17505,172.27,150.73,0.0026669,0.0019564,57,0
40.53,30.341,5.4482,0.25358,215.33,193.8,0.0029646,0.0022541,56,0
36.828,26.639,5.5018,0.19998,279.93,258.4,0.0020009,0.0012903,105,0
34.175,23.986,5.412,0.28972,409.13,387.6,0.0022615,0.001551,72,0
31.559,21.37,5.3726,0.32921,366.06,344.53,0.002014,0.0013035,57,0
30.372,20.183,5.4251,0.27664,215.33,193.8,0.00097112,0.00026061,74,0
38.772,28.583,5.3947,0.30704,279.93,258.4,0.0019104,0.0011999,117,0
41.672,31.483,5.6461,0.055614,107.67,86.133,0.0024296,0.001719,38,0
31.021,20.832,5.5366,0.16517,344.53,323,0.0013233,0.00061283,38,0
24.748,14.559,5.4797,0.22209,86.133,64.6,0.0013084,0.00059788,71,0
21.58,11.391,5.4215,0.2803,64.6,43.066,0.0010703,0.00035983,43,0
20.305,10.116,5.2761,0.42564,193.8,172.27,0.00066291,0,61,0
21.95,11.761,5.2367,0.46509,215.33,193.8,0.00093317,0.00027026,63,0
21.618,11.428,5.2756,0.42618,21.533,0,0.0010459,0.00038304,105,0
30.13,19.941,5.5021,0.1997,366.06,344.53,0.0014334,0.00077052,108,0
22.159,11.97,5.2887,0.41304,344.53,323,0.0018253,0.0011624,76,0
25.643,15.454,5.1069,0.59491,495.26,473.73,0.0020976,0.0014347,42,0
27.057,16.867,4.9473,0.75449,172.27,150.73,0.0020115,0.0013486,42,0
25.701,15.511,5.1318,0.56993,215.33,193.8,0.0012627,0.00059979,46,0
25.531,15.342,5.2593,0.44248,301.46,279.93,0.0012668,0.0006039,87,0
