@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
951.49,777.82,4.9014,0.70227,323,193.8,0
990.22,816.56,4.8714,0.73231,236.87,107.67,0
1360,1186.3,4.6712,0.9325,215.33,86.133,0
1408.3,1234.6,4.6762,0.92747,236.87,107.67,0
1704.3,1530.7,4.5112,1.0925,258.4,129.2,0
1565,1391.3,4.4823,1.1214,215.33,86.133,0
1926.2,1752.6,4.3944,1.2092,215.33,86.133,0
1394.8,1221.2,4.6671,0.93655,236.87,107.67,0
1546.2,1372.6,4.6447,0.95901,301.46,172.27,0
895.62,721.96,4.9264,0.67729,215.33,86.133,0
1051.5,877.88,4.7596,0.84408,215.33,86.133,0
1724.7,1551,4.5705,1.0332,279.93,150.73,0
1301,1127.3,4.6783,0.92534,215.33,86.133,0
1115.2,941.53,4.8392,0.76451,172.27,43.066,0
792.9,619.24,4.9591,0.64458,193.8,64.6,0
1155.1,981.45,4.7613,0.84235,193.8,64.6,0
602.19,428.53,5.1949,0.40874,215.33,86.133,0
696.85,523.19,4.976,0.62764,215.33,86.133,0
900.23,726.57,4.9516,0.65205,258.4,129.2,0
676.04,502.38,5.1611,0.44257,193.8,64.6,0
705.5,531.84,4.9557,0.64796,236.87,107.67,0
613.28,439.62,5.1095,0.49421,193.8,64.6,0
505.88,332.22,5.1869,0.4168,193.8,64.6,0
394.99,221.33,5.4064,0.19723,150.73,21.533,0
465.02,291.36,5.2317,0.37198,150.73,21.533,0
379.19,205.53,5.3132,0.29046,344.53,215.33,0
500.87,327.21,5.1513,0.45235,215.33,86.133,0
329.32,155.66,5.2793,0.32437,258.4,129.2,0
485.58,311.92,5.0828,0.52089,236.87,107.67,0
183.72,10.062,5.4673,0.13634,150.73,21.533,0
238.82,65.163,5.3696,0.23401,172.27,43.066,0
355.72,182.06,5.2006,0.40307,236.87,107.67,0
647.83,474.17,4.9128,0.69084,215.33,86.133,0
426.84,253.18,5.1199,0.48375,236.87,107.67,0
375.92,202.25,5.1816,0.42203,172.27,43.066,0
847.27,673.61,4.7984,0.80522,215.33,86.133,0
503.1,329.44,5.3726,0.23101,193.8,64.6,0
429.06,255.39,5.4574,0.14622,215.33,86.133,1
447.53,273.87,5.4954,0.10831,215.33,86.133,1
736.88,563.22,5.3813,0.22237,215.33,86.133,1
608.27,434.61,5.6049,0,215.33,86.133,1
612.06,438.4,5.5954,0.0095476,279.93,150.73,1
774.73,601.07,5.5871,0.017865,172.27,43.066,1
698.12,524.45,5.5271,0.077818,323,193.8,1
631.66,458,5.5295,0.07545,215.33,86.133,1
847.5,666.82,5.5443,0.060647,258.4,107.67,1
739.86,559.18,5.5802,0.02475,193.8,43.066,1
869.93,689.25,5.6356,0,279.93,129.2,1
975.78,795.1,5.6223,0.013247,882.86,732.13,1
1291.3,1110.6,5.5849,0.050636,236.87,86.133,1
1701.5,1520.8,5.5474,0.088183,344.53,193.8,1
2285.2,2104.5,5.443,0.19254,215.33,64.6,1
2274.8,2094.1,5.5486,0.086968,193.8,43.066,1
1786.8,1606.1,5.3594,0.27615,861.33,710.6,1
2017.2,1836.5,5.173,0.46255,882.86,732.13,1
2505,2324.3,5.182,0.45356,882.86,732.13,1
2518.8,2338.1,5.0841,0.55145,904.39,753.66,1
2336.8,2156.1,5.0023,0.6333,904.39,753.66,1
2449.8,2269.1,5.1338,0.50179,904.39,753.66,1
2343.6,2162.9,5.1292,0.50637,882.86,732.13,1
2309.6,2128.9,5.2686,0.36694,882.86,732.13,1
2308,2127.3,5.2905,0.34505,861.33,710.6,1
1938.2,1757.5,5.2526,0.38294,882.86,732.13,1
2058.8,1878.1,5.1616,0.47394,882.86,732.13,1
2147.6,1966.9,5.2963,0.33924,861.33,710.6,1
2212.3,2031.6,5.3402,0.29539,882.86,732.13,1
2165.6,1985,5.2027,0.43283,904.39,753.66,1
2190.4,2009.7,5.3084,0.32718,947.46,796.73,1
2158.1,1977.4,5.2087,0.42683,968.99,818.26,1
2078.3,1897.6,5.1889,0.44667,990.53,839.79,1
2038.2,1857.5,5.1667,0.46885,990.53,839.79,1
2454.3,2273.6,5.2254,0.41013,990.53,839.79,1
2263.4,2082.7,5.3454,0.29014,968.99,818.26,1
2854.6,2673.9,5.2528,0.38276,947.46,796.73,1
2393.5,2212.8,5.2853,0.35022,925.93,775.2,1
2034.8,1854.1,5.2511,0.38448,904.39,753.66,1
2122,1941.3,5.177,0.4586,904.39,753.66,1
1790.6,1609.9,5.1476,0.48795,904.39,753.66,1
1435.9,1255.2,5.1574,0.47813,904.39,753.66,1
1568.2,1387.5,5.1364,0.49916,904.39,753.66,1
1705.6,1524.9,5.0438,0.59176,925.93,775.2,1
1912.6,1731.9,5.105,0.53053,925.93,775.2,1
