@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.24184,0.2268,73,1
0.218,0.20295,75,1
0.21066,0.19562,76,1
0.23578,0.21802,77,1
0.22336,0.2056,78,1
0.21783,0.20007,79,1
0.21431,0.19655,81,1
0.18868,0.17092,84,1
0.1471,0.12934,85,1
0.19421,0.17645,86,1
0.18181,0.16405,88,1
0.18092,0.16316,88,1
0.19614,0.17838,87,1
0.18914,0.17138,88,1
0.15072,0.13296,89,1
0.13041,0.11265,88,1
0.10321,0.085448,89,1
0.076672,0.058913,94,1
0.094011,0.076251,97,1
0.073815,0.056055,98,1
0.058692,0.040933,106,1
0.039319,0.021559,9,1
0.038186,0.020427,81,1
0.070669,0.05291,132,1
0.030848,0.013088,123,1
0.059999,0.042239,120,1
0.041073,0.023313,112,1
0.09508,0.07732,107,1
0.053072,0.035312,103,1
0.10437,0.086606,100,1
0.068307,0.050548,97,1
0.10215,0.084395,92,1
0.077911,0.060151,89,1
0.1073,0.089537,86,1
0.10281,0.085047,85,1
0.083044,0.065285,84,1
0.099795,0.082036,85,1
0.10073,0.082967,86,1
0.095692,0.077933,86,1
0.089609,0.071849,83,1
0.10254,0.084782,81,1
0.10071,0.082949,80,1
0.10207,0.084311,79,1
0.10902,0.091263,80,1
0.12561,0.10785,79,1
0.11976,0.102,78,1
0.072261,0.054501,70,1
0.1043,0.086538,70,1
0.057083,0.039324,30,1
0.056216,0.038456,29,1
0.024589,0.0068299,23,1
0.024195,0.0064352,120,1
0.024731,0.0069714,133,0
0.026287,0.0085277,164,0
0.024052,0.0062923,158,0
0.022381,0.0046213,144,0
0.030641,0.012882,41,0
0.021412,0.0036521,148,0
0.01849,0.0007302,163,0
0.018467,0.00070772,123,0
0.015434,0,31,0
0.029084,0.013649,134,0
0.019944,0.0045092,107,0
0.022194,0.0067592,44,0
0.020011,0.0045767,49,0
0.025391,0.0099565,156,0
0.023166,0.0077321,154,0
0.020283,0.0048485,39,0
0.026767,0.011332,82,0
0.022912,0.0074781,141,0
0.031533,0.016099,123,0
0.024095,0.0086604,89,0
0.026238,0.010804,112,0
0.022725,0.0072901,176,0
0.020505,0.0050705,185,0
0.016864,0.0014299,60,0
0.028405,0.01297,51,0
0.01955,0.0041155,78,0
0.025779,0.010345,154,0
0.021983,0.0065491,49,0
0.025431,0.0099961,122,0
0.024752,0.0093178,64,0
0.020655,0.0052204,135,0
0.018156,0.002722,98,0
0.025459,0.010025,88,0
0.01989,0.0044556,78,0
0.022883,0.0074482,112,0
0.03139,0.015955,47,0
0.027498,0.012063,158,0
0.019207,0.0037723,79,0
0.021152,0.0057179,103,0
0.017686,0.0022513,124,0
0.022243,0.0068091,144,0
0.028684,0.013249,121,0
0.025765,0.010331,39,0
0.022406,0.0069715,42,0
0.032749,0.017314,146,0
0.029899,0.014464,143,0
0.029442,0.014008,124,0
0.03922,0.023786,137,0
0.032587,0.017153,77,0
0.037781,0.022347,146,0
0.040915,0.025481,96,0
0.043802,0.028368,5,0
0.043811,0.028376,47,0
0.03613,0.020695,146,0
0.034715,0.019281,13,1
0.047434,0.032,125,1
0.044563,0.029128,62,1
0.043426,0.027992,107,1
0.063676,0.048241,105,1
0.05671,0.041275,110,1
0.042289,0.026855,16,1
0.03467,0.019236,133,1
0.036344,0.02091,152,1
0.035403,0.019969,38,1
0.050815,0.035381,17,1
0.046546,0.031111,178,1
0.029116,0.013681,74,1
0.04401,0.028575,106,1
0.042722,0.027288,134,1
0.046352,0.030917,134,1
0.055029,0.039595,80,1
0.04045,0.025016,114,1
0.052517,0.037082,116,1
0.065678,0.050244,115,1
0.045934,0.0305,68,1
0.046112,0.030677,73,1
0.076611,0.061177,110,1
0.059735,0.044301,102,1
0.05639,0.040956,100,1
0.053021,0.037587,101,1
0.054634,0.0392,23,1
0.04917,0.033736,96,1
0.059726,0.044292,7,1
0.056109,0.040675,96,1
0.059754,0.044319,94,1
0.10313,0.087698,90,1
0.11357,0.098136,90,1
0.10856,0.093128,86,1
0.13632,0.12089,85,1
0.13027,0.11484,84,1
0.13045,0.11502,82,1
0.12812,0.11269,81,1
0.11725,0.10181,82,1
0.1257,0.11027,82,1
0.11841,0.10298,81,1
0.12141,0.10597,79,1
0.12717,0.11174,78,1
0.13106,0.11563,78,1
0.1294,0.11397,78,1
0.13908,0.12365,79,1
0.14011,0.12468,78,1
0.10998,0.094545,77,1
0.11413,0.098693,76,1
0.1351,0.11967,76,1
0.135,0.11956,74,1
0.14551,0.13008,75,1
0.14313,0.1277,76,1
0.144,0.12856,76,1
0.13492,0.11948,77,1
0.1415,0.12606,77,1
0.16983,0.15439,79,1
0.15422,0.13879,80,1
0.14809,0.13266,78,1
0.15179,0.13635,78,1
0.15115,0.13572,78,1
0.16622,0.15079,78,1
0.13912,0.12369,76,1
0.13479,0.11936,170,1
0.1477,0.13227,75,1
0.16642,0.15099,74,1
0.18904,0.17361,74,1
0.15589,0.14045,76,1
0.1337,0.11826,76,1
0.13619,0.12076,74,1
0.12349,0.10805,74,1
0.11718,0.10174,74,1
0.13761,0.12218,74,1
0.12672,0.11128,75,1
0.12034,0.10491,75,1
0.10931,0.093871,171,1
0.10427,0.088831,76,1
0.1049,0.089465,77,1
0.077545,0.06211,77,1
0.074534,0.0591,76,1
0.0844,0.068966,76,1
0.07947,0.064035,77,1
0.069816,0.054382,77,1
0.09837,0.082936,77,1
0.090601,0.075167,78,1
0.087253,0.071819,176,1
0.11626,0.10083,79,1
0.092298,0.076864,79,1
0.11459,0.099151,79,1
0.10638,0.090941,80,1
0.13171,0.11628,80,1
0.11439,0.098952,80,1
0.10851,0.093072,82,1
0.075513,0.060079,83,1
0.098199,0.082765,83,1
0.092421,0.076987,86,1
0.084078,0.068644,87,1
0.064898,0.049463,92,1
0.043474,0.02804,93,1
0.028112,0.012678,111,1
0.031924,0.01649,24,1
0.028017,0.012582,111,1
0.030863,0.015428,106,1
0.028599,0.013165,23,1
0.019879,0.0044447,22,0
0.028494,0.013059,140,0
0.025914,0.010479,44,0
0.020556,0.0051214,87,0
0.023582,0.0081471,67,0
0.026819,0.011384,83,0
0.02304,0.0076054,118,0
0.023768,0.0083339,72,0
0.024564,0.0091299,82,0
0.021087,0.0056529,107,0
0.025932,0.010497,19,0
0.03361,0.018175,83,0
0.040432,0.024998,76,0
0.057178,0.041743,45,0
0.061478,0.046044,138,0
0.050657,0.035222,106,0
0.044859,0.029424,94,0
0.050142,0.034708,188,0
0.04596,0.030526,45,0
0.040822,0.025388,37,0
0.039707,0.024273,141,0
0.036836,0.021401,6,0
0.030829,0.015395,145,0
0.034628,0.019194,152,0
0.028865,0.01343,177,0
0.028328,0.012893,43,0
0.03151,0.016076,117,0
0.02989,0.014455,151,0
0.031811,0.016377,156,0
0.029179,0.013744,40,0
0.022904,0.0074699,35,0
0.026637,0.011202,44,0
0.030049,0.014615,45,0
0.04003,0.024596,87,0
0.036759,0.021325,68,0
0.034187,0.018753,77,0
0.037388,0.021953,22,0
0.044481,0.029046,82,0
0.040797,0.025363,7,0
0.035319,0.019885,52,0
0.032194,0.01676,57,0
0.028686,0.013252,136,0
0.027178,0.011743,21,0
0.026435,0.011001,51,0
0.02542,0.0099852,60,0
0.042488,0.027054,41,0
0.044168,0.028734,41,0
0.029841,0.014407,42,0
0.037929,0.022495,170,0
0.029021,0.013586,111,0
0.029877,0.014443,121,0
0.029259,0.013825,84,0
0.024664,0.0092295,113,0
0.033998,0.018563,124,0
0.028682,0.013248,113,0
0.028269,0.012835,126,0
0.025772,0.010337,122,0
0.02591,0.010475,135,0
0.023956,0.0085219,138,0
0.030616,0.015181,41,0
0.024989,0.0095549,98,0
0.025754,0.010319,120,0
0.023418,0.0079838,42,0
0.022319,0.0068843,183,0
0.018332,0.0028978,99,0
0.019676,0.0042416,102,0
0.017813,0.0023785,102,0
0.027063,0.011629,84,0
0.025971,0.010537,118,0
0.021269,0.0058347,31,0
0.024247,0.0088129,154,0
0.024017,0.0085826,114,0
0.027393,0.011958,145,0
0.022908,0.0074731,109,0
0.021622,0.006188,181,0
0.024938,0.0095035,131,0
0.019771,0.0043371,14,0
0.018895,0.003461,109,0
0.024917,0.0094828,76,0
0.019735,0.0043001,128,0
0.031162,0.015728,100,0
0.027395,0.01196,148,0
0.019421,0.0039866,60,0
0.027219,0.011785,147,0
0.027758,0.012324,106,0
0.023278,0.0078434,153,0
0.031034,0.0156,41,0
0.025078,0.0096439,108,0
0.027595,0.01216,88,0
0.022051,0.0066165,143,0
0.027041,0.011606,46,0
0.019526,0.0040919,142,0
0.020415,0.0049805,85,0
0.027335,0.011901,21,0
0.024193,0.0087586,115,0
0.025848,0.010414,143,0
0.022487,0.0070527,169,0
0.028088,0.012654,117,0
0.019397,0.0039625,179,0
0.025514,0.01008,84,0
0.027502,0.012067,39,0
0.023799,0.0083647,40,0
0.016654,0.0012193,130,0
