@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
3330.7,3157.1,5.4251,0.15383,6201.6,6072.4,0.073773,0.05873,130,1
3492.1,3318.4,5.4176,0.1613,6201.6,6072.4,0.087237,0.072194,122,1
3578.3,3404.7,5.4692,0.10967,6287.7,6158.5,0.10032,0.085272,114,1
3688.3,3514.6,5.4436,0.13532,6137,6007.8,0.090913,0.07587,111,1
4074.2,3900.6,5.5059,0.072976,6309.2,6180,0.06708,0.052037,106,1
3881.8,3708.1,5.3666,0.21231,6330.8,6201.6,0.090519,0.075475,104,1
4828.7,4655.1,5.4925,0.086356,6180,6050.8,0.079743,0.064699,100,1
4961.3,4787.6,5.4464,0.13248,6373.8,6244.6,0.13689,0.12185,91,1
5198.2,5024.6,5.4613,0.11762,6395.4,6266.2,0.13513,0.12008,91,1
5274.3,5100.6,5.2933,0.28555,6287.7,6158.5,0.16355,0.14851,86,1
4824.5,4650.9,5.3574,0.2215,6395.4,6266.2,0.1517,0.13666,84,1
4932.5,4758.8,5.3022,0.27667,6115.4,5986.2,0.16485,0.1498,81,1
5331.9,5158.3,5.3718,0.20708,6309.2,6180,0.11623,0.10118,87,1
4628.5,4454.9,5.3454,0.23346,6180,6050.8,0.11741,0.10236,88,1
4384.2,4210.6,5.2254,0.35351,6287.7,6158.5,0.16946,0.15441,86,1
5519.6,5346,5.3602,0.21868,6072.4,5943.2,0.14026,0.12522,83,1
5148.7,4975,5.2849,0.29404,6072.4,5943.2,0.15582,0.14077,184,1
5902.5,5728.8,5.2916,0.28725,6115.4,5986.2,0.13865,0.12361,80,1
6600.7,6427.1,5.3319,0.24698,6158.5,6029.3,0.10514,0.090095,180,1
6394.3,6220.7,5.3298,0.24906,6029.3,5900.1,0.13199,0.11695,75,1
6013.5,5839.9,5.1484,0.43045,6115.4,5986.2,0.21651,0.20147,74,1
5907.5,5733.8,4.9801,0.59883,6137,6007.8,0.27073,0.25569,74,1
5796.9,5623.3,4.8904,0.68853,6244.6,6115.4,0.28181,0.26677,72,1
4916.7,4743,4.8388,0.7401,6287.7,6158.5,0.24846,0.23342,72,1
4782.9,4609.3,4.9857,0.59319,6309.2,6180,0.26269,0.24765,71,1
5369.5,5195.8,5.0134,0.56549,1485.8,1356.6,0.26551,0.25047,70,1
5261.3,5087.7,4.9487,0.63023,1012.1,882.86,0.23435,0.2193,69,1
5987.5,5813.9,5.0461,0.53279,1012.1,882.86,0.26416,0.24912,68,1
6556.6,6382.9,5.0066,0.57231,6093.9,5964.7,0.29882,0.28378,67,1
7076.2,6902.5,4.9848,0.59406,6180,6050.8,0.30528,0.29024,66,1
6412.2,6238.6,4.8768,0.70213,6244.6,6115.4,0.33204,0.31699,65,1
6137.7,5964,4.895,0.68386,1055.1,925.93,0.29821,0.28317,65,1
6121.9,5948.2,4.8053,0.77364,6201.6,6072.4,0.30599,0.29095,66,1
5893.5,5719.9,4.8973,0.6816,6137,6007.8,0.29774,0.28269,67,1
5830.3,5656.6,5.0386,0.54027,6050.8,5921.6,0.24213,0.22709,68,1
5657.5,5483.9,5.1088,0.47009,1012.1,882.86,0.24606,0.23102,69,1
5346.5,5172.9,4.9523,0.62657,990.53,861.33,0.26675,0.2517,70,1
5606.6,5432.9,4.9827,0.59616,990.53,861.33,0.28595,0.27091,70,1
6005.6,5831.9,5.0053,0.5736,1012.1,882.86,0.24399,0.22895,70,1
5811.1,5637.5,5.0186,0.56031,1012.1,882.86,0.23573,0.22068,69,1
6468.3,6294.7,5.134,0.44485,1012.1,882.86,0.24621,0.23116,70,1
6100.6,5926.9,5.1103,0.46856,1012.1,882.86,0.18877,0.17373,70,1
5751.3,5577.6,4.978,0.60087,1012.1,882.86,0.24614,0.23109,69,1
5707.7,5534.1,4.9536,0.62534,1012.1,882.86,0.20296,0.18792,69,1
6015.5,5841.9,5.132,0.44689,1012.1,882.86,0.23549,0.22045,70,1
5878.1,5704.4,5.1318,0.4471,990.53,861.33,0.25265,0.23761,72,1
6335.3,6161.6,5.3058,0.27313,6029.3,5900.1,0.15323,0.13819,75,1
4851.8,4678.2,5.17,0.40887,5964.7,5835.5,0.19661,0.18157,76,1
4474.4,4300.7,5.0997,0.47918,5921.6,5792.4,0.22069,0.20565,77,1
5705,5531.3,5.4547,0.12424,5900.1,5770.9,0.12577,0.11073,80,1
4901.4,4727.8,5.3846,0.19431,5986.2,5857,0.12795,0.11291,85,1
4462.2,4288.6,5.3632,0.2157,5878.6,5749.4,0.12243,0.10739,84,1
4845.1,4671.4,5.4064,0.17246,495.26,366.06,0.10137,0.086327,89,1
4445,4271.3,5.4945,0.084368,5749.4,5620.2,0.095345,0.080302,94,1
3946,3772.3,5.5042,0.074735,1119.7,990.53,0.085477,0.070433,100,1
3555.8,3382.1,5.5185,0.060437,1033.6,904.39,0.06783,0.052786,115,1
3223.4,3049.7,5.5025,0.076444,5749.4,5620.2,0.072521,0.057477,133,1
2694.1,2520.4,5.3802,0.1987,5749.4,5620.2,0.18584,0.1708,134,1
2630.2,2456.5,5.599,0,5814,5684.8,0.060869,0.045826,10,1
2399.6,2226,5.5307,0.068304,236.87,107.67,0.079526,0.064483,172,1
1943.8,1770.1,5.5608,0.038245,236.87,107.67,0.074869,0.059826,183,1
1595.5,1421.9,5.5472,0.051855,236.87,107.67,0.04236,0.027317,18,1
1327.8,1154.2,5.5993,0,258.4,129.2,0.045791,0.030748,18,1
1341.4,1167.7,5.6037,0,215.33,86.133,0.031552,0.016509,26,1
1727.2,1553.6,5.5837,0.019954,193.8,64.6,0.068027,0.052983,190,1
3305.9,3132.2,5.4989,0.10477,5986.2,5857,0.079523,0.06448,150,1
4360.5,4186.9,5.4498,0.15382,6093.9,5964.7,0.083444,0.0684,120,1
5503.9,5330.2,5.431,0.17261,6115.4,5986.2,0.083789,0.068745,104,1
6252.4,6078.7,5.3783,0.22532,6137,6007.8,0.087543,0.072499,91,1
6283.3,6109.7,5.3812,0.22248,6115.4,5986.2,0.14226,0.12721,85,1
7054.4,6880.7,5.3876,0.21607,6244.6,6115.4,0.14183,0.12679,79,1
7641.4,7467.7,5.3495,0.25419,1894.9,1765.7,0.12598,0.11094,168,1
8338.9,8165.2,5.2245,0.37916,1938,1808.8,0.19547,0.18043,72,1
7493.5,7319.9,5.0599,0.54377,2002.6,1873.4,0.28939,0.27434,69,1
7230.7,7057,4.9587,0.64496,2024.1,1894.9,0.31373,0.29868,68,1
6985,6811.4,4.8276,0.77604,2024.1,1894.9,0.29645,0.28141,68,1
7325.4,7151.8,4.8517,0.75194,2045.7,1916.5,0.36252,0.34747,67,1
7318.6,7145,4.7683,0.83539,2067.2,1938,0.28511,0.27007,153,1
7179.8,7006.1,4.7528,0.85089,2067.2,1938,0.29041,0.27537,153,1
7237.2,7063.6,4.7223,0.8814,2067.2,1938,0.29887,0.28382,153,1
7239.3,7065.6,4.6826,0.92107,2067.2,1938,0.30867,0.29363,153,1
7295,7121.3,4.6751,0.92856,2067.2,1938,0.31978,0.30474,153,1
7408.4,7234.7,4.7733,0.83039,2067.2,1938,0.28101,0.26596,66,1
7712.5,7538.9,4.8042,0.79949,2067.2,1938,0.40042,0.38538,66,1
7980.7,7807,4.8017,0.802,2088.7,1959.5,0.30458,0.28954,65,1
7937.6,7764,4.8135,0.7902,1571.9,1442.7,0.33151,0.31647,65,1
8898.9,8725.2,4.8962,0.70743,1593.5,1464.3,0.34397,0.32892,64,1
10333,10160,5.1106,0.49302,1615,1485.8,0.35316,0.33812,63,1
9421.8,9248.1,5.1818,0.42186,1636.5,1507.3,0.27819,0.26315,62,1
8223.3,8049.6,5.1464,0.45728,1658.1,1528.9,0.16589,0.15085,59,1
9937,9763.3,5.3739,0.22979,1055.1,925.93,0.081181,0.066138,65,1
5192.1,5018.4,5.4754,0.12826,990.53,861.33,0.066185,0.051142,80,1
1499.5,1325.8,5.4166,0.18709,323,193.8,0.067241,0.052198,61,1
1020.2,846.54,5.4193,0.18435,279.93,150.73,0.040489,0.025446,60,1
2274.5,2100.9,5.1351,0.46857,236.87,107.67,0.049889,0.034845,61,1
4787.8,4614.2,4.7888,0.81485,968.99,839.79,0.10499,0.089948,73,1
3258.6,3084.9,4.9315,0.67212,904.39,775.2,0.066337,0.051294,79,1
3307,3133.3,4.6547,0.94894,904.39,775.2,0.077283,0.06224,79,1
3187,3013.3,4.6622,0.94151,882.86,753.66,0.060353,0.045309,82,1
1360.9,1187.3,4.9676,0.63609,818.26,689.06,0.039064,0.024021,87,1
637.8,464.14,5.0928,0.51086,236.87,107.67,0.027939,0.012896,86,1
793.3,619.64,4.9638,0.63982,215.33,86.133,0.020948,0.0059046,123,1
270.55,96.886,5.4287,0.17498,258.4,129.2,0.023853,0.0088096,28,1
372.61,198.94,5.3585,0.24517,215.33,86.133,0.021881,0.0068376,74,1
511.36,337.7,5.4286,0.17508,344.53,215.33,0.039254,0.024211,148,1
667.65,493.99,5.4223,0.18135,258.4,129.2,0.034784,0.01974,83,1
758.68,585.02,5.3625,0.24115,193.8,64.6,0.038279,0.023236,180,0
816.93,643.27,5.3196,0.28406,215.33,86.133,0.036319,0.021275,30,0
744.33,570.67,5.3607,0.243,236.87,107.67,0.029813,0.014769,146,0
619.66,446,5.3922,0.2115,193.8,64.6,0.0304,0.015357,145,0
410.75,237.09,5.3833,0.22033,215.33,86.133,0.029476,0.014433,138,0
495.18,321.51,5.2255,0.37812,215.33,86.133,0.023213,0.0081695,136,0
255.58,81.917,5.4757,0.128,193.8,64.6,0.027059,0.012015,141,0
645.56,471.89,5.1309,0.47273,193.8,64.6,0.021589,0.0065458,123,0
908.69,735.03,4.9794,0.62429,323,193.8,0.021446,0.0064029,86,0
951.49,777.82,4.9014,0.70227,323,193.8,0.024169,0.0091257,136,0
990.22,816.56,4.8714,0.73231,236.87,107.67,0.017759,0.0027162,83,0
1360,1186.3,4.6712,0.9325,215.33,86.133,0.026206,0.011163,141,0
1408.3,1234.6,4.6762,0.92747,236.87,107.67,0.028067,0.013024,164,0
1704.3,1530.7,4.5112,1.0925,258.4,129.2,0.019026,0.0039826,111,0
1565,1391.3,4.4823,1.1214,215.33,86.133,0.023694,0.0086508,40,0
1926.2,1752.6,4.3944,1.2092,215.33,86.133,0.023576,0.008533,43,0
1394.8,1221.2,4.6671,0.93655,236.87,107.67,0.02986,0.014817,56,0
1546.2,1372.6,4.6447,0.95901,301.46,172.27,0.025303,0.01026,54,0
895.62,721.96,4.9264,0.67729,215.33,86.133,0.025597,0.010554,169,0
1051.5,877.88,4.7596,0.84408,215.33,86.133,0.027698,0.012655,42,0
1724.7,1551,4.5705,1.0332,279.93,150.73,0.031719,0.016676,121,0
1301,1127.3,4.6783,0.92534,215.33,86.133,0.023619,0.0085754,129,0
1115.2,941.53,4.8392,0.76451,172.27,43.066,0.030848,0.015805,41,0
792.9,619.24,4.9591,0.64458,193.8,64.6,0.020406,0.0053625,30,0
1155.1,981.45,4.7613,0.84235,193.8,64.6,0.03343,0.018386,41,0
602.19,428.53,5.1949,0.40874,215.33,86.133,0.02835,0.013306,44,0
696.85,523.19,4.976,0.62764,215.33,86.133,0.02388,0.0088368,184,0
900.23,726.57,4.9516,0.65205,258.4,129.2,0.022879,0.0078357,107,0
676.04,502.38,5.1611,0.44257,193.8,64.6,0.025702,0.010659,190,0
705.5,531.84,4.9557,0.64796,236.87,107.67,0.020844,0.0058008,181,0
613.28,439.62,5.1095,0.49421,193.8,64.6,0.027267,0.012223,45,0
505.88,332.22,5.1869,0.4168,193.8,64.6,0.023302,0.0082587,132,0
394.99,221.33,5.4064,0.19723,150.73,21.533,0.022367,0.007324,132,0
465.02,291.36,5.2317,0.37198,150.73,21.533,0.021814,0.0067705,104,0
379.19,205.53,5.3132,0.29046,344.53,215.33,0.024355,0.0093116,111,0
500.87,327.21,5.1513,0.45235,215.33,86.133,0.030363,0.015319,130,0
