@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.81066,0.81066,26,3,1
0.61637,0.61637,25,4,1
0.62426,0.62426,26,3,1
0.76807,0.76807,25,4,1
0.98309,0.98309,26,3,1
0.95126,0.95126,26,3,1
1.1153,1.1153,22,7,1
1.2885,1.2885,21,8,1
1.2916,1.2916,14,15,1
1.3904,1.3904,21,8,1
1.4226,1.4226,27,2,1
1.378,1.378,27,2,1
1.222,1.222,28,1,1
1.3529,1.3529,24,5,1
1.3876,1.3876,26,3,1
1.2903,1.2903,26,3,1
1.3491,1.3491,26,3,1
1.3709,1.3709,26,3,1
1.4362,1.4362,27,2,1
1.4459,1.4459,27,2,1
1.4067,1.4067,26,3,1
1.3166,1.3166,26,3,1
1.264,1.264,27,2,1
1.1235,1.1235,28,1,1
1.1576,1.1576,25,4,1
1.1003,1.1003,27,2,1
1.1209,1.1209,27,2,1
0.94155,0.94155,24,5,1
0.89435,0.89435,26,3,1
0.80639,0.80639,25,4,1
0.98042,0.98042,26,3,1
0.94937,0.94937,28,1,1
0.76215,0.76215,28,1,1
0.9664,0.9664,28,1,1
1.2271,1.2271,28,1,1
1.2327,1.2327,28,1,1
1.0927,1.0927,28,1,1
0.8411,0.8411,28,1,1
0.38967,0.38967,27,2,1
0.29066,0.29066,28,1,1
0.56054,0.56054,28,1,1
0.38149,0.38149,23,6,1
0.26324,0.26324,22,7,1
0.26285,0.26285,27,2,1
0.37575,0.37575,28,1,1
0.30664,0.30664,28,1,1
0.1721,0.1721,25,4,1
0.1816,0.1816,28,1,1
0.37161,0.37161,27,2,1
0.46811,0.46811,24,5,1
0.2892,0.2892,26,3,1
0.54721,0.54721,23,6,1
0.31049,0.31049,26,3,1
0.27715,0.27715,25,4,1
0.30269,0.30269,23,6,1
0.72801,0.72801,23,6,1
0.74374,0.74374,26,3,1
0.80757,0.80757,25,4,1
0.73626,0.73626,20,9,1
0.73087,0.73087,19,10,1
0.8246,0.8246,16,13,1
0.77959,0.77959,11,18,1
1.1031,1.1031,9,20,1
1.3694,1.3694,7,22,1
1.1834,1.1834,14,15,1
1.0533,1.0533,18,11,1
1.2364,1.2364,7,22,1
1.3018,1.3018,5,24,1
1.2334,1.2334,5,24,1
1.4703,1.4703,4,25,1
1.5141,1.5141,4,25,1
0.97757,0.97757,4,25,1
0.28056,0.28056,5,24,1
0.18275,0.18275,5,24,1
0.10734,0.10734,5,24,0
0.14612,0.14612,5,24,0
0.048232,0.048232,10,19,0
0.033281,0.033281,12,17,0
0.064697,0.064697,2,27,0
0,0,1,28,0
0,0,1,28,0
0,0,1,28,0
0.070144,0.070144,3,26,0
0.013519,0.013519,4,25,0
0.15327,0.15327,6,23,0
0.16819,0.16819,5,24,0
0.16499,0.16499,2,27,0
0,0,1,28,0
0.015635,0.015635,5,24,0
0.24654,0.24654,10,19,0
0.23202,0.23202,12,17,0
0.14762,0.14762,4,25,0
0.072026,0.072026,2,27,0
0.030139,0.030139,5,24,0
0.086851,0.086851,7,22,0
0.0037383,0.0037383,4,25,0
0.026212,0.026212,3,26,0
0.000735,0.000735,1,28,0
0.0075946,0.0075946,3,26,0
0.1554,0.1554,6,23,0
0.085503,0.085503,4,25,0
0.0092433,0.0092433,4,25,0
0.11082,0.11082,14,15,0
0.084973,0.084973,14,15,0
0,0,1,28,0
0.00057296,0.00057296,1,28,0
0.0032698,0.0032698,1,28,0
0.00035912,0.00035912,1,28,0
0.066399,0.066399,5,24,0
0.088206,0.088206,6,23,0
0.008206,0.008206,1,28,0
0.00054243,0.00054243,2,27,0
0.070765,0.070765,1,28,0
0.24608,0.24608,6,23,0
0.01954,0.01954,7,22,0
0.00053689,0.00053689,1,28,0
0.00074257,0.00074257,1,28,0
0.042873,0.042873,3,26,0
0.12581,0.12581,9,20,0
0.064886,0.064886,8,21,0
0.18567,0.18567,4,25,0
0.33853,0.33853,14,15,0
0.20115,0.20115,18,11,0
0.17759,0.17759,19,10,0
0.16722,0.16722,17,12,0
0.054765,0.054765,17,12,0
0.078637,0.078637,21,8,0
0.068598,0.068598,16,13,0
0.044612,0.044612,23,6,1
0.095308,0.095308,21,8,1
