@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
1109,-5.2395,710.6,0.54233,13,1
831.64,-5.2256,775.2,0.70804,12,1
566.59,-5.4139,818.26,0.38658,13,1
1366.6,-5.0357,646,0.85009,13,1
1351.9,-4.8924,710.6,0.89687,21,1
852.69,-5.1628,430.66,0.90728,15,1
969.95,-5.0521,430.66,1.0712,19,1
824.57,-4.9933,452.2,1.1391,23,1
1130.4,-4.7443,452.2,1.3912,40,1
995.38,-4.8291,452.2,1.2975,37,1
1073.6,-4.847,452.2,1.3957,40,1
906.23,-5.0297,452.2,1.2726,22,1
699.92,-5.1023,452.2,1.182,29,1
635.49,-5.1759,430.66,1.0319,10,1
978.5,-5.2719,430.66,1.0072,18,1
940.24,-5.3235,409.13,0.88964,23,1
713.82,-5.2725,409.13,0.96881,18,1
795.36,-5.2328,753.66,1.0017,14,1
806.56,-5.2367,732.13,1.0753,13,1
877.52,-5.0793,689.06,1.0936,12,1
919.62,-5.0718,667.53,1.1256,11,1
817.1,-5.1003,646,1.2878,11,1
778.93,-5.1525,624.46,1.1699,11,1
826.63,-5.2397,559.86,0.79559,12,1
638.66,-5.3115,538.33,0.86204,12,1
725.91,-5.3107,516.8,0.77434,16,1
524.47,-5.3667,473.73,0.79782,14,1
508.5,-5.3847,473.73,0.94721,17,1
697.75,-5.3405,473.73,0.9636,16,1
668.67,-5.279,473.73,0.69544,15,1
782.59,-5.2778,473.73,0.66933,20,1
580.91,-5.3258,689.06,0.59684,16,1
528.14,-5.4076,452.2,0.53617,24,1
449.27,-5.3371,689.06,0.64315,16,1
401.8,-5.3485,710.6,0.83252,13,1
507.72,-5.321,473.73,0.49719,20,1
714.09,-5.1763,495.26,0.76629,13,1
690.77,-5.2743,495.26,0.42505,21,1
605.67,-5.2447,624.46,0.47874,19,1
592.87,-5.2309,495.26,0.82227,17,1
511.73,-5.439,516.8,0.88943,13,1
671.62,-5.2949,516.8,1.0334,12,1
504.03,-5.3431,516.8,0.96041,11,1
565.52,-5.2544,538.33,1.0673,14,1
495.8,-5.6047,538.33,0.82726,22,1
818.56,-5.5023,538.33,0.85039,30,1
709.29,-5.4989,559.86,0.32162,29,1
975.82,-5.3467,624.46,0.395,27,1
1678.2,-5.1996,495.26,0.8217,16,1
3395.4,-4.7946,538.33,1.5081,10,1
3589.3,-4.6704,538.33,1.6602,10,1
2671,-4.9431,516.8,1.4687,10,1
3927.7,-4.8174,538.33,1.2654,10,1
4678.4,-4.8244,581.4,1.5344,11,1
7068.7,-4.7798,581.4,1.5708,11,1
6653.5,-4.3392,581.4,1.6355,11,1
6344.2,-4.5859,581.4,1.5516,11,1
5997.3,-4.5911,559.86,1.5711,10,1
4842.1,-4.6322,559.86,1.5665,10,1
4260.3,-4.7246,538.33,1.5258,10,1
3282.2,-4.9746,538.33,1.4471,10,1
2432.4,-4.9337,516.8,1.4326,9,1
2522,-4.8524,516.8,1.5447,9,1
2120.1,-5.1311,495.26,1.4481,9,1
1698.7,-5.231,495.26,1.2163,9,1
1959.7,-5.1026,473.73,1.2746,12,1
1863.9,-5.2762,473.73,1.1429,10,1
1697.2,-5.2897,473.73,1.0639,20,1
1680.8,-5.0776,473.73,1.2367,23,1
1576.9,-4.9389,473.73,1.3536,9,1
1610.1,-4.9784,473.73,1.3544,16,1
1788.1,-4.9021,473.73,1.4267,9,1
1511,-4.9058,473.73,1.4086,13,1
1540.6,-4.8555,452.2,1.4436,16,1
1705.8,-5.0393,452.2,1.3967,23,1
1346,-5.29,452.2,1.1694,40,1
1518,-5.2214,452.2,1.16,40,1
1648.3,-5.1782,452.2,1.2908,40,1
1580.4,-4.9842,452.2,1.3608,40,1
1804.5,-5.0826,452.2,1.1862,40,1
1833.1,-5.1257,473.73,1.0773,32,1
1921.5,-4.9226,473.73,1.2966,26,1
2342.4,-4.667,473.73,1.4314,20,1
2706.1,-4.7084,473.73,1.4425,14,1
2268.5,-4.9186,473.73,1.3557,38,1
1680.4,-5.1773,495.26,1.2829,41,1
2139.9,-5.124,495.26,1.3877,27,1
2151,-5.1828,495.26,1.3266,12,1
2366.5,-5.1356,495.26,1.3465,14,1
2493.2,-5.0591,495.26,1.344,11,1
1970.6,-5.0632,495.26,1.2855,9,1
2187.4,-4.8868,495.26,1.3649,10,1
2486.8,-5.0988,516.8,1.2288,19,1
3070.2,-4.976,516.8,1.3141,15,1
3178.9,-4.9232,516.8,1.3834,9,1
3876.2,-5.1666,516.8,1.4004,10,1
3924.9,-5.2599,516.8,1.364,10,1
3972.6,-5.1494,516.8,1.3659,10,1
4270.7,-5.1305,516.8,1.3963,10,1
3993.3,-5.1736,516.8,1.3478,10,1
4907.1,-5.1474,516.8,1.3063,9,1
4509.9,-5.1361,516.8,1.346,9,1
3982.8,-5.071,516.8,1.4717,9,1
3776.8,-5.057,516.8,1.4921,9,1
3537.2,-4.9813,516.8,1.4819,9,1
3216.4,-4.891,495.26,1.55,9,1
2840,-4.8175,495.26,1.4405,9,1
2975.9,-4.8121,495.26,1.5076,9,1
3089.4,-4.7311,495.26,1.4798,9,1
4043.9,-4.3274,495.26,1.6024,9,1
4108.9,-4.2405,495.26,1.5862,9,1
4853.5,-4.5075,495.26,1.5812,9,1
4288.3,-4.3594,495.26,1.5672,9,1
4019.4,-4.4489,473.73,1.5662,9,1
3182.9,-4.5192,473.73,1.4652,8,1
1925.3,-4.5393,452.2,1.4024,8,1
2283.2,-5.2095,430.66,1.0232,12,1
1600.4,-5.4831,990.53,0.53823,35,1
1277.5,-5.4563,1012.1,0.48621,26,1
908.79,-5.4931,409.13,0.41664,29,1
722.45,-5.4617,452.2,0.4274,29,0
753.43,-5.8297,882.86,0.27412,38,0
1163.8,-5.6927,430.66,0.33852,35,0
633.26,-5.7087,1270.5,0.33745,36,0
481.76,-5.7363,581.4,0.26102,42,0
343.83,-5.808,301.46,0.34934,34,0
350.94,-5.7294,947.46,0.356,45,0
193.61,-5.8178,516.8,0.34748,47,0
279.49,-5.676,990.53,0.34167,33,0
243.27,-5.6434,473.73,0.38607,34,0
201.29,-5.6205,1012.1,0.38303,31,0
262.14,-5.541,1012.1,0.43181,20,0
126.75,-5.6643,323,0.36124,31,0
251,-5.6036,1055.1,0.36542,24,0
100.45,-5.6361,990.53,0.41123,21,0
34.807,-5.7287,409.13,0.34505,25,0
160.16,-5.6215,366.06,0.30593,29,0
94.406,-5.6108,1141.3,0.28051,21,0
-7.964,-5.761,1076.7,0.39829,24,0
-41.653,-5.8186,409.13,0.26293,38,0
-37.258,-5.8215,258.4,0.33149,38,0
-37.199,-5.8793,495.26,0.38545,40,0
-4.3889,-5.8878,1292,0.45825,27,0
57.068,-5.7262,107.67,0.17379,38,0
24.602,-5.7122,129.2,0.3732,35,0
43.332,-5.7087,107.67,0.36858,35,0
-3.8281,-5.744,129.2,0.33901,37,0
34.564,-5.7314,409.13,0.41426,27,0
33.072,-5.6899,409.13,0.61779,26,0
62.441,-5.8378,430.66,0.34555,57,0
386.34,-6.1298,409.13,0.32195,67,0
201.57,-6.0065,409.13,0.2502,60,0
264.01,-5.8668,473.73,0.39691,50,0
253.53,-5.8405,473.73,0.41185,40,0
199.04,-5.8054,452.2,0.36927,27,0
226.7,-5.6211,753.66,0.44598,24,0
169.7,-5.6622,753.66,0.77202,18,0
203.29,-5.5228,775.2,1.0807,13,0
253.96,-5.3473,753.66,0.85143,13,0
187.1,-5.4697,753.66,0.68761,13,0
329.82,-5.3431,732.13,1.1645,14,0
447.65,-5.2934,710.6,1.264,12,0
299.58,-5.6453,710.6,0.94687,13,0
526.62,-5.605,732.13,0.85621,20,0
351.57,-5.654,732.13,0.67587,15,0
101.16,-5.7892,710.6,0.31169,32,0
163.47,-5.9827,516.8,0.30475,51,0
94.808,-5.8601,1141.3,0.25947,59,0
183.24,-5.6851,732.13,0.7616,25,0
22.506,-5.8029,732.13,0.66434,19,0
151.65,-5.7124,387.6,0.33653,35,0
385.15,-5.6503,1593.5,0.32566,35,1
768.22,-5.6114,2217.9,0.34256,37,1
2526.4,-5.4913,495.26,0.67825,25,1
3508,-5.0815,516.8,1.304,10,1
3480.8,-5.3599,559.86,0.82724,11,1
2679,-5.4002,516.8,0.56101,11,1
3879.2,-4.9403,646,0.5555,11,1
4254.2,-4.8406,559.86,0.96565,10,1
2858.7,-5.092,538.33,1.2981,11,1
2844.4,-5.3223,516.8,1.3351,10,1
2621.9,-5.4109,516.8,1.0439,27,1
1747.7,-5.5035,473.73,0.63805,51,1
1298.9,-5.4586,775.2,0.57937,36,1
899.33,-5.6576,753.66,0.64694,24,1
655.78,-5.6762,753.66,0.37344,41,1
349.23,-5.6845,753.66,0.31124,43,1
340.24,-5.7965,387.6,0.27988,44,1
216.97,-5.6761,387.6,0.42211,45,0
164.66,-5.6056,387.6,0.79177,16,0
521.09,-5.4848,387.6,0.3812,45,0
1241.6,-5.447,2476.3,0.42431,47,0
655.55,-5.6246,1055.1,0.35691,43,0
378.19,-5.6697,215.33,0.257,40,0
336.25,-5.7424,344.53,0.29807,51,0
365.8,-5.7825,366.06,0.28034,45,0
352.96,-5.7024,344.53,0.43697,41,0
194.01,-5.7537,366.06,0.52999,36,0
307.01,-5.6301,344.53,0.54815,33,0
572.41,-5.3334,452.2,0.65021,15,0
681.28,-4.9713,473.73,1.2905,9,0
