@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0011989,0.00025095,0.16606,0.14791,0.26398,0.18119,42,40,0
0.0010645,0.00011661,0.18421,0.16606,0.17895,0.09616,41,39,0
0.00094367,0,0.22323,0.20508,0.25091,0.16813,21,19,0
0.00091538,0,0.20599,0.18784,0.18731,0.10452,42,40,0
0.0011283,0.00021293,0.15154,0.13339,0.19978,0.117,29,27,0
0.0012635,0.00034809,0.14247,0.12432,0.10931,0.026525,27,25,0
0.0011172,0.00020177,0.16697,0.14882,0.11169,0.028908,40,38,0
0.0010912,0.00017586,0.16243,0.14428,0.13084,0.048057,35,33,0
0.0011061,0.00019072,0.1588,0.14065,0.11845,0.035666,23,21,0
0.0010227,0.00010736,0.16788,0.14973,0.16215,0.079368,32,30,0
0.0011297,0.00021436,0.16515,0.14701,0.23183,0.14905,22,20,0
0.0012973,0.00038191,0.16969,0.15154,0.19722,0.11444,20,18,0
0.001434,0.00051866,0.18784,0.16969,0.21804,0.13525,19,17,0
0.0017267,0.0008113,0.20871,0.19056,0.23415,0.15137,20,18,0
0.0017151,0.0007997,0.21234,0.19419,0.21905,0.13626,23,21,0
0.0015268,0.00061142,0.21688,0.19873,0.23423,0.15145,28,26,0
0.001749,0.00083367,0.20871,0.19056,0.16925,0.086467,35,33,0
0.0019546,0.0010392,0.18784,0.16969,0.26105,0.17826,24,22,0
0.0019513,0.0010359,0.19782,0.17967,0.25549,0.17271,23,21,0
0.0021388,0.0012234,0.19056,0.17241,0.28423,0.20144,14,12,0
0.0024038,0.0014884,0.19056,0.17241,0.27755,0.19476,18,16,0
0.0024412,0.0015258,0.16969,0.15154,0.31524,0.23245,17,15,0
0.0021747,0.0012594,0.14338,0.12523,0.29673,0.21395,11,9,0
0.0032928,0.0023775,0.11162,0.093466,0.086571,0.0037857,13,11,0
0.0037279,0.0028125,0.056261,0.038113,0.096536,0.01375,6,4,0
