@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1898,1859.7,4.3652,0.78482,796.73,710.6,0.10114,0.099471,60,56,1
2037.9,1999.6,4.32,0.73967,753.66,667.53,0.088199,0.08653,67,63,1
2146.6,2108.4,4.2261,0.64578,732.13,646,0.099594,0.097925,71,67,1
1933.3,1895,4.3082,0.72781,710.6,624.46,0.08674,0.085071,78,74,1
1187.9,1149.7,4.3928,0.81249,689.06,602.93,0.070556,0.068886,78,74,1
1048.8,1010.5,4.4876,0.90723,689.06,602.93,0.060864,0.059194,77,73,1
1022,983.71,4.5219,0.94152,732.13,646,0.0357,0.034031,79,75,1
659.38,621.11,4.6122,1.0319,387.6,301.46,0.032542,0.030872,72,68,1
818.35,780.08,4.7145,1.1342,732.13,646,0.012945,0.011275,71,67,1
1021.4,983.14,4.6123,1.0319,732.13,646,0.01853,0.016861,69,65,1
966.49,928.22,4.5398,0.95944,689.06,602.93,0.017347,0.015678,76,72,1
584.48,546.2,4.5428,0.96248,430.66,344.53,0.02206,0.020391,66,62,1
1154.4,1116.1,4.3201,0.73973,710.6,624.46,0.013994,0.012325,10,6,1
983.25,944.98,4.293,0.71266,710.6,624.46,0.017349,0.01568,28,24,1
718.3,680.03,4.3291,0.7488,452.2,366.06,0.014303,0.012633,32,28,1
937.52,899.25,4.1903,0.60998,538.33,452.2,0.022836,0.021167,24,20,1
750.76,712.49,3.9878,0.40749,495.26,409.13,0.017481,0.015811,131,127,1
640.72,602.45,3.8042,0.22387,495.26,409.13,0.027325,0.025655,125,121,1
299.65,261.37,3.604,0.023609,495.26,409.13,0.030753,0.029084,39,35,1
23.064,0,4.6371,1.0567,473.73,387.6,0.012566,0.010897,41,37,1
10.189,0,4.4872,0.90689,409.13,323,0.014635,0.012965,39,35,1
21.964,11.775,4.5071,0.92673,430.66,344.53,0.011583,0.0099133,57,53,1
47.214,37.024,4.8589,1.2785,430.66,344.53,0.010285,0.0086158,41,37,1
66.043,55.854,5.2049,1.6245,452.2,366.06,0.011345,0.0096754,54,50,1
50.648,40.459,4.9431,1.3628,452.2,366.06,0.014957,0.013287,57,53,1
35.022,24.833,4.6361,1.0557,473.73,387.6,0.0164,0.01473,48,44,0
32.136,21.947,4.4768,0.89646,473.73,387.6,0.01176,0.01009,42,38,0
42.521,32.332,4.8134,1.233,473.73,387.6,0.0098642,0.0081948,42,38,0
52.316,42.127,5.2624,1.682,473.73,387.6,0.0065858,0.0049164,53,49,0
56.062,45.873,5.4435,1.8632,2239.5,2153.3,0.0035648,0.0018954,130,126,0
49.645,39.456,5.476,1.8957,473.73,387.6,0.0030833,0.0014139,46,42,0
48.006,37.816,5.3485,1.7682,473.73,387.6,0.0049725,0.0033031,41,37,0
45.754,35.565,5.462,1.8817,2002.6,1916.5,0.0023634,0.00069403,102,98,0
40.928,30.738,5.5172,1.9368,2304.1,2217.9,0.0021726,0.00050324,63,59,0
43.032,32.843,5.4499,1.8696,2304.1,2217.9,0.0032224,0.001553,58,54,0
39.784,29.594,5.4607,1.8804,2325.6,2239.5,0.0028067,0.0011373,61,57,0
39.204,29.015,5.5109,1.9305,215.33,129.2,0.0021325,0.0004631,139,135,0
41.195,31.006,5.5835,2.0032,2174.9,2088.7,0.0019576,0.00028822,136,132,0
43.617,33.428,5.5383,1.958,1981.1,1894.9,0.0023652,0.00069578,59,55,0
40.176,29.986,5.5134,1.9331,559.86,473.73,0.0020792,0.00040983,102,98,0
37.176,26.987,5.4623,1.8819,150.73,64.6,0.0016776,8.2091e-06,53,49,0
39.616,29.427,5.4663,1.886,193.8,107.67,0.002072,0.00040258,33,29,0
40.618,30.429,5.5813,2.0009,559.86,473.73,0.0026185,0.00094913,114,110,0
37.018,26.829,5.6439,2.0636,538.33,452.2,0.0020333,0.00036389,35,31,0
38.639,28.45,5.6086,2.0283,473.73,387.6,0.0021981,0.00052865,39,35,0
37.934,27.744,5.5888,2.0084,301.46,215.33,0.0020819,0.00041248,120,116,0
34.896,24.707,5.6354,2.055,279.93,193.8,0.0016426,0,90,86,0
31.359,21.17,5.6076,2.0272,150.73,64.6,0.0019038,0.00026117,7,3,0
29.832,19.643,5.5367,1.9564,366.06,279.93,0.0015354,0,28,24,0
33.269,23.08,5.5329,1.9525,323,236.87,0.0017671,0.00023169,106,102,0
35.848,25.659,5.612,2.0316,495.26,409.13,0.0018848,0.00034933,42,38,0
31.571,21.382,5.5983,2.0179,430.66,344.53,0.0014177,0,61,57,0
26.535,16.346,5.5745,1.9941,409.13,323,0.0012717,0,45,41,0
29.149,18.96,5.4579,1.8776,301.46,215.33,0.0012343,0,26,22,0
29.498,19.308,5.4393,1.8589,301.46,215.33,0.0015631,0.00032875,96,92,0
28.559,18.37,5.479,1.8987,301.46,215.33,0.0012628,2.8443e-05,116,112,0
24.604,14.414,5.4603,1.88,21.533,0,0.0012007,0,111,107,0
27.214,17.025,5.4828,1.9024,387.6,366.06,0.0014413,0.00024058,60,56,0
27.878,17.689,5.4346,1.8543,215.33,193.8,0.0009747,0,60,56,0
29.94,19.751,5.4653,1.885,150.73,129.2,0.0013405,0.00036578,66,62,0
27.909,17.72,5.5718,1.9915,21.533,0,0.0010357,6.1027e-05,65,61,0
28.696,18.507,5.4901,1.9097,21.533,0,0.0012321,0.00025737,89,85,0
29.517,19.328,5.5073,1.927,236.87,215.33,0.0012255,0.00025084,42,38,0
31.856,21.667,5.5451,1.9648,215.33,193.8,0.0012037,0.00022903,35,31,0
31.195,21.006,5.551,1.9706,258.4,236.87,0.0019099,0.00093521,106,102,0
32.881,22.692,5.5113,1.9309,215.33,193.8,0.0015059,0.00053119,65,61,0
39.5,29.311,5.5868,2.0064,21.533,0,0.0026587,0.001684,62,58,0
50.471,40.282,5.6946,2.1142,2368.7,2347.1,0.0027823,0.0018076,58,54,0
42.961,32.772,5.6581,2.0778,2368.7,2347.1,0.0023506,0.0013759,67,63,0
43.262,33.072,5.6332,2.0528,775.2,753.66,0.0023837,0.001409,117,113,0
46.763,36.574,5.6879,2.1075,430.66,409.13,0.002397,0.0014223,21,17,0
51.49,41.301,5.687,2.1066,1485.8,1464.3,0.0025801,0.0016054,73,69,0
49.355,39.165,5.6596,2.0792,1485.8,1464.3,0.0024774,0.0015027,68,64,0
53.377,43.188,5.6241,2.0437,2411.7,2390.2,0.0030386,0.0020639,59,55,0
60.71,50.521,5.7018,2.1214,1507.3,1485.8,0.0044319,0.0034572,36,32,0
58.713,48.524,5.5993,2.0189,2304.1,2282.5,0.0043285,0.0033537,60,56,0
49.26,39.071,5.5316,1.9513,2045.7,2024.1,0.0025823,0.0016076,148,144,0
47.013,36.824,5.3725,1.7921,258.4,236.87,0.0023529,0.0013782,108,104,0
46.461,36.272,5.1589,1.5785,150.73,129.2,0.0022965,0.0013218,94,90,0
35.7,25.511,5.0582,1.4779,452.2,430.66,0.0031848,0.0022101,56,52,0
40.043,29.854,5.2878,1.7075,215.33,193.8,0.0014147,0.00044003,50,46,0
28.809,18.62,4.9608,1.3805,236.87,215.33,0.0012131,0.00023841,114,110,0
27.14,16.951,5.2824,1.702,193.8,172.27,0.0010185,4.3821e-05,67,63,0
29.594,19.405,5.3975,1.8172,150.73,129.2,0.0015653,0.00059063,88,84,0
29.787,19.598,5.6018,2.0214,236.87,215.33,0.0011415,0.00016683,89,85,0
25.684,15.495,5.1735,1.5931,258.4,236.87,0.00094813,0,105,101,0
25.076,14.887,5.2668,1.6864,215.33,193.8,0.00074457,0,41,37,0
24.62,14.431,5.2573,1.6769,409.13,387.6,0.0013141,0.00056952,33,29,0
27.437,17.248,5.0953,1.5149,516.8,495.26,0.0024421,0.0016975,32,28,0
24.991,14.802,4.9816,1.4013,516.8,495.26,0.0022516,0.0015071,33,29,0
28.74,18.551,5.2488,1.6684,516.8,495.26,0.0018841,0.0011395,37,33,0
28.654,18.465,5.0912,1.5108,236.87,215.33,0.0011368,0.00039221,44,40,0
31.903,21.714,5.409,1.8287,279.93,258.4,0.0014974,0.00075287,42,38,0
27.471,17.282,5.2352,1.6549,279.93,258.4,0.0024012,0.0016566,114,110,0
26.669,16.48,5.4072,1.8269,279.93,258.4,0.0016395,0.00089489,105,101,0
27.844,17.655,5.3768,1.7965,279.93,258.4,0.0013694,0.00062482,130,126,0
31.271,21.082,5.4953,1.915,236.87,215.33,0.0019587,0.0012141,124,120,0
28.523,18.333,5.3938,1.8134,279.93,258.4,0.0018334,0.0010888,89,85,0
