@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
21.964,11.775,4.5071,0.92673,430.66,344.53,1.4705,1.3877,2,0,1
47.214,37.024,4.8589,1.2785,430.66,344.53,1.3803,1.2975,2,0,1
66.043,55.854,5.2049,1.6245,452.2,366.06,1.3343,1.2515,2,0,1
50.648,40.459,4.9431,1.3628,452.2,366.06,1.5628,1.48,2,0,1
35.022,24.833,4.6361,1.0557,473.73,387.6,1.6432,1.5604,2,0,0
32.136,21.947,4.4768,0.89646,473.73,387.6,1.6478,1.565,2,0,0
42.521,32.332,4.8134,1.233,473.73,387.6,1.5955,1.5127,2,0,0
52.316,42.127,5.2624,1.682,473.73,387.6,1.0409,0.9581,3,1,0
56.062,45.873,5.4435,1.8632,2239.5,2153.3,0.27649,0.1937,8,6,0
49.645,39.456,5.476,1.8957,473.73,387.6,0.37876,0.29598,9,7,0
48.006,37.816,5.3485,1.7682,473.73,387.6,0.45043,0.36764,10,8,0
45.754,35.565,5.462,1.8817,2002.6,1916.5,0.33186,0.24908,10,8,0
40.928,30.738,5.5172,1.9368,2304.1,2217.9,0.38635,0.30356,12,10,0
43.032,32.843,5.4499,1.8696,2304.1,2217.9,0.35437,0.27159,9,7,0
39.784,29.594,5.4607,1.8804,2325.6,2239.5,0.28974,0.20695,10,8,0
39.204,29.015,5.5109,1.9305,215.33,129.2,0.20204,0.11925,10,8,0
41.195,31.006,5.5835,2.0032,2174.9,2088.7,0.20361,0.12083,24,22,0
43.617,33.428,5.5383,1.958,1981.1,1894.9,0.23362,0.15084,21,19,0
40.176,29.986,5.5134,1.9331,559.86,473.73,0.2864,0.20361,17,15,0
37.176,26.987,5.4623,1.8819,150.73,64.6,0.23546,0.15267,25,23,0
39.616,29.427,5.4663,1.886,193.8,107.67,0.22973,0.14695,25,23,0
40.618,30.429,5.5813,2.0009,559.86,473.73,0.26332,0.18053,21,19,0
37.018,26.829,5.6439,2.0636,538.33,452.2,0.30105,0.21826,19,17,0
38.639,28.45,5.6086,2.0283,473.73,387.6,0.21128,0.1285,22,20,0
37.934,27.744,5.5888,2.0084,301.46,215.33,0.25875,0.17596,23,21,0
34.896,24.707,5.6354,2.055,279.93,193.8,0.34098,0.25819,25,23,0
31.359,21.17,5.6076,2.0272,150.73,64.6,0.20821,0.12542,26,24,0
29.832,19.643,5.5367,1.9564,366.06,279.93,0.20203,0.11925,37,35,0
33.269,23.08,5.5329,1.9525,323,236.87,0.27987,0.19709,29,27,0
35.848,25.659,5.612,2.0316,495.26,409.13,0.23314,0.15035,29,27,0
31.571,21.382,5.5983,2.0179,430.66,344.53,0.2286,0.14581,28,26,0
26.535,16.346,5.5745,1.9941,409.13,323,0.24537,0.16259,33,31,0
29.149,18.96,5.4579,1.8776,301.46,215.33,0.17273,0.089946,37,35,0
29.498,19.308,5.4393,1.8589,301.46,215.33,0.26398,0.18119,42,40,0
28.559,18.37,5.479,1.8987,301.46,215.33,0.17895,0.09616,41,39,0
24.604,14.414,5.4603,1.88,21.533,0,0.25091,0.16813,21,19,0
27.214,17.025,5.4828,1.9024,387.6,366.06,0.18731,0.10452,42,40,0
27.878,17.689,5.4346,1.8543,215.33,193.8,0.19978,0.117,29,27,0
29.94,19.751,5.4653,1.885,150.73,129.2,0.10931,0.026525,27,25,0
27.909,17.72,5.5718,1.9915,21.533,0,0.11169,0.028908,40,38,0
28.696,18.507,5.4901,1.9097,21.533,0,0.13084,0.048057,35,33,0
29.517,19.328,5.5073,1.927,236.87,215.33,0.11845,0.035666,23,21,0
31.856,21.667,5.5451,1.9648,215.33,193.8,0.16215,0.079368,32,30,0
31.195,21.006,5.551,1.9706,258.4,236.87,0.23183,0.14905,22,20,0
32.881,22.692,5.5113,1.9309,215.33,193.8,0.19722,0.11444,20,18,0
