@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
14.887,5.2668,193.8,0,41,0
14.431,5.2573,387.6,0.00056952,33,0
17.248,5.0953,495.26,0.0016975,32,0
14.802,4.9816,495.26,0.0015071,33,0
18.551,5.2488,495.26,0.0011395,37,0
18.465,5.0912,215.33,0.00039221,44,0
21.714,5.409,258.4,0.00075287,42,0
17.282,5.2352,258.4,0.0016566,114,0
16.48,5.4072,258.4,0.00089489,105,0
17.655,5.3768,258.4,0.00062482,130,0
21.082,5.4953,215.33,0.0012141,124,0
18.333,5.3938,258.4,0.0010888,89,0
17.21,5.1854,279.93,0.00028556,117,0
17.221,5.0995,236.87,0.00069377,137,0
16.238,5.2741,236.87,0.00032927,149,0
15.52,5.2329,215.33,0.0002834,43,0
14.263,5.4014,172.27,1.053e-05,131,0
15.374,5.4244,150.73,0,110,0
17.322,5.1381,172.27,0.00065285,142,0
14.787,5.2867,258.4,0.00045582,120,0
14.009,5.0739,236.87,0.00066144,139,0
14.272,5.3307,236.87,0.00029687,40,0
14.562,5.1141,236.87,0.00047918,81,0
12.62,4.9006,236.87,0.00063892,153,0
11.806,5.2641,258.4,0.00023021,114,0
12.799,5.2535,236.87,1.967e-05,76,0
22.269,5.6371,409.13,0.00088713,28,0
16.159,5.4313,193.8,0.00030119,80,0
14.042,5.3278,193.8,0.00031624,141,0
11.736,5.335,236.87,0.00011669,127,0
12.125,5.4903,236.87,0.00015842,57,0
30.476,5.5848,215.33,0.0018655,123,0
32.088,5.5267,150.73,0.0019564,57,0
30.341,5.4482,193.8,0.0022541,56,0
26.639,5.5018,258.4,0.0012903,105,0
23.986,5.412,387.6,0.001551,72,0
21.37,5.3726,344.53,0.0013035,57,0
