@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
64.916,5.27,753.66,0
41.587,5.0589,753.66,0
21.256,5.027,753.66,0
6.6526,5.0321,710.6,0
37.858,4.8528,775.2,0
109.06,4.8069,775.2,0
99.887,4.7998,753.66,0
127.61,4.7323,775.2,0
94.392,4.8143,667.53,0
84.385,4.8491,667.53,0
74.199,4.8999,796.73,0
82.955,4.9538,753.66,0
17.783,5.0795,2024.1,0
0,5.1647,796.73,0
9.4136,5.1305,753.66,0
12.958,5.1724,753.66,0
0,5.1307,2045.7,0
4.3025,5.0876,2131.8,0
73.494,5.0308,796.73,1
577.79,4.9725,2196.4,1
2363.8,4.8317,473.73,1
3540.4,4.3348,495.26,1
3554.1,4.3635,538.33,1
2875.4,4.3846,495.26,1
4384.6,4.2538,624.46,1
4886.6,4.3489,538.33,1
3232.9,4.2313,516.8,1
3140.8,4.3396,495.26,1
2530.1,4.648,495.26,1
1773.2,4.7948,452.2,1
1515.6,4.7269,753.66,1
662.06,4.8445,710.6,1
210.73,4.9734,2131.8,1
18.825,4.9743,495.26,1
44.015,4.9011,516.8,1
44.943,4.9116,2239.5,0
42,4.9683,495.26,0
39.034,5.0445,753.66,0
41.184,5.3794,818.26,0
32.657,5.2361,495.26,0
35.544,5.2429,344.53,0
27.264,5.2277,107.67,0
26.835,5.2699,344.53,0
58.9,5.14,2239.5,0
48.125,4.9644,753.66,0
24.974,4.9721,732.13,0
3.9741,4.878,732.13,0
3.0188,4.77,732.13,0
0,4.7898,710.6,0
11.973,4.8288,732.13,0
22.566,4.8486,775.2,0
17.889,4.7812,710.6,0
28.833,4.785,710.6,0
26.226,4.8328,753.66,0
13.193,4.8777,732.13,0
9.1025,4.8474,710.6,0
0,4.8253,710.6,0
1.0661,4.8846,710.6,0
3.4849,4.8926,689.06,0
2.2107,4.9016,775.2,0
17.883,4.935,710.6,0
23.424,4.9585,732.13,0
19.357,4.9685,775.2,0
29.832,5.0089,775.2,0
55.208,5.1293,753.66,0
29.491,5.0667,753.66,0
54.068,5.4166,753.66,0
56.39,5.1856,2067.2,0
66.644,5.2979,753.66,0
55.564,5.5563,409.13,0
51.718,5.5406,86.133,0
48.738,5.5201,150.73,0
46.791,5.3163,258.4,0
53.475,5.3904,236.87,0
63.111,5.1794,753.66,0
71.166,5.287,2110.3,0
43.268,5.333,387.6,0
32.401,5.5307,86.133,0
29.586,5.4178,215.33,0
29.097,5.406,0,0
27.765,5.4358,279.93,0
34.045,5.4691,215.33,0
43.262,5.6976,150.73,0
42.333,5.623,409.13,0
43.021,5.6123,258.4,0
71.943,5.2979,2153.3,0
66.41,5.5466,1399.7,0
52.744,5.1319,732.13,0
69.209,5.3819,732.13,0
54.077,5.0916,710.6,0
57.116,5.4367,689.06,0
64.642,5.2022,710.6,0
68.186,5.2948,689.06,0
60.05,5.1375,710.6,0
66.102,5.6283,215.33,0
65.334,5.6754,1485.8,0
65.81,5.6412,1550.4,0
66.251,5.6172,775.2,0
65.263,5.6587,452.2,0
60.024,5.5412,430.66,0
72.219,5.3574,1162.8,0
64.028,5.4993,538.33,0
58.588,5.4632,753.66,0
55.193,5.5256,193.8,0
59.96,5.5955,409.13,0
56.52,5.5485,193.8,0
54.995,5.6585,1981.1,0
56.601,5.6893,495.26,0
57.71,5.7181,279.93,0
53.994,5.671,0,0
56.941,5.7127,538.33,0
55.939,5.6956,258.4,0
55.796,5.6696,236.87,0
53.11,5.6924,0,0
54.567,5.6594,495.26,0
55.96,5.7089,495.26,0
53.567,5.6808,0,0
49.152,5.702,1378.1,0
51.045,5.7147,64.6,0
49.8,5.7113,0,0
56.564,5.721,0,0
64.167,5.6778,1012.1,0
74.626,5.6871,1162.8,0
62.535,5.6994,1830.3,0
61.137,5.6813,86.133,0
56.171,5.7242,172.27,0
54.94,5.756,0,0
63.74,5.1786,323,0
63.174,5.4466,710.6,0
57.927,5.5455,2239.5,0
62.085,5.4993,2153.3,0
66.316,5.4838,2217.9,0
63.812,5.5088,2304.1,0
63.908,5.534,2239.5,0
81.285,5.4737,1938,0
73.804,5.4806,1938,0
72.874,5.5058,2131.8,0
67.784,5.5679,2347.1,0
69.808,5.4904,1938,0
63.06,5.5125,1916.5,0
54.983,5.4706,2131.8,0
51.433,5.4772,1744.2,0
46.677,5.5131,1787.3,0
51.949,5.1367,1808.8,0
50.012,5.469,495.26,0
48.675,5.3366,473.73,0
51.123,5.5121,495.26,0
42.377,5.4584,193.8,0
45.578,5.426,452.2,0
44.102,5.3843,323,0
41.534,5.4349,366.06,0
40.404,5.4699,452.2,0
39.251,5.2954,279.93,0
34.606,5.4699,0,0
36.274,5.4584,279.93,0
55.332,5.4434,279.93,0
20.994,5.0518,646,1
35.204,4.992,624.46,1
78.707,5.0393,646,1
165.5,5.0003,667.53,1
244.72,4.9522,667.53,1
488.35,4.6808,689.06,1
468.65,4.4942,667.53,1
318.02,4.6424,409.13,1
174.21,4.5738,430.66,1
245.62,4.427,452.2,1
391.92,4.0906,473.73,1
644.15,3.4706,495.26,1
547.55,3.77,516.8,1
123.26,4.7334,495.26,1
79.473,5.5266,495.26,1
63.663,5.4023,2174.9,1
94.744,5.5807,2433.3,1
68.119,5.4201,2454.8,1
89.458,5.5191,2347.1,1
69.848,5.3922,2368.7,1
94.231,5.5693,2368.7,1
93.783,5.5686,2174.9,1
87.832,5.5571,2476.3,1
69.883,5.4241,2411.7,0
49.117,5.4412,0,0
31.98,5.097,0,0
28.947,5.2945,150.73,0
35.839,4.9577,430.66,0
26.613,5.1219,473.73,0
41.825,5.6767,0,0
44.999,5.5617,0,0
34.696,5.5419,107.67,0
31.443,5.5308,107.67,0
48.868,5.615,43.066,0
47.338,5.5972,64.6,0
42.577,5.5526,107.67,0
33.747,5.388,0,0
29.381,5.4069,21.533,0
34.926,5.3798,86.133,0
33.54,5.178,215.33,0
27.073,5.1824,236.87,0
0,4.6796,0,0
0,4.9382,0,0
9.3537,4.9371,882.86,0
0,5.0939,21.533,0
0,5.0679,646,1
190.41,4.9051,538.33,1
961.64,4.8266,344.53,1
1687.1,4.8239,301.46,1
1570.2,4.7914,1119.7,1
1810.6,4.8627,1119.7,1
2538.5,4.9133,193.8,1
2935.4,4.9451,172.27,1
3399.7,4.8651,301.46,1
3820.8,4.8772,301.46,1
3609.9,4.964,301.46,1
3880.5,5.1348,323,1
3937.7,4.9725,387.6,1
4244.7,5.0212,366.06,1
4841.1,4.9261,366.06,1
4139,4.9954,387.6,1
4449.2,4.7032,366.06,1
3900.6,4.8149,366.06,1
3122.3,4.8135,323,1
