@relation featureMatrix

@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.013616,6,1
0.32587,2,1
0.50409,3,1
0.42058,3,0
0.69252,3,0
0.45651,3,0
0.42273,3,0
0.84387,2,0
0.80927,2,0
0.56092,2,0
0.43293,2,0
0.4328,1,0
0.30474,3,0
0.31189,3,0
0.24437,3,0
0.5202,3,0
0.48949,4,0
0.41497,4,0
0.23473,5,0
0.65505,4,0
0.79429,3,0
0,9,0
0.14805,3,0
0.107,7,0
0.035461,11,0
0.090677,20,1
0.40571,2,1
0.57852,2,1
0.60118,3,1
0.85799,6,1
0.84515,6,1
0.70292,6,1
0.90492,6,1
0.98169,6,1
0.91579,6,1
0.85216,6,1
0.80231,6,1
0.92606,6,1
0.86747,6,1
0.81591,6,1
0.91989,7,1
0.95474,7,1
0.95508,7,1
0.96342,7,1
0.99784,7,1
0.99789,7,1
0.97286,7,1
1.0129,7,1
1.0765,3,1
1.0947,2,1
1.1172,2,1
1.1437,2,1
1.0883,2,1
1.0275,2,1
1.0171,2,1
0.97248,2,1
0.94248,2,1
1.0328,2,1
1.0829,2,1
1.1065,2,1
1.1307,2,1
1.1332,2,1
1.1446,2,1
1.143,2,1
1.1124,2,1
1.0888,2,1
1.1034,2,1
1.1402,2,1
1.1675,2,1
1.1901,2,1
1.1979,2,1
1.1392,2,1
1.1908,2,1
1.1893,2,1
1.203,2,1
1.0559,2,1
1.2297,2,1
1.0354,2,1
0.82537,2,1
0.21829,6,1
0.15125,7,1
0.43761,3,1
0.92632,2,0
0.95316,2,0
0.027944,2,0
0,6,0
0,7,0
0.033671,6,0
0.28457,10,0
0.39337,8,0
0.69273,8,0
0.63638,7,0
0.38048,10,0
0.18535,10,0
0.15064,19,0
0.15838,17,0
0.34639,10,0
0.27042,16,0
0.11662,19,0
0.12944,19,0
0.23557,12,0
