@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.001926,0.17151,0.0035156,51,0
0.0018682,0.16788,0.0028499,73,0
0.0070447,0.14791,0.0024566,78,0
0.0080737,0.11071,0.0090286,14,0
0.0095531,0.084392,0.0068199,14,0
0.011541,0.10617,0.0046735,124,0
0.0096991,0.11252,0.0057671,55,0
0.0096104,0.089837,0.0082174,54,0
0.0074176,0.14065,0.0042035,124,0
0.011736,0.14428,0.0055914,55,0
0.017406,0.084392,0.004812,55,0
0.018056,0.087114,0.0081304,60,0
0.018261,0.086207,0.0078292,62,0
0.020019,0.066243,0.00694,60,0
0.025856,0.049002,0.0075924,60,0
0.032203,0.03902,0.0087627,14,0
0.034654,0.039927,0.0089054,12,0
0.036404,0.03902,0.0095294,56,0
0.036111,0.03539,0.010839,140,0
0.034022,0.036298,0.0086469,14,0
0.032783,0.040835,0.0085157,14,0
0.031344,0.045372,0.010873,56,0
0.028553,0.063521,0.010335,15,0
0.023573,0.075318,0.015336,54,0
0.019829,0.090744,0.0082921,54,0
0.021305,0.089837,0.0081077,57,0
0.022091,0.073503,0.0081352,56,0
0.023278,0.073503,0.0068646,54,0
0.034787,0.075318,0.012595,12,1
0.091999,0.07078,0.02691,125,1
0.20752,0.058076,0.058946,41,1
0.32999,0.03902,0.076735,38,1
0.32451,0.029038,0.045408,36,1
0.29312,0.028131,0.04345,129,1
0.38586,0.026316,0.028303,26,1
0.40861,0.032668,0.03864,112,1
0.34808,0.04265,0.10868,33,1
0.30635,0.053539,0.16678,33,1
0.24847,0.07441,0.11679,37,1
0.16955,0.078947,0.065435,48,1
0.14234,0.057169,0.051213,62,1
0.10052,0.062613,0.029031,86,1
0.042806,0.072595,0.025542,153,1
0.020833,0.059891,0.0094919,25,1
0.011338,0.060799,0.0086933,120,1
0.0042105,0.077132,0.0069313,44,0
0.003275,0.078947,0.0036384,45,0
0.0016493,0.07804,0.0021026,67,0
0.00058334,0.084392,0.0014987,65,0
0.0004645,0.091652,0.00065615,129,0
0.00038844,0.10799,0.00057577,129,0
0,0.11343,0,34,0
0,0.11706,8.3761e-05,57,0
0.006883,0.10254,0.0013751,7,0
0.012304,0.10345,0.0038278,65,0
0.015326,0.092559,0.0042383,62,0
0.017866,0.053539,0.0051568,7,0
0.019476,0.044465,0.0050408,7,0
0.019518,0.043557,0.0046915,7,0
0.019095,0.044465,0.0042843,7,0
0.018675,0.051724,0.0049394,66,0
0.017685,0.060799,0.0058213,67,0
0.016508,0.051724,0.005626,67,0
0.015993,0.049909,0.0067376,7,0
0.016439,0.049909,0.0064512,8,0
0.017861,0.049909,0.0091567,8,0
0.018771,0.046279,0.0084475,7,0
0.019431,0.037205,0.0085069,9,0
0.021825,0.045372,0.0095246,7,0
0.020624,0.050817,0.010316,7,0
0.01654,0.049909,0.010122,9,0
0.014495,0.056261,0.0099329,9,0
0.011352,0.066243,0.0083328,7,0
0.012569,0.07078,0.0090877,8,0
0.014672,0.096189,0.0042965,65,0
0.010476,0.099819,0.010868,11,0
0.0039217,0.085299,0.0023833,128,0
0.009417,0.088929,0.006891,9,0
0.0092919,0.1225,0.0049993,49,0
0.00094459,0.14338,0.0025058,53,0
0.00079689,0.14701,0.0011133,52,0
0.00074603,0.14065,0.00076851,61,0
0.0010716,0.1098,0.00034211,69,0
0.0055531,0.098911,9.4164e-05,6,0
0.0056125,0.08167,0.0067031,11,0
0.004992,0.080762,0.0045425,11,0
0.0046685,0.10889,0.001229,48,0
0,0.13975,0,52,0
0,0.16334,0,120,0
0,0.1588,2.5697e-05,124,0
4.5809e-05,0.1588,9.5592e-06,95,0
0.00025315,0.14519,6.1558e-05,127,0
0.00073441,0.13975,0.00030268,135,0
0.00071559,0.17151,0.00011782,44,0
0.001223,0.16697,0.00047867,54,0
0.0045946,0.12795,0.0069845,9,0
0.0085213,0.10073,0.0021972,81,0
0.0079771,0.093466,0.0095112,67,0
