@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.24487,0.18665,0.03902,0.048094,2851.9,2606.1,4.7769,0.4464,495.26,366.06,1
0.25442,0.1962,0.044465,0.04265,3087.9,2842,4.8614,0.3619,495.26,366.06,1
0.24806,0.18984,0.046279,0.040835,3196.8,2950.9,4.7582,0.46501,495.26,366.06,1
0.24317,0.18495,0.043557,0.043557,2815.7,2569.9,4.7679,0.45531,495.26,366.06,1
0.24163,0.18341,0.043557,0.043557,2391,2145.1,4.8139,0.40933,495.26,366.06,1
0.2268,0.16858,0.049909,0.037205,2249.1,2003.2,4.8205,0.40278,495.26,366.06,1
0.24407,0.18585,0.04265,0.044465,2866.3,2620.4,4.7392,0.48406,473.73,344.53,1
0.2386,0.18038,0.047187,0.039927,2561.9,2316,4.9073,0.31597,495.26,366.06,1
0.22836,0.17014,0.052632,0.034483,2404.2,2158.3,4.8942,0.32904,495.26,366.06,1
0.24039,0.18217,0.043557,0.043557,2715.5,2469.6,4.7913,0.43193,473.73,344.53,1
0.24667,0.18845,0.040835,0.046279,2848.5,2602.7,4.7683,0.45494,473.73,344.53,1
0.24038,0.18216,0.04265,0.044465,2183.2,1937.3,4.8212,0.40201,495.26,366.06,1
0.25487,0.19665,0.039927,0.047187,2746,2500.1,4.6737,0.54956,495.26,366.06,1
0.25877,0.20056,0.048094,0.03902,2905.5,2659.6,4.7117,0.51153,473.73,344.53,1
0.25423,0.19602,0.054446,0.032668,2552.9,2307,4.6955,0.52778,473.73,344.53,1
0.26343,0.20521,0.044465,0.04265,2926.5,2680.6,4.7943,0.42895,473.73,344.53,1
0.23745,0.17923,0.04265,0.044465,2763.7,2517.8,4.8949,0.32837,473.73,344.53,1
0.22571,0.16749,0.039927,0.047187,2648.8,2402.9,4.7714,0.45189,452.2,323,1
0.21536,0.15714,0.049002,0.038113,2324.1,2078.2,4.7499,0.47333,452.2,323,1
0.19184,0.13362,0.069873,0.017241,2186.1,1940.2,4.859,0.36426,452.2,323,1
0.17646,0.11824,0.07441,0.012704,1626.6,1380.7,5.0201,0.20318,452.2,323,1
0.16137,0.10316,0.072595,0.014519,1495.6,1249.7,4.9619,0.2613,452.2,323,1
0.15859,0.10038,0.078947,0.008167,1786.5,1540.7,4.8698,0.35349,452.2,323,1
0.17088,0.11266,0.072595,0.014519,1600.6,1354.7,4.8843,0.33891,452.2,323,1
0.16837,0.11015,0.065336,0.021779,1900.7,1654.8,4.8885,0.33472,452.2,323,1
0.16755,0.10933,0.058984,0.028131,1779,1533.1,4.9044,0.31887,452.2,323,1
0.19109,0.13287,0.048094,0.03902,1957.9,1712,4.8087,0.41454,452.2,323,1
0.20143,0.14321,0.050817,0.036298,2135,1889.1,4.8085,0.41475,473.73,344.53,1
0.20957,0.15135,0.058076,0.029038,2230.8,1985,4.7974,0.42589,452.2,323,1
0.20323,0.14501,0.058076,0.029038,2471.2,2225.3,4.817,0.40623,452.2,323,1
0.18958,0.13137,0.056261,0.030853,2029.2,1783.3,4.9215,0.30178,452.2,323,1
0.18657,0.12835,0.059891,0.027223,1954.8,1708.9,4.7409,0.48231,473.73,344.53,1
0.19379,0.13557,0.051724,0.03539,1846.1,1600.2,4.7664,0.45684,473.73,344.53,1
0.20511,0.14689,0.044465,0.04265,2011.1,1765.2,4.7766,0.44661,473.73,344.53,1
0.19721,0.13899,0.058076,0.029038,2105.4,1859.5,4.7675,0.45578,473.73,344.53,1
0.20312,0.1449,0.067151,0.019964,2260.3,2014.4,4.7671,0.4562,473.73,344.53,1
0.20671,0.14849,0.07078,0.016334,2229.8,1983.9,4.7454,0.47785,473.73,344.53,1
0.1949,0.13668,0.076225,0.010889,2054,1808.1,4.8963,0.32698,452.2,323,1
0.18474,0.12653,0.073503,0.013612,1896.7,1650.8,4.9031,0.32019,452.2,323,1
0.16835,0.11013,0.071688,0.015426,1968.8,1723,4.9313,0.29196,452.2,323,1
0.1668,0.10859,0.062613,0.024501,1801.8,1555.9,4.8602,0.36304,452.2,323,1
0.17122,0.113,0.054446,0.032668,1884.6,1638.8,4.913,0.31028,452.2,323,1
0.17394,0.11572,0.049909,0.037205,1884.1,1638.2,4.916,0.30726,452.2,323,1
0.1802,0.12198,0.060799,0.026316,1964.9,1719,4.9579,0.26533,430.66,301.46,1
0.18469,0.12647,0.07078,0.016334,2078.4,1832.6,4.9041,0.31915,452.2,323,1
0.18074,0.12252,0.064428,0.022686,1842,1596.1,4.9254,0.29787,452.2,323,1
0.17445,0.11624,0.062613,0.024501,2130.1,1884.2,4.8022,0.42109,430.66,301.46,1
0.17525,0.11704,0.056261,0.030853,1973.8,1727.9,4.714,0.50927,452.2,323,1
0.17607,0.11785,0.058076,0.029038,1670,1424.1,4.9202,0.30308,452.2,323,1
0.1764,0.11818,0.066243,0.020871,2015.1,1769.3,4.8525,0.37074,452.2,323,1
0.18529,0.12707,0.057169,0.029946,1865.7,1619.8,4.6931,0.53012,452.2,323,1
0.1837,0.12548,0.053539,0.033575,1826.5,1580.6,4.6388,0.58441,452.2,323,1
0.18332,0.1251,0.058076,0.029038,1795.2,1549.3,4.548,0.67529,452.2,323,1
0.19218,0.13397,0.059891,0.027223,1881.6,1635.7,4.52,0.70323,452.2,323,1
0.2045,0.14628,0.061706,0.025408,2073.9,1828,4.5151,0.70813,473.73,344.53,1
0.23185,0.17363,0.057169,0.029946,2224,1978.1,4.6219,0.60131,473.73,344.53,1
0.25353,0.19531,0.051724,0.03539,2475,2229.2,4.4961,0.72719,473.73,344.53,1
0.25378,0.19556,0.054446,0.032668,2514.6,2268.7,4.6616,0.56165,473.73,344.53,1
0.24708,0.18886,0.062613,0.024501,2218.8,1972.9,4.4077,0.81557,473.73,344.53,1
0.25483,0.19662,0.059891,0.027223,2472.2,2226.3,4.4681,0.75519,473.73,344.53,1
0.26437,0.20615,0.053539,0.033575,2319.5,2073.7,4.3517,0.87155,473.73,344.53,1
0.26602,0.2078,0.049002,0.038113,2403.1,2157.3,4.3226,0.90063,473.73,344.53,1
0.26825,0.21003,0.044465,0.04265,2438.9,2193,4.4203,0.80296,495.26,366.06,1
0.27267,0.21445,0.034483,0.052632,2553.8,2308,4.4337,0.78953,495.26,366.06,1
0.28059,0.22238,0.032668,0.054446,2738.1,2492.3,4.4375,0.7858,495.26,366.06,1
0.29587,0.23765,0.028131,0.058984,2944.9,2699.1,4.4177,0.80552,495.26,366.06,1
0.28608,0.22786,0.026316,0.060799,2991.9,2746,4.5918,0.63144,495.26,366.06,1
0.2582,0.19998,0.036298,0.050817,2565.2,2319.3,4.6309,0.59231,495.26,366.06,1
0.25339,0.19517,0.03902,0.048094,2930.2,2684.3,4.62,0.60322,495.26,366.06,1
0.27059,0.21238,0.040835,0.046279,2900.1,2654.2,4.6345,0.58877,495.26,366.06,1
0.28127,0.22305,0.043557,0.043557,2960,2714.1,4.6689,0.55436,495.26,366.06,1
0.29366,0.23544,0.03902,0.048094,3138.6,2892.7,4.6196,0.60365,473.73,344.53,1
0.29319,0.23498,0.03176,0.055354,3216,2970.1,4.5457,0.67751,473.73,344.53,1
0.27972,0.2215,0.03176,0.055354,2846.5,2600.7,4.6169,0.60635,473.73,344.53,1
0.26929,0.21107,0.03902,0.048094,2780.1,2534.3,4.5855,0.63776,473.73,344.53,1
0.25907,0.20086,0.036298,0.050817,2682.5,2436.6,4.6408,0.58248,473.73,344.53,1
