@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE entropy 	REAL
@ATTRIBUTE domfreq 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.14775,0.13541,0.019512,1
0.11531,0.094924,0.019512,1
0.11656,0.065546,0.087805,0
0.13518,0.081084,0.019512,0
0.14884,0.12864,0.0097561,0
0.1532,0.077787,0.019512,0
0.14796,0.056974,0.019512,0
0.15249,0.11533,0.0097561,0
0.16692,0.12633,0.019512,0
0.15029,0.054931,0.029268,0
0.11467,0.037632,0.019512,0
0.096958,0.06471,0.0097561,0
0.12061,0.05629,0.0097561,0
0.14459,0.036266,0.029268,0
0.12888,0.055287,0.029268,0
0.13324,0.097883,0.0097561,0
0.15762,0.095903,0.029268,0
0.11409,0.0081875,0.0097561,0
0,NaN,0.0097561,0
0.088207,0.033778,0.0097561,0
0.077049,0.0021388,0.029268,0
0.055216,0.015527,0.0097561,0
0.048568,0.010881,0.019512,0
0.050089,-0.0045361,0.039024,1
0.079349,0.044321,0.46829,1
0.16326,0.20179,0.45854,1
0.21866,0.22756,0.4878,1
0.22135,0.26291,0.49756,1
0.17935,0.18932,0.50732,1
0.16164,0.13349,0.50732,1
0.15929,0.19776,0.49756,1
0.18593,0.12732,0.4878,1
0.24625,0.24986,0.4878,1
0.29206,0.27681,0.47805,1
0.31968,0.27341,0.46829,1
0.29492,0.28265,0.46829,1
0.32177,0.27198,0.4878,1
0.36861,0.3617,0.4878,1
0.35607,0.29254,0.4878,1
0.27255,0.23627,0.49756,1
0.17901,0.18174,0.50732,1
0.16368,0.16026,0.50732,1
0.14775,0.16921,0.76098,1
0.22152,0.222,0.50732,1
0.30243,0.35733,0.51707,1
0.36645,0.39299,0.78049,1
0.44042,0.43394,0.79024,1
0.49567,0.48919,0.8,1
0.50836,0.50713,0.8,1
0.50434,0.60061,0.79024,1
0.48179,0.73446,0.8,1
0.44998,0.73248,0.76098,1
0.42734,0.6362,0.75122,1
0.40953,0.70158,0.98537,1
0.40731,0.5959,0.74146,1
0.40697,0.62768,0.74146,1
0.41248,0.55939,0.75122,1
0.40833,0.53819,0.74146,1
0.38617,0.56009,0.74146,1
0.38443,0.5223,0.75122,1
0.38293,0.52468,0.75122,1
0.39144,0.53129,0.74146,1
0.40757,0.56474,0.49756,1
0.38485,0.58378,0.49756,1
