@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,4-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy numeric
@attribute class {0,1}

@data
48.125,4.9644,0
24.974,4.9721,0
3.9741,4.878,0
3.0188,4.77,0
0,4.7898,0
11.973,4.8288,0
22.566,4.8486,0
17.889,4.7812,0
28.833,4.785,0
26.226,4.8328,0
13.193,4.8777,0
9.1025,4.8474,0
0,4.8253,0
1.0661,4.8846,0
3.4849,4.8926,0
2.2107,4.9016,0
17.883,4.935,0
23.424,4.9585,0
19.357,4.9685,0
29.832,5.0089,0
55.208,5.1293,0
29.491,5.0667,0
54.068,5.4166,0
56.39,5.1856,0
66.644,5.2979,0
55.564,5.5563,0
51.718,5.5406,0
48.738,5.5201,0
46.791,5.3163,0
53.475,5.3904,0
63.111,5.1794,0
71.166,5.287,0
43.268,5.333,0
32.401,5.5307,0
29.586,5.4178,0
29.097,5.406,0
27.765,5.4358,0
34.045,5.4691,0
43.262,5.6976,0
42.333,5.623,0
43.021,5.6123,0
71.943,5.2979,0
66.41,5.5466,0
52.744,5.1319,0
69.209,5.3819,0
54.077,5.0916,0
57.116,5.4367,0
64.642,5.2022,0
68.186,5.2948,0
60.05,5.1375,0
66.102,5.6283,0
65.334,5.6754,0
65.81,5.6412,0
66.251,5.6172,0
65.263,5.6587,0
60.024,5.5412,0
72.219,5.3574,0
64.028,5.4993,0
58.588,5.4632,0
55.193,5.5256,0
59.96,5.5955,0
56.52,5.5485,0
54.995,5.6585,0
56.601,5.6893,0
57.71,5.7181,0
53.994,5.671,0
56.941,5.7127,0
55.939,5.6956,0
55.796,5.6696,0
53.11,5.6924,0
54.567,5.6594,0
55.96,5.7089,0
53.567,5.6808,0
49.152,5.702,0
51.045,5.7147,0
49.8,5.7113,0
56.564,5.721,0
64.167,5.6778,0
74.626,5.6871,0
62.535,5.6994,0
61.137,5.6813,0
56.171,5.7242,0
54.94,5.756,0
63.74,5.1786,0
63.174,5.4466,0
57.927,5.5455,0
62.085,5.4993,0
66.316,5.4838,0
63.812,5.5088,0
63.908,5.534,0
81.285,5.4737,0
73.804,5.4806,0
72.874,5.5058,0
67.784,5.5679,0
69.808,5.4904,0
63.06,5.5125,0
54.983,5.4706,0
51.433,5.4772,0
46.677,5.5131,0
51.949,5.1367,0
50.012,5.469,0
48.675,5.3366,0
51.123,5.5121,0
42.377,5.4584,0
45.578,5.426,0
44.102,5.3843,0
41.534,5.4349,0
40.404,5.4699,0
39.251,5.2954,0
34.606,5.4699,0
36.274,5.4584,0
55.332,5.4434,0
20.994,5.0518,1
35.204,4.992,1
78.707,5.0393,1
165.5,5.0003,1
244.72,4.9522,1
488.35,4.6808,1
468.65,4.4942,1
318.02,4.6424,1
174.21,4.5738,1
245.62,4.427,1
391.92,4.0906,1
644.15,3.4706,1
547.55,3.77,1
123.26,4.7334,1
79.473,5.5266,1
63.663,5.4023,1
94.744,5.5807,1
68.119,5.4201,1
89.458,5.5191,1
69.848,5.3922,1
94.231,5.5693,1
93.783,5.5686,1
87.832,5.5571,1
69.883,5.4241,0
49.117,5.4412,0
31.98,5.097,0
28.947,5.2945,0
35.839,4.9577,0
26.613,5.1219,0
41.825,5.6767,0
44.999,5.5617,0
34.696,5.5419,0
31.443,5.5308,0
48.868,5.615,0
47.338,5.5972,0
42.577,5.5526,0
33.747,5.388,0
29.381,5.4069,0
34.926,5.3798,0
33.54,5.178,0
27.073,5.1824,0
0,5.2831,0
0.45863,5.2641,0
6.3191,5.3108,0
22.427,5.4914,0
24.243,5.5116,1
0,5.2881,1
1161.8,4.7389,1
1669.8,4.7585,1
1406.8,4.5458,1
1598.3,4.6384,1
1842.1,4.8208,1
1950.7,4.6158,1
2226.7,4.3438,1
2374.1,4.5431,1
2356.4,4.6365,1
2599.7,4.785,1
2746.4,4.5171,1
2885.8,4.669,1
3029.3,4.7892,1
3729.5,4.658,1
3421,4.3656,1
3512.6,4.4576,1
3401.3,4.4567,1
