@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4,6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute class {0,1}

@data
30.604,21.533,0
33.142,2304.1,0
29.14,559.86,0
26.685,150.73,0
28.581,193.8,0
29.606,516.8,0
26.575,64.6,0
27.303,473.73,0
26.962,21.533,0
24.385,64.6,0
20.454,150.73,0
18.991,21.533,0
22.333,323,0
25.178,64.6,0
21.031,43.066,0
15.509,64.6,0
17.031,21.533,0
18.129,301.46,0
18.333,301.46,0
13.08,21.533,0
15.004,64.6,0
17.11,64.6,0
18.112,43.066,0
16.359,495.26,0
17.028,21.533,0
17.802,21.533,0
20.388,43.066,0
20.821,21.533,0
21.538,64.6,0
27.618,1916.5,0
40.142,21.533,0
32.686,64.6,0
31.94,64.6,0
34.959,21.533,0
39.492,1485.8,0
36.179,43.066,0
41.462,2411.7,0
49.115,1507.3,0
46.839,21.533,0
38.193,2045.7,0
36.639,150.73,0
35.185,150.73,0
24.917,452.2,0
29.431,193.8,0
17.801,236.87,0
15.543,43.066,0
17.952,21.533,0
18.733,64.6,0
15.188,258.4,0
15.055,215.33,0
11.18,236.87,0
13.888,64.6,0
11.605,43.066,0
15.043,21.533,0
15.595,258.4,0
20.961,64.6,0
14.356,279.93,0
13.669,21.533,0
14.924,279.93,0
18.983,258.4,0
17.306,43.066,0
15.04,43.066,0
14.337,258.4,0
12.61,21.533,0
11.98,236.87,0
12.005,21.533,0
12.662,172.27,0
14.938,215.33,0
11.927,21.533,0
10.835,258.4,0
11.172,150.73,0
9.9471,258.4,0
8.6285,258.4,0
8.6597,279.93,0
9.289,258.4,0
19.511,43.066,0
13.887,215.33,0
10.974,64.6,0
9.9605,258.4,0
11.213,21.533,0
29.3,64.6,0
31.607,172.27,0
29.41,43.066,0
24.781,2454.8,0
22.726,21.533,0
21.153,64.6,0
18.269,64.6,0
28.16,21.533,0
31.165,64.6,0
18.304,64.6,0
13.235,64.6,0
9.6156,86.133,0
7.857,21.533,0
9.6175,64.6,0
9.5937,64.6,0
19.513,21.533,0
11.516,323,0
14.933,473.73,0
16.646,172.27,0
14.719,215.33,0
15.001,64.6,0
13.139,43.066,0
17.611,301.46,0
18.131,193.8,0
14.87,150.73,0
14.857,64.6,0
39.36,215.33,0
63.228,1464.3,0
62.172,21.533,0
52.23,236.87,0
44.557,64.6,0
30.909,43.066,0
25.293,64.6,0
30.819,882.86,0
63.308,21.533,0
56.644,64.6,0
47.786,64.6,0
49.656,21.533,0
51.22,172.27,0
45.415,1141.3,0
58.066,193.8,0
54.556,107.67,0
52.864,150.73,0
38.187,193.8,0
37.95,193.8,0
47.957,21.533,0
61.74,925.93,0
71.927,839.79,0
72.933,2454.8,0
73.383,1916.5,0
74.391,2325.6,0
83.138,1938,0
79.857,2347.1,0
84.785,2454.8,0
83.32,2196.4,0
78.017,495.26,0
73.316,2067.2,0
67.332,301.46,0
60,323,0
50.054,516.8,0
45.774,193.8,0
40.64,21.533,0
40.864,409.13,0
40.579,430.66,0
59.405,323,0
66.547,1916.5,0
63.595,2067.2,0
72.961,301.46,0
72.17,301.46,0
67.335,236.87,0
89.993,8075,0
51.653,366.06,0
75.901,150.73,0
67.15,2067.2,0
