@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-5'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency_min numeric
@attribute class {0,1}

@data
32.914,86.133,0
23.124,323,0
9.8566,172.27,0
0,236.87,0
0,0,0
0.11197,43.066,0
22.578,236.87,0
43.835,495.26,0
44.711,516.8,1
844.94,495.26,1
1194.1,473.73,1
1654,452.2,1
1871,452.2,1
1941.4,452.2,1
2083.6,452.2,1
2266.9,473.73,1
2243.4,473.73,1
2307.4,473.73,1
2296.6,473.73,1
2306.2,473.73,1
2309.2,473.73,1
2329.7,473.73,1
2410.2,473.73,1
2364.5,473.73,1
2298.9,452.2,1
2312.6,473.73,1
2269,473.73,1
2287,452.2,1
2218.3,452.2,1
2274.8,452.2,1
2249.1,452.2,1
2109.3,430.66,1
2059,430.66,1
1960.1,430.66,1
1791.3,430.66,1
1747,430.66,1
1784.5,430.66,1
1782.4,430.66,1
1799.2,430.66,1
1843.9,430.66,1
1915.4,430.66,1
1998.7,430.66,1
1999.7,430.66,1
1993.6,430.66,1
2022.5,452.2,1
2032.3,452.2,1
2077.4,452.2,1
2146,452.2,1
2147,452.2,1
2194.9,452.2,1
2169.7,452.2,1
2136.9,430.66,1
1885.7,430.66,1
1695.8,430.66,1
1726.8,430.66,1
1831.4,430.66,1
1760.3,430.66,1
1709.1,430.66,1
1683.5,430.66,1
1683.2,430.66,1
1673,430.66,1
1723.2,430.66,1
1786.7,430.66,1
1793.6,430.66,1
1786.1,430.66,1
1882.2,430.66,1
1868.8,430.66,1
2011.4,430.66,1
2211.4,452.2,1
2360.8,452.2,1
2553,452.2,1
2564.8,452.2,1
2505.9,452.2,1
2469.1,452.2,1
2438.2,452.2,1
2550.9,473.73,1
2667.4,473.73,1
2793.9,473.73,1
2849.5,473.73,1
2777,473.73,1
2779,473.73,1
2778.3,473.73,1
2877.6,473.73,1
2833.4,473.73,1
2791.8,473.73,1
2724.2,452.2,1
2538.8,452.2,1
2486.7,452.2,1
2483.3,452.2,1
2549.3,452.2,1
2570.4,452.2,1
2307.2,452.2,1
2315.4,430.66,1
2156,430.66,1
1999.2,430.66,1
2014.3,409.13,1
1825.1,409.13,1
1858.4,775.2,1
1997.3,732.13,1
2107.6,710.6,1
1893.5,689.06,1
1155.1,667.53,1
1011.5,667.53,1
981.07,710.6,1
621.86,366.06,1
779.37,710.6,1
983.06,710.6,1
927.44,667.53,1
546.08,409.13,1
1116.6,689.06,1
946.34,689.06,1
680.78,430.66,1
896.49,516.8,1
713.94,473.73,1
601.08,473.73,1
263.82,473.73,1
0,452.2,1
0,387.6,1
10.875,409.13,1
35.479,409.13,1
55.273,430.66,1
40.288,430.66,1
24.633,452.2,0
21.045,452.2,0
31.315,452.2,0
41.65,452.2,0
44.461,2217.9,0
38.27,452.2,0
37.358,452.2,0
34.678,1981.1,0
30.138,2282.5,0
32.002,2282.5,0
28.566,2304.1,0
28.574,193.8,0
30.604,0,0
33.142,2282.5,0
29.14,538.33,0
26.685,129.2,0
28.581,172.27,0
29.606,495.26,0
26.575,43.066,0
27.303,452.2,0
26.962,0,0
24.385,43.066,0
20.454,129.2,0
18.991,0,0
22.333,301.46,0
25.178,43.066,0
21.031,21.533,0
15.509,43.066,0
17.031,0,0
18.129,279.93,0
18.333,279.93,0
13.08,0,0
15.004,43.066,0
17.11,43.066,0
18.112,21.533,0
16.359,473.73,0
17.028,0,0
17.802,0,0
20.388,21.533,0
20.821,0,0
21.538,43.066,0
27.618,1894.9,0
40.142,0,0
32.686,43.066,0
31.94,43.066,0
34.959,0,0
39.492,1464.3,0
36.179,21.533,0
41.462,2390.2,0
49.115,1485.8,0
46.839,0,0
38.193,2024.1,0
36.639,129.2,0
35.185,129.2,0
24.917,430.66,0
29.431,172.27,0
17.801,215.33,0
15.543,21.533,0
17.952,0,0
18.733,43.066,0
15.188,236.87,0
15.055,193.8,0
11.18,215.33,0
13.888,43.066,0
11.605,21.533,0
15.043,0,0
15.595,236.87,0
20.961,43.066,0
14.356,258.4,0
13.669,0,0
14.924,258.4,0
18.983,236.87,0
17.306,21.533,0
15.04,21.533,0
14.337,236.87,0
12.61,0,0
11.98,215.33,0
12.005,0,0
12.662,150.73,0
14.938,193.8,0
11.927,0,0
10.835,236.87,0
11.172,129.2,0
9.9471,236.87,0
8.6285,236.87,0
8.6597,258.4,0
9.289,236.87,0
19.511,21.533,0
13.887,193.8,0
10.974,43.066,0
9.9605,236.87,0
11.213,0,0
29.3,43.066,0
31.607,150.73,0
29.41,21.533,0
24.781,2433.3,0
22.726,0,0
21.153,43.066,0
18.269,43.066,0
28.16,0,0
31.165,43.066,0
18.304,43.066,0
13.235,43.066,0
9.6156,64.6,0
7.857,0,0
9.6175,43.066,0
9.5937,43.066,0
19.513,0,0
11.516,301.46,0
14.933,452.2,0
16.646,150.73,0
14.719,193.8,0
15.001,43.066,0
13.139,21.533,0
17.611,279.93,0
18.131,172.27,0
14.87,129.2,0
14.857,43.066,0
39.36,193.8,0
63.228,1442.7,0
62.172,0,0
52.23,215.33,0
44.557,43.066,0
30.909,21.533,0
25.293,43.066,0
30.819,861.33,0
63.308,0,0
56.644,43.066,0
47.786,43.066,0
49.656,0,0
51.22,150.73,0
45.415,1119.7,0
58.066,172.27,0
54.556,86.133,0
52.864,129.2,0
38.187,172.27,0
37.95,172.27,0
47.957,0,0
61.74,904.39,0
71.927,818.26,0
72.933,2433.3,0
73.383,1894.9,0
74.391,2304.1,0
83.138,1916.5,0
79.857,2325.6,0
84.785,2433.3,0
83.32,2174.9,0
78.017,473.73,0
73.316,2045.7,0
67.332,279.93,0
60,301.46,0
50.054,495.26,0
45.774,172.27,0
40.64,0,0
40.864,387.6,0
40.579,409.13,0
59.405,301.46,0
66.547,1894.9,0
63.595,2045.7,0
72.961,279.93,0
72.17,279.93,0
67.335,215.33,0
89.993,8053.4,0
51.653,344.53,0
75.901,129.2,0
67.15,2045.7,0
56.607,150.73,0
39.26,150.73,0
33.726,43.066,0
34.12,43.066,0
37.885,43.066,0
40.631,0,0
129.46,646,1
831.41,689.06,1
655.48,753.66,1
650.02,538.33,1
1195.3,624.46,1
1530.1,689.06,1
1049.7,387.6,1
1122.4,409.13,1
1115.8,430.66,1
1311.4,430.66,1
1300.8,430.66,1
1293.6,430.66,1
1170.3,430.66,1
1007.4,430.66,1
912.07,409.13,1
785.28,409.13,1
764.96,387.6,1
767.15,387.6,1
724.34,732.13,1
658.73,710.6,1
802.97,667.53,1
797.7,646,1
975.11,624.46,1
888.92,602.93,1
738.28,559.86,1
531.03,516.8,1
454.36,473.73,1
367.54,452.2,1
354.61,452.2,1
356.3,452.2,1
343.45,452.2,1
644.51,452.2,1
587.47,430.66,1
427.31,452.2,1
467.39,452.2,1
410.88,473.73,1
407.36,473.73,1
388.52,473.73,1
415.24,473.73,1
427.62,473.73,1
406.58,495.26,1
405.18,495.26,1
447.96,495.26,1
494.9,495.26,1
452.37,516.8,1
441.96,516.8,1
402.67,516.8,1
579.07,538.33,1
981.84,624.46,1
2177.5,473.73,1
3929,516.8,1
3925.2,516.8,1
3246.4,495.26,1
4166.1,516.8,1
5155.4,559.86,1
7591.2,559.86,1
7333,559.86,1
6605.4,559.86,1
5752.9,538.33,1
4977.7,538.33,1
4526.4,516.8,1
3660.6,516.8,1
2969.5,495.26,1
2645.7,495.26,1
2106.3,473.73,1
1677.5,473.73,1
1890.2,452.2,1
1718.9,452.2,1
1585.7,452.2,1
1758.1,452.2,1
1925,452.2,1
1946.7,452.2,1
1910.8,452.2,1
1826.6,452.2,1
1706.8,430.66,1
1546,430.66,1
1434.9,430.66,1
1378.4,430.66,1
1463.1,430.66,1
1423.9,430.66,1
1873.3,430.66,1
1833.1,452.2,1
1960.5,452.2,1
2084.7,452.2,1
2099.5,452.2,1
2054.3,452.2,1
1990.9,452.2,1
1987.3,473.73,1
2102.9,473.73,1
2331.7,473.73,1
2403.8,473.73,1
2369.3,473.73,1
2459.4,473.73,1
2560.2,495.26,1
2816.6,495.26,1
3125.1,495.26,1
3206.3,495.26,1
3211.3,495.26,1
3308.3,495.26,1
3353.7,495.26,1
3371.9,495.26,1
3452.1,495.26,1
3555.7,495.26,1
3509.4,495.26,1
3379.8,495.26,1
3333.9,495.26,1
3263,473.73,1
2983.8,473.73,1
2910.1,473.73,1
3532.9,473.73,1
4155.4,473.73,1
4433.3,473.73,1
4665.7,473.73,1
4298.7,473.73,1
4040.6,452.2,1
3233.1,452.2,1
2112.9,430.66,1
1273.5,409.13,1
472.77,409.13,1
0,387.6,1
8.5001,473.73,1
21.506,430.66,0
31.65,409.13,0
31.448,452.2,0
38.168,473.73,0
