@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3'

@attribute energy_min numeric
@attribute zeroCrossingRate_min numeric
@attribute class {0,1}

@data
0.038991,-0.096189,0
0.027945,-0.078947,0
0.015606,-0.084392,0
0.051898,-0.094374,0
0.054753,-0.096189,0
0.054849,-0.094374,0
0.047254,-0.088929,0
0.017904,-0.087114,0
0.040133,-0.07804,0
0.039899,-0.060799,0
0.039836,-0.078947,0
0.04196,-0.090744,0
0.019383,-0.079855,0
0.091351,-0.097096,0
0.091655,-0.093466,0
0.022935,-0.07804,0
0.03634,-0.090744,0
0.055782,-0.10617,0
0.03866,-0.084392,0
0.029096,-0.079855,0
0.076002,-0.087114,0
0.078309,-0.080762,0
0.050236,-0.098911,0
0.037444,-0.092559,0
0.031094,-0.084392,0
0.049809,-0.095281,0
0.044681,-0.088929,0
0.010665,-0.083485,0
0.033145,-0.089837,0
0.071073,-0.10073,0
0.063133,-0.096189,0
0.02034,-0.068966,0
0.033191,-0.082577,0
0.057668,-0.10708,0
0.042065,-0.098004,0
0.033477,-0.093466,0
0.06442,-0.10254,0
0.067436,-0.10799,0
0.047023,-0.10163,0
0.049505,-0.096189,0
0.04846,-0.10073,0
0.053083,-0.10799,0
0.046808,-0.096189,0
0.016122,-0.083485,0
0.029366,-0.097096,0
0.044663,-0.098911,0
0.064697,-0.096189,0
0.085172,-0.10799,0
0.059331,-0.10163,0
0.01458,-0.099819,0
0.030829,-0.10617,0
0.059102,-0.099819,0
0.055889,-0.098911,0
0.047268,-0.10617,0
0.073377,-0.10708,0
0.081662,-0.10799,0
0.058647,-0.10254,0
0.025023,-0.090744,0
0.009964,-0.092559,0
0.039324,-0.10436,0
0.057268,-0.10617,0
0.042466,-0.090744,0
0.026341,-0.094374,0
0.055648,-0.1098,0
0.066277,-0.10436,0
0.055635,-0.096189,0
0.041935,-0.10254,0
