@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3,5-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy_min numeric
@attribute class {0,1}

@data
2929.9,-0.91231,1
3022.5,-1.011,1
3192.8,-0.90925,1
3054.5,-0.95858,1
3529,-0.86469,1
3372.8,-0.89609,1
3153.8,-0.8983,1
3526.8,-0.94059,1
3086.5,-1.0501,1
3004.6,-1.0889,1
2980.6,-1.1502,1
2656.3,-1.2507,1
3085.7,-1.3313,1
3435.3,-1.4583,1
2509.8,-1.4125,1
1961.5,-1.2265,1
1369.6,-1.0451,1
1172.1,-1.0395,1
429.04,-0.51654,1
101.33,-0.007731,1
27.527,-0.038167,1
4.8003,-0.12653,1
28.758,-0.096244,1
0,-0.32079,0
40.387,-0.12317,0
66.013,-0.63465,0
54.497,-0.65124,0
6.296,-0.38553,0
0,-0.32767,0
31.23,-0.50065,0
37.875,-0.476,0
12.022,-0.10627,0
14.09,-0.15282,0
1.081,-0.082524,0
44.3,0,0
64.424,-0.39217,0
26.545,-0.3828,0
3.2721,-0.23507,0
33.946,-0.14268,0
5.9863,-0.40044,0
28.545,-0.50879,0
18.98,-0.52815,0
27.775,-0.3804,0
0.51975,-0.55839,0
3.5924,-0.43384,0
15.105,-0.39514,0
14.379,-0.44456,0
3.1429,-0.28889,0
13.779,-0.35294,1
662.42,-0.65447,1
826.36,-0.72984,1
1196.7,-0.59697,1
1215,-0.55096,1
1425.4,-0.60052,1
1410.5,-0.65592,1
1626.2,-0.58467,1
1699.1,-0.73191,1
1650.6,-0.68436,1
1710,-0.73662,1
1804.8,-0.62121,1
1680.8,-0.66072,1
1808.8,-0.74464,1
1899,-0.66524,1
1749.7,-0.71456,1
1720.3,-0.71413,1
1612.6,-0.65234,1
1548.1,-0.75425,1
1574.5,-0.61443,1
1716.6,-0.7184,1
1683.1,-0.59935,1
1612.9,-0.46412,1
1314.4,-0.62776,1
1479.7,-0.62776,1
1344.1,-0.61649,1
1190.2,-0.49643,1
1264.1,-0.54319,1
1293,-0.52956,1
1155.6,-0.4899,1
1221.4,-0.55075,1
1359.7,-0.56848,1
1403.3,-0.59642,1
1368.5,-0.60135,1
1385.3,-0.57572,1
1303.9,-0.61565,1
1375.6,-0.5906,1
1460.7,-0.6951,1
1494.4,-0.67719,1
1510.2,-0.69105,1
1533.8,-0.68923,1
1540.7,-0.74806,1
1476.6,-0.73551,1
1502.8,-0.64112,1
1266,-0.58348,1
1075.8,-0.53342,1
1103.8,-0.59837,1
1219.5,-0.67534,1
1213,-0.66039,1
1097.9,-0.54112,1
1220.3,-0.62571,1
1062,-0.76145,1
1149.7,-0.79495,1
1175.1,-0.86914,1
1298.7,-0.81403,1
1203.6,-0.78946,1
1303.1,-0.85511,1
1437.7,-0.8133,1
1396.3,-0.83681,1
1451.5,-0.8348,1
1625.2,-0.92202,1
1816.7,-0.84474,1
1857.3,-0.85809,1
1888.2,-0.80411,1
1832.8,-1.0502,1
1755.6,-1.0471,1
1697.2,-0.96892,1
1797.7,-0.96774,1
1883.1,-1.0366,1
2102.1,-1.0726,1
2053.6,-0.95602,1
1940.3,-1.0011,1
2053,-0.85906,1
2050.3,-0.96098,1
2048.8,-0.91974,1
2028.4,-0.92287,1
2145.4,-0.93259,1
1997.6,-0.91967,1
1883.4,-0.99664,1
1912.6,-1.0338,1
1813.9,-0.89896,1
1906,-0.8886,1
1856.5,-0.89239,1
1662.7,-1.0305,1
1738.3,-0.9524,1
1542.4,-0.88543,1
1399.6,-0.84411,1
1379.1,-0.9123,1
1208.7,-0.67635,1
1288.4,-0.75767,1
1398.5,-0.84392,1
1380.6,-0.89981,1
1325.3,-0.85735,1
743.85,-0.70987,1
737.65,-0.69092,1
709.65,-0.63077,1
474.93,-0.57385,1
578.09,-0.55761,1
730,-0.60915,1
681.97,-0.64941,1
383.92,-0.60206,1
718.65,-0.78739,1
634.28,-0.84063,1
457.68,-0.68402,1
594.49,-0.8095,1
465.53,-0.86944,1
432.83,-1.0536,1
185.11,-0.95127,1
7.2617,-0.38673,1
32.086,-0.63454,1
82.063,-0.71111,1
2.2225,-0.47309,1
41.903,-0.54016,1
3.34,-0.40605,1
44.788,-0.72399,0
155.67,-1.0459,0
33.838,-0.57473,0
10.632,-0.53565,0
91.112,-0.81559,0
138.89,-0.95683,0
35.518,-0.25205,0
45.691,-0.1921,0
18.213,-0.56096,0
29.963,-0.34866,0
25.817,-0.3438,0
10.966,-0.46307,0
33.331,-0.71662,0
12.245,-0.38299,0
55.603,-0.13017,0
7.1325,-0.43519,0
26.441,-0.3488,0
35.805,-0.20165,0
7.9663,-0.32019,0
3.367,-0.38613,0
23.749,-0.30947,0
23.9,-0.27038,0
20.812,-0.54439,0
29.565,-0.29271,0
79.668,-0.72243,0
16.987,-0.353,0
72.503,-0.61923,0
85.092,-0.55016,0
51.247,-0.016059,0
51.08,0,0
47.631,0,0
0.83739,-0.23323,0
36.693,-0.38101,0
62.712,-0.027828,0
40.311,-0.1455,0
10.878,-0.36904,0
30.468,-0.17947,0
30.512,-0.25453,0
67.017,-0.041866,0
52.932,-0.16924,0
65.539,-0.020611,0
0,-0.21939,0
44.391,-0.005761,0
56.567,0,0
8.531,-0.24229,0
49.101,-0.24017,0
11.576,0,0
85.762,-0.098438,0
164.94,-0.35841,0
91.573,-0.27864,0
19.079,0,0
14.78,0,0
3.3702,-0.11068,0
63.535,-0.24276,0
16.63,-0.14024,0
19.119,0,0
5.868,-0.12672,0
84.547,-0.12117,0
78.714,0,0
265.62,-0.1206,0
194.63,-0.028852,0
196.06,-0.10645,0
