@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-5'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency_min numeric
@attribute class {0,1}

@data
1816.7,452.2,1
1857.3,452.2,1
1888.2,452.2,1
1832.8,452.2,1
1755.6,452.2,1
1697.2,452.2,1
1797.7,473.73,1
1883.1,473.73,1
2102.1,473.73,1
2053.6,473.73,1
1940.3,473.73,1
2053,473.73,1
2050.3,473.73,1
2048.8,473.73,1
2028.4,473.73,1
2145.4,473.73,1
1997.6,452.2,1
1883.4,452.2,1
1912.6,452.2,1
1813.9,452.2,1
1906,452.2,1
1856.5,452.2,1
1662.7,452.2,1
1738.3,430.66,1
1542.4,430.66,1
1399.6,430.66,1
1379.1,43.066,1
1208.7,0,1
1288.4,775.2,1
1398.5,732.13,1
1380.6,710.6,1
1325.3,689.06,1
743.85,667.53,1
737.65,667.53,1
709.65,710.6,1
474.93,0,1
578.09,43.066,1
730,43.066,1
681.97,0,1
383.92,21.533,1
718.65,689.06,1
634.28,43.066,1
457.68,0,1
594.49,43.066,1
465.53,473.73,1
432.83,21.533,1
185.11,0,1
7.2617,21.533,1
32.086,43.066,1
82.063,0,1
2.2225,0,1
41.903,43.066,1
3.34,43.066,1
44.788,0,0
155.67,0,0
33.838,43.066,0
10.632,21.533,0
91.112,0,0
138.89,21.533,0
35.518,43.066,0
45.691,21.533,0
18.213,21.533,0
29.963,21.533,0
25.817,43.066,0
10.966,0,0
33.331,21.533,0
12.245,43.066,0
55.603,21.533,0
7.1325,0,0
26.441,0,0
35.805,43.066,0
7.9663,43.066,0
3.367,21.533,0
23.749,0,0
23.9,43.066,0
20.812,21.533,0
29.565,21.533,0
79.668,0,0
16.987,43.066,0
72.503,21.533,0
85.092,0,0
51.247,21.533,0
51.08,43.066,0
47.631,21.533,0
0.83739,0,0
36.693,21.533,0
62.712,43.066,0
40.311,21.533,0
10.878,0,0
30.468,43.066,0
30.512,21.533,0
67.017,21.533,0
52.932,0,0
65.539,43.066,0
0,21.533,0
44.391,0,0
56.567,43.066,0
8.531,21.533,0
49.101,21.533,0
11.576,0,0
85.762,43.066,0
164.94,43.066,0
91.573,0,0
19.079,0,0
14.78,21.533,0
3.3702,43.066,0
63.535,0,0
16.63,0,0
19.119,43.066,0
5.868,43.066,0
84.547,0,0
78.714,21.533,0
265.62,43.066,0
194.63,43.066,0
196.06,0,0
309.95,0,0
258.32,43.066,0
229.84,21.533,0
199.6,0,0
234.84,21.533,0
125.76,43.066,0
65.8,21.533,0
13.25,0,0
28.749,0,0
14.23,43.066,0
19.63,0,0
19.724,21.533,0
47.468,21.533,0
4.6477,0,0
18.811,64.6,0
77.27,0,0
20.628,64.6,0
39.673,43.066,0
1.2768,0,0
128.13,21.533,0
16.824,150.73,0
64.328,43.066,0
16.756,0,0
21.316,43.066,0
14.366,43.066,0
61.837,0,0
16.234,150.73,0
52.834,0,0
11.646,43.066,0
212.65,0,0
36.97,43.066,0
10.053,43.066,0
12.276,21.533,0
72.77,21.533,0
29.463,0,0
30.532,43.066,0
96.149,43.066,0
7.2222,0,0
23.711,43.066,0
8.6259,43.066,0
39.723,43.066,0
53.528,0,0
22.684,21.533,0
148.32,43.066,0
2.6965,21.533,0
122.41,0,0
14.645,43.066,0
20.027,43.066,0
156.77,0,0
32.257,0,0
71.579,43.066,0
9.5178,43.066,0
8.0997,0,0
3.5274,43.066,0
37.032,21.533,0
7.9279,43.066,0
10.251,43.066,0
8.6875,0,0
25.104,21.533,0
15.837,21.533,0
5.8181,0,0
9.1926,21.533,0
35.597,43.066,0
6.8363,0,0
34.324,21.533,0
17.389,43.066,0
16.547,43.066,0
5.0062,0,0
11.287,0,0
44.608,43.066,0
12.009,21.533,0
2.3708,21.533,0
49.707,0,0
69.371,43.066,0
24.212,43.066,0
8.3292,21.533,0
