@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2553.8,2308,4.4337,0.78953,495.26,366.06,1.5732,1.5265,2,15,1
2738.1,2492.3,4.4375,0.7858,495.26,366.06,1.5656,1.5189,2,15,1
2944.9,2699.1,4.4177,0.80552,495.26,366.06,1.5618,1.5151,2,15,1
2991.9,2746,4.5918,0.63144,495.26,366.06,1.4857,1.4391,2,15,1
2565.2,2319.3,4.6309,0.59231,495.26,366.06,1.3481,1.3015,2,15,1
2930.2,2684.3,4.62,0.60322,495.26,366.06,1.4329,1.3863,2,15,1
2900.1,2654.2,4.6345,0.58877,495.26,366.06,1.3803,1.3336,2,15,1
2960,2714.1,4.6689,0.55436,495.26,366.06,1.3264,1.2797,2,15,1
3138.6,2892.7,4.6196,0.60365,473.73,344.53,1.4111,1.3644,2,15,1
3216,2970.1,4.5457,0.67751,473.73,344.53,1.469,1.4223,2,15,1
2846.5,2600.7,4.6169,0.60635,473.73,344.53,1.4457,1.399,2,15,1
2780.1,2534.3,4.5855,0.63776,473.73,344.53,1.4329,1.3862,2,15,1
2682.5,2436.6,4.6408,0.58248,473.73,344.53,1.2552,1.2085,2,15,1
4165,3919.1,4.9343,0.28898,452.2,323,0.73738,0.6907,3,14,1
6170.4,5924.5,4.8411,0.38218,473.73,344.53,0.47615,0.42947,4,13,1
4878.6,4632.8,4.8481,0.37514,452.2,323,0.85531,0.80863,3,14,1
8303.6,8057.8,4.821,0.40225,452.2,323,0.89758,0.8509,2,15,1
7573.8,7327.9,4.8637,0.35956,258.4,129.2,0.28174,0.23506,4,13,1
7815.9,7570,4.7009,0.52235,430.66,301.46,0.25338,0.20669,4,13,1
7006.6,6760.7,4.6821,0.54116,258.4,129.2,0.11352,0.066843,2,15,1
6432,6186.1,4.6904,0.53282,258.4,129.2,0.48937,0.44269,1,16,1
6096.2,5850.3,4.6031,0.62012,301.46,172.27,0.40741,0.36073,3,14,1
4894,4648.1,4.7373,0.48591,732.13,602.93,0.51994,0.47326,3,14,1
5070.3,4824.4,4.616,0.60729,430.66,301.46,0.65882,0.61214,2,15,1
4226.3,3980.4,4.4982,0.7251,430.66,301.46,0.78445,0.73777,2,15,1
3879.2,3633.3,5.012,0.21129,107.67,0,0.2439,0.19722,7,10,1
4079.6,3833.7,5.0898,0.13342,107.67,0,0.25236,0.20568,9,8,1
2377.8,2131.9,4.9735,0.24974,86.133,0,0.21047,0.16379,5,12,1
2668.9,2423,4.7737,0.44952,86.133,0,0.1135,0.066819,5,12,1
2268.4,2022.5,4.674,0.54928,107.67,21.533,0.14189,0.095208,1,16,1
1749.8,1503.9,4.8352,0.38801,107.67,21.533,0.09136,0.044678,6,11,1
