@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.22182,0.1636,0.041742,0.045372,0.027828,0.013165,104,1
0.23379,0.17557,0.029038,0.058076,0.026659,0.011996,100,1
0.24957,0.19135,0.019964,0.067151,0.031753,0.01709,79,1
0.20686,0.14864,0.029946,0.057169,0.02514,0.010477,58,1
0.17777,0.11956,0.03176,0.055354,0.021705,0.0070422,129,1
0.21337,0.15516,0.026316,0.060799,0.02396,0.0092973,89,1
0.21095,0.15273,0.028131,0.058984,0.02073,0.0060672,71,1
0.21216,0.15394,0.055354,0.03176,0.051863,0.0372,105,1
0.22761,0.1694,0.075318,0.011797,0.042869,0.028206,62,1
0.22586,0.16764,0.049002,0.038113,0.038307,0.023643,129,1
0.22126,0.16304,0.043557,0.043557,0.039051,0.024388,67,1
0.21018,0.15196,0.043557,0.043557,0.035051,0.020388,74,1
0.18751,0.1293,0.032668,0.054446,0.039125,0.024461,103,1
0.12706,0.068843,0.046279,0.040835,0.03789,0.023227,102,1
0.09912,0.040902,0.062613,0.024501,0.025083,0.01042,66,1
0.10979,0.051571,0.04265,0.044465,0.022922,0.0082586,95,1
0.1136,0.055379,0.024501,0.062613,0.0326,0.017937,70,1
0.099355,0.041137,0.043557,0.043557,0.023673,0.0090095,33,1
0.080206,0.021989,0.048094,0.03902,0.025555,0.010891,191,0
0.068927,0.01071,0.041742,0.045372,0.019633,0.0049699,28,0
0.058401,0.00018353,0.045372,0.041742,0.021748,0.0070849,98,0
0.057256,0,0.045372,0.041742,0.017957,0.003294,105,0
0.059673,0.0024166,0.040835,0.046279,0.016843,0.00218,161,0
0.056333,0,0.029038,0.058076,0.014074,0,146,0
0.049991,0,0.025408,0.061706,0.015841,0.0017673,23,0
0.045485,0,0.034483,0.052632,0.020201,0.0061273,68,0
0.049019,0.0035338,0.038113,0.049002,0.015624,0.0015499,77,0
0.04193,0,0.045372,0.041742,0.014867,0.00079301,118,0
0.031241,0,0.048094,0.03902,0.013112,0,123,0
0.035206,0.0039653,0.045372,0.041742,0.010079,0,131,0
0.035214,0.0039728,0.044465,0.04265,0.014885,0.0048061,50,0
0.033634,0.0023937,0.049002,0.038113,0.013918,0.0038388,142,0
0.034515,0.0032743,0.050817,0.036298,0.014831,0.0047517,79,0
0.035657,0.0044165,0.043557,0.043557,0.018962,0.0088826,67,0
0.036783,0.0055423,0.045372,0.041742,0.017049,0.0069695,81,0
0.032765,0.0015244,0.056261,0.030853,0.0147,0.0046211,54,0
0.032147,0.00090627,0.062613,0.024501,0.015349,0.0052697,179,0
0.041886,0.010645,0.051724,0.03539,0.023943,0.013864,29,0
0.043972,0.012731,0.04265,0.044465,0.022196,0.012117,142,0
0.042806,0.011565,0.04265,0.044465,0.01938,0.0093009,144,0
0.040228,0.0089868,0.056261,0.030853,0.018393,0.0083136,79,0
0.042038,0.010797,0.053539,0.033575,0.012724,0.0026444,48,0
0.044189,0.012948,0.04265,0.044465,0.014413,0.0043338,139,0
0.037889,0.0066487,0.053539,0.033575,0.017243,0.007164,70,0
0.035848,0.0046077,0.057169,0.029946,0.018624,0.0085447,70,0
0.039498,0.0082575,0.051724,0.03539,0.016637,0.0065576,122,0
0.048556,0.017315,0.045372,0.041742,0.024196,0.014117,93,0
0.053635,0.022394,0.043557,0.043557,0.019982,0.0099025,66,0
0.053152,0.021912,0.041742,0.045372,0.021298,0.011219,67,0
0.057834,0.026593,0.055354,0.03176,0.020463,0.010384,137,0
0.066235,0.034994,0.059891,0.027223,0.033322,0.023243,84,0
0.073108,0.041868,0.058076,0.029038,0.027374,0.017295,96,0
0.078676,0.047435,0.059891,0.027223,0.028114,0.018035,32,0
0.0797,0.04846,0.054446,0.032668,0.036335,0.026255,93,0
0.068939,0.037698,0.060799,0.026316,0.024501,0.014422,99,0
0.055375,0.024134,0.066243,0.020871,0.022263,0.012184,95,0
0.052599,0.021358,0.057169,0.029946,0.024319,0.014239,152,0
0.053327,0.022087,0.068058,0.019056,0.024199,0.01412,62,0
0.063728,0.032487,0.068966,0.018149,0.032781,0.022702,95,0
0.074438,0.043197,0.053539,0.033575,0.022589,0.01251,20,0
0.07959,0.04835,0.053539,0.033575,0.025485,0.015406,97,0
0.082199,0.050958,0.051724,0.03539,0.027173,0.017094,34,0
0.084253,0.053012,0.049909,0.037205,0.026131,0.016052,155,0
0.084656,0.053415,0.048094,0.03902,0.018979,0.0088997,161,0
0.092453,0.061213,0.053539,0.033575,0.0263,0.016221,109,0
0.10139,0.07015,0.053539,0.033575,0.028615,0.018536,95,0
0.099295,0.068055,0.043557,0.043557,0.035134,0.025054,85,0
0.098566,0.067325,0.04265,0.044465,0.031299,0.02122,39,0
0.099242,0.068001,0.040835,0.046279,0.027616,0.017537,98,0
0.097868,0.066627,0.038113,0.049002,0.029029,0.01895,13,0
0.10087,0.069634,0.044465,0.04265,0.029639,0.01956,66,0
0.0999,0.068659,0.046279,0.040835,0.031439,0.02136,83,0
0.10291,0.071673,0.047187,0.039927,0.028997,0.018918,40,0
0.10034,0.0691,0.049909,0.037205,0.024234,0.014155,41,0
0.091845,0.060604,0.044465,0.04265,0.022553,0.012474,25,0
0.090582,0.059342,0.043557,0.043557,0.0216,0.011521,32,0
0.086992,0.055751,0.048094,0.03902,0.028103,0.018024,119,0
0.1033,0.072064,0.038113,0.049002,0.025929,0.01585,146,0
0.13051,0.099267,0.029038,0.058076,0.024611,0.014532,72,0
0.1372,0.10596,0.029038,0.058076,0.02483,0.01475,79,0
0.16909,0.13785,0.024501,0.062613,0.030546,0.020467,78,0
0.23268,0.20144,0.025408,0.061706,0.030938,0.020859,64,0
0.27742,0.24618,0.027223,0.059891,0.034875,0.024796,72,0
0.23682,0.20558,0.03176,0.055354,0.026392,0.016313,56,0
0.15217,0.12093,0.036298,0.050817,0.025289,0.01521,97,0
0.1344,0.10316,0.03539,0.051724,0.02135,0.011271,78,0
0.1146,0.083361,0.03902,0.048094,0.02463,0.014551,169,0
0.10952,0.078281,0.036298,0.050817,0.027137,0.017058,68,0
0.11595,0.084711,0.033575,0.053539,0.026611,0.016532,123,0
0.094311,0.06307,0.040835,0.046279,0.025006,0.014927,73,0
0.082456,0.051216,0.043557,0.043557,0.019058,0.0089786,122,0
0.10455,0.07331,0.038113,0.049002,0.021307,0.011228,89,0
0.13197,0.10073,0.03902,0.048094,0.024509,0.01443,80,0
0.13751,0.10627,0.03539,0.051724,0.038398,0.028319,76,0
0.12066,0.089418,0.03176,0.055354,0.026706,0.016627,48,0
0.097386,0.066145,0.046279,0.040835,0.026075,0.015996,117,0
0.099794,0.068553,0.044465,0.04265,0.029512,0.019433,50,0
