@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.064738,0.03539,0.74664,19,1
0.09218,0.03176,0.64186,12,1
0.095248,0.033575,1.1881,13,1
0.10198,0.03539,0.62862,19,1
0.15016,0.033575,1.0919,16,1
0.16617,0.03176,1.1308,20,1
0.14036,0.03539,1.0108,11,1
0.13553,0.038113,1.2291,11,1
0.15127,0.036298,1.3046,15,1
0.16726,0.028131,1.47,40,1
0.16872,0.029946,1.4594,38,1
0.16416,0.038113,1.4591,40,1
0.148,0.040835,1.3522,25,1
0.13275,0.040835,1.3209,23,1
0.1232,0.03902,1.2609,10,1
0.11112,0.038113,1.2399,19,1
0.10889,0.03902,1.2232,17,1
0.11108,0.038113,1.2358,17,1
0.10489,0.040835,1.3396,13,1
0.10484,0.037205,1.3643,13,1
0.11467,0.030853,1.3906,12,1
0.12859,0.028131,1.4523,11,1
0.14077,0.027223,1.5774,11,1
0.13653,0.026316,1.3654,11,1
0.11092,0.024501,1.179,10,1
0.082172,0.029038,1.1143,10,1
0.07491,0.032668,1.2528,13,1
0.073302,0.029946,1.177,14,1
0.072834,0.029946,1.3135,13,1
0.069618,0.030853,1.3051,19,1
0.070939,0.030853,1.1337,18,1
0.081103,0.037205,0.88848,18,1
0.081765,0.036298,1.035,19,1
0.079432,0.036298,1.1502,22,1
0.078277,0.041742,1.1842,15,1
0.073585,0.03902,1.2094,18,1
0.072625,0.034483,1.2786,23,1
0.073135,0.03176,1.2603,18,1
0.074556,0.029946,1.2523,18,1
0.075782,0.027223,1.2283,17,1
0.07533,0.028131,1.3082,23,1
0.077536,0.026316,1.3299,23,1
0.082586,0.022686,1.352,21,1
0.082879,0.023593,1.3872,15,1
0.079926,0.021779,1.3874,10,1
0.077971,0.021779,1.3575,11,1
0.077523,0.023593,1.2732,15,1
0.086361,0.025408,0.73749,26,1
0.10517,0.036298,0.38975,29,1
0.24322,0.034483,0.85986,18,1
0.40106,0.023593,1.5179,10,1
0.46718,0.022686,1.6574,10,1
0.4504,0.022686,1.5241,10,1
0.47734,0.028131,1.2982,10,1
0.55897,0.03176,1.5692,11,1
0.65219,0.029038,1.5861,11,1
0.6925,0.026316,1.631,11,1
0.66463,0.024501,1.5807,11,1
0.62171,0.024501,1.6149,10,1
0.5711,0.024501,1.6032,10,1
