@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
21.28,5.7495,775.2,0.48502,20,19.641,1.4694,689.06,0.22842,13,0
76.066,5.622,775.2,0.53159,25,74.427,1.3418,689.06,0.27499,18,0
7.7272,5.7604,409.13,0.33194,41,6.0883,1.4803,323,0.075335,34,0
137.67,5.5591,775.2,0.7018,20,136.03,1.279,689.06,0.4452,13,0
270.92,5.5271,430.66,0.54463,18,269.28,1.247,344.53,0.28802,11,0
312.7,5.4532,409.13,0.8169,15,311.06,1.173,323,0.5603,8,0
207.34,5.4632,775.2,0.70963,14,205.7,1.1831,689.06,0.45303,7,0
366.14,5.3868,775.2,0.62027,13,364.5,1.1067,689.06,0.36366,6,0
283.32,5.4537,538.33,0.49556,14,281.68,1.1735,452.2,0.23896,7,0
340.27,5.4154,215.33,0.49277,18,338.63,1.1353,129.2,0.23617,11,0
606.81,5.3208,409.13,0.82178,13,605.17,1.0407,323,0.56518,6,0
458.98,5.4036,215.33,0.71922,16,457.34,1.1235,129.2,0.46262,9,0
372.71,5.3195,796.73,0.77073,14,371.07,1.0394,710.6,0.51413,7,0
391.61,5.2425,796.73,0.8395,14,389.97,0.96236,710.6,0.5829,7,0
469.87,5.3218,818.26,0.78291,14,468.23,1.0417,732.13,0.52631,7,0
492.5,5.2772,387.6,0.68803,14,490.86,0.99706,301.46,0.43143,7,0
442.42,5.1498,818.26,0.81006,15,440.78,0.86968,732.13,0.55346,8,0
476.91,5.1844,818.26,0.81551,15,475.27,0.90429,732.13,0.55891,8,0
560.86,5.3609,236.87,0.37629,24,559.22,1.0808,150.73,0.11969,17,0
600.9,5.2683,409.13,0.35825,22,599.27,0.9882,323,0.10165,15,0
337.42,5.3126,818.26,0.37381,22,335.78,1.0325,732.13,0.1172,15,0
471.08,5.2635,409.13,0.32374,26,469.44,0.98343,323,0.067139,19,0
446.67,5.1668,861.33,0.45425,20,445.03,0.88672,775.2,0.19765,13,0
