@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.15,0.076225,1603,5.1171,452.2,0.054462,4,4,1.0098,82,0.1047,0.058076,1530.8,0.83701,323,0.053963,4,4,0.67296,75,1
0.16171,0.072595,1434.6,5.1611,452.2,0.056075,4,4,1.1097,55,0.11641,0.054446,1362.3,0.88097,323,0.055577,4,4,0.77292,48,1
0.16095,0.068966,1694.8,5.1437,452.2,0.064579,4,4,1.242,48,0.11565,0.050817,1622.5,0.86363,323,0.064081,4,4,0.90525,41,1
0.16027,0.066243,1539.1,5.1452,452.2,0.061665,3,4,1.0647,25,0.11497,0.048094,1466.9,0.86512,323,0.061166,3,4,0.72794,18,1
0.1793,0.049909,1678.8,5.085,452.2,0.054684,4,4,1.184,9,0.134,0.03176,1606.6,0.80491,323,0.054185,4,4,0.84718,2,1
0.18945,0.047187,1906.6,5.0448,452.2,0.050727,4,4,1.236,15,0.14415,0.029038,1834.3,0.76468,323,0.050228,4,4,0.89924,8,1
0.19541,0.052632,2021.5,5.0565,452.2,0.061647,3,4,1.0452,16,0.15011,0.034483,1949.2,0.77635,323,0.061148,3,4,0.70836,9,1
0.18833,0.058984,2190.6,5.0591,452.2,0.05283,4,4,0.90612,26,0.14303,0.040835,2118.4,0.77903,323,0.052332,4,4,0.56932,19,1
0.17935,0.065336,1852.1,5.1588,452.2,0.052251,3,4,0.94801,27,0.13405,0.047187,1779.8,0.87872,323,0.051753,3,4,0.61121,20,1
0.17928,0.067151,1800.3,4.9945,473.73,0.054582,3,4,1.2148,13,0.13398,0.049002,1728,0.71435,344.53,0.054084,3,4,0.87799,6,1
0.18595,0.055354,1693,5.0559,473.73,0.054551,2,4,1.2389,11,0.14065,0.037205,1620.7,0.77581,344.53,0.054053,2,4,0.9021,4,1
0.19631,0.046279,1785.4,5.0447,473.73,0.055878,3,4,1.2605,9,0.15101,0.028131,1713.1,0.7646,344.53,0.05538,3,4,0.92373,2,1
0.19043,0.058076,1900.5,5.0317,473.73,0.057004,3,4,1.3462,20,0.14513,0.039927,1828.3,0.75159,344.53,0.056506,3,4,1.0094,13,1
0.19566,0.065336,1983,5.0257,473.73,0.047841,2,12,1.2548,25,0.15036,0.047187,1910.7,0.74556,344.53,0.047343,2,12,0.91803,18,1
0.19847,0.065336,1979.3,5.0266,473.73,0.043179,4,4,1.2472,34,0.15317,0.047187,1907,0.74651,344.53,0.042681,4,4,0.91039,27,1
0.18556,0.065336,1804.3,5.192,452.2,0.062132,3,4,1.1047,23,0.14026,0.047187,1732,0.91185,323,0.061634,3,4,0.76787,16,1
0.17232,0.071688,1683.5,5.1815,452.2,0.064334,3,4,0.98888,24,0.12702,0.053539,1611.2,0.9014,323,0.063836,3,4,0.65208,17,1
0.15692,0.075318,1728.5,5.1941,452.2,0.059731,3,4,0.9031,24,0.11162,0.057169,1656.3,0.91402,323,0.059232,3,4,0.56629,17,1
0.15644,0.063521,1604.4,5.1206,452.2,0.0588,3,4,0.9942,23,0.11115,0.045372,1532.1,0.84044,323,0.058302,3,4,0.6574,16,1
0.16,0.060799,1666,5.1577,452.2,0.052516,3,4,1.0116,22,0.1147,0.04265,1593.7,0.8776,323,0.052018,3,4,0.67482,15,1
0.16126,0.061706,1677.7,5.1592,452.2,0.049755,2,12,0.97815,24,0.11596,0.043557,1605.5,0.87908,323,0.049256,2,12,0.64134,17,1
0.16523,0.067151,1813.3,5.1745,430.66,0.074398,3,4,0.84909,22,0.11993,0.049002,1741,0.8944,301.46,0.0739,3,4,0.51229,15,1
0.16825,0.068058,1894.9,5.1254,452.2,0.071478,1,11,0.86549,18,0.12295,0.049909,1822.7,0.84526,323,0.07098,1,11,0.52869,11,1
0.16452,0.062613,1644.7,5.1561,452.2,0.056371,1,11,0.91432,21,0.11922,0.044465,1572.5,0.87598,323,0.055873,1,11,0.57752,14,1
0.16103,0.064428,1873,5.0313,430.66,0.048769,1,11,1.0142,21,0.11573,0.046279,1800.8,0.75116,301.46,0.048271,1,11,0.67744,14,1
0.16452,0.058076,1718,4.9284,452.2,0.044056,1,12,1.1135,17,0.11922,0.039927,1645.7,0.64829,323,0.043558,1,12,0.7767,10,1
0.16513,0.056261,1516.2,5.1279,452.2,0.042453,2,12,0.98631,22,0.11983,0.038113,1444,0.84777,323,0.041954,2,12,0.64951,15,1
0.16596,0.057169,1907.8,4.9865,452.2,0.046001,3,11,1.0032,39,0.12066,0.03902,1835.6,0.70639,323,0.045502,3,11,0.6664,32,1
0.17543,0.055354,1703.9,4.9049,452.2,0.04994,1,12,1.1788,40,0.13013,0.037205,1631.6,0.62474,323,0.049441,1,12,0.84204,33,1
0.17488,0.060799,1682.6,4.8501,452.2,0.044892,1,12,1.2647,40,0.12958,0.04265,1610.3,0.56997,323,0.044393,1,12,0.92789,33,1
0.17577,0.061706,1626.9,4.7649,452.2,0.044444,2,12,1.2526,40,0.13047,0.043557,1554.6,0.48476,323,0.043945,2,12,0.91576,33,1
