@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.42434,0.034483,0.58862,17,0.37904,0.016334,0.25181,10,1
0.39176,0.03539,0.52436,17,0.34646,0.017241,0.18756,10,1
0.3755,0.032668,0.45971,16,0.3302,0.014519,0.12291,9,1
0.38803,0.029038,0.6219,12,0.34273,0.010889,0.2851,5,1
0.36218,0.03539,0.55564,14,0.31688,0.017241,0.21884,7,1
0.31175,0.037205,0.46143,13,0.26645,0.019056,0.12463,6,1
0.30901,0.025408,0.63061,13,0.26371,0.0072595,0.29381,6,1
0.2788,0.026316,0.64435,8,0.2335,0.008167,0.30755,1,1
0.2266,0.039927,0.41764,25,0.1813,0.021779,0.080839,18,1
0.2139,0.04265,0.30303,28,0.1686,0.024501,0,21,1
0.18093,0.039927,0.39105,29,0.13563,0.021779,0.088026,22,1
0.18501,0.029038,0.30924,15,0.13972,0.010889,0.0062177,8,1
0.20078,0.019964,0.44294,9,0.15548,0.0018149,0.13991,2,1
0.17036,0.026316,0.44064,13,0.12506,0.008167,0.13761,6,1
0.14668,0.033575,0.35317,14,0.10138,0.015426,0.050141,7,1
0.17531,0.029946,0.43318,14,0.13001,0.011797,0.13016,7,1
0.17267,0.026316,0.40908,12,0.12737,0.008167,0.10605,5,1
0.1759,0.049909,0.2566,26,0.1306,0.03176,0,19,1
0.18835,0.068966,0.35309,35,0.14305,0.050817,0.09649,28,1
0.18395,0.047187,0.54349,25,0.13865,0.029038,0.28689,18,1
0.18114,0.033575,0.67218,17,0.13584,0.015426,0.41558,10,1
0.16741,0.034483,0.8453,11,0.12211,0.016334,0.5887,4,1
0.14554,0.030853,0.86976,10,0.10025,0.012704,0.61316,3,1
0.09896,0.045372,0.46593,24,0.05366,0.027223,0.20933,17,1
0.077036,0.064428,0.30778,35,0.031736,0.046279,0.051175,28,1
0.084484,0.043557,0.40453,26,0.039185,0.025408,0.14793,19,1
0.087681,0.024501,0.42961,18,0.042382,0.0063521,0.17301,11,1
0.076878,0.037205,0.40645,19,0.031578,0.019056,0.14985,12,1
0.062149,0.04265,0.49542,18,0.016849,0.024501,0.23882,11,0
0.053445,0.04265,0.68456,16,0.0081453,0.024501,0.42796,9,0
0.045215,0.044465,0.31689,31,0,0.026316,0.060291,24,0
0.044332,0.043557,0.48979,19,0,0.025408,0.23319,12,0
0.046071,0.040835,0.56947,15,0.0017392,0.022686,0.31286,8,0
0.043523,0.029038,0.62229,9,0,0.010889,0.36569,2,0
0.038639,0.025408,0.71007,12,0,0.0072595,0.45347,5,0
0.035128,0.034483,0.40701,20,0,0.016334,0.15041,13,0
0.037851,0.03902,0.50266,15,0.0027222,0.020871,0.24606,8,0
0.032359,0.044465,0.48791,14,0,0.026316,0.23131,7,0
0.024129,0.046279,0.30251,26,0,0.028131,0.04591,19,0
0.027208,0.046279,0.36895,19,0.0030792,0.028131,0.11235,12,0
0.02716,0.044465,0.41064,12,0.0030307,0.026316,0.15404,5,0
0.025947,0.046279,0.29416,19,0.0018182,0.028131,0.037556,12,0
0.026624,0.049909,0.31692,25,0.0024953,0.03176,0.060319,18,0
0.0275,0.045372,0.31743,29,0.0033713,0.027223,0.060826,22,0
0.028416,0.047187,0.52536,22,0.0042875,0.029038,0.26876,15,0
0.025329,0.057169,0.38283,29,0.0012004,0.03902,0.12623,22,0
0.024801,0.061706,0.2943,37,0.00067193,0.043557,0.037695,30,0
0.032326,0.050817,0.47495,25,0.008197,0.032668,0.21835,18,0
0.033961,0.043557,0.46263,22,0.0098323,0.025408,0.20603,15,0
0.033056,0.04265,0.51553,22,0.0089267,0.024501,0.25893,15,0
0.031049,0.055354,0.54855,17,0.0069203,0.037205,0.29195,10,0
0.032435,0.054446,0.52892,17,0.0083064,0.036298,0.27232,10,0
0.034098,0.043557,0.40987,13,0.0099685,0.025408,0.15327,6,0
0.029225,0.054446,0.41745,18,0.0050963,0.036298,0.16085,11,0
0.027638,0.057169,0.32427,26,0.0035091,0.03902,0.067665,19,0
0.030465,0.050817,0.26365,32,0.0063362,0.032668,0.0070441,25,0
0.037486,0.045372,0.53228,22,0.013357,0.027223,0.27568,15,0
0.041381,0.04265,0.71496,12,0.017252,0.024501,0.45836,5,0
0.040967,0.041742,0.46802,19,0.016838,0.023593,0.21142,12,0
0.044618,0.056261,0.46332,19,0.020489,0.038113,0.20672,12,0
0.051104,0.059891,0.67788,22,0.026975,0.041742,0.42128,15,0
0.056406,0.058076,0.78319,22,0.032277,0.039927,0.52659,15,0
0.060722,0.059891,0.97971,14,0.036593,0.041742,0.72311,7,0
0.061491,0.054446,0.84779,15,0.037362,0.036298,0.59119,8,0
0.053188,0.060799,0.66521,18,0.029059,0.04265,0.40861,11,0
0.042736,0.067151,0.48502,20,0.018607,0.049002,0.22842,13,0
0.040581,0.058076,0.53159,25,0.016452,0.039927,0.27499,18,0
0.041157,0.069873,0.33194,41,0.017028,0.051724,0.075335,34,0
0.049187,0.071688,0.7018,20,0.025058,0.053539,0.4452,13,0
0.057431,0.054446,0.54463,18,0.033302,0.036298,0.28802,11,0
0.061382,0.050817,0.8169,15,0.037253,0.032668,0.5603,8,0
0.063413,0.049002,0.70963,14,0.039284,0.030853,0.45303,7,0
0.065029,0.049002,0.62027,13,0.0409,0.030853,0.36366,6,0
0.065332,0.047187,0.49556,14,0.041203,0.029038,0.23896,7,0
0.07134,0.053539,0.49277,18,0.047211,0.03539,0.23617,11,0
0.078244,0.054446,0.82178,13,0.054115,0.036298,0.56518,6,0
0.076636,0.046279,0.71922,16,0.052507,0.028131,0.46262,9,0
0.076082,0.044465,0.77073,14,0.051953,0.026316,0.51413,7,0
0.076612,0.040835,0.8395,14,0.052483,0.022686,0.5829,7,0
0.075487,0.037205,0.78291,14,0.051358,0.019056,0.52631,7,0
0.077823,0.043557,0.68803,14,0.053694,0.025408,0.43143,7,0
0.077156,0.045372,0.81006,15,0.053027,0.027223,0.55346,8,0
0.079438,0.046279,0.81551,15,0.055309,0.028131,0.55891,8,0
0.0775,0.048094,0.37629,24,0.053371,0.029946,0.11969,17,0
0.070963,0.04265,0.35825,22,0.046834,0.024501,0.10165,15,0
0.069913,0.043557,0.37381,22,0.045784,0.025408,0.1172,15,0
0.067156,0.048094,0.32374,26,0.043027,0.029946,0.067139,19,0
0.079744,0.038113,0.45425,20,0.055615,0.019964,0.19765,13,0
0.10068,0.029038,0.66494,10,0.076552,0.010889,0.40834,3,0
0.10582,0.029038,0.64832,8,0.081687,0.010889,0.39171,1,0
0.13047,0.024501,0.46486,9,0.10634,0.0063521,0.20826,2,0
0.17979,0.025408,0.7457,10,0.15566,0.0072595,0.4891,3,0
0.21538,0.027223,0.79786,10,0.19125,0.0090744,0.54126,3,0
0.18404,0.03176,0.59108,11,0.15991,0.013612,0.33448,4,0
0.11745,0.036298,0.35692,17,0.093317,0.018149,0.10032,10,0
0.10375,0.03539,0.579,11,0.079616,0.017241,0.3224,4,0
0.088458,0.03902,0.5945,14,0.064329,0.020871,0.3379,7,0
0.084514,0.036298,0.3485,19,0.060385,0.018149,0.091896,12,0
0.089476,0.033575,0.44225,14,0.065347,0.015426,0.18565,7,0
0.072776,0.040835,0.41704,15,0.048647,0.022686,0.16044,8,0
0.063586,0.044465,0.48902,20,0.039457,0.026316,0.23241,13,0
0.080707,0.040835,0.62176,10,0.056578,0.022686,0.36516,3,0
0.10189,0.041742,0.5947,9,0.077765,0.023593,0.3381,2,0
0.10612,0.036298,0.94953,8,0.081987,0.018149,0.69293,1,0
0.093063,0.03176,0.7401,8,0.068934,0.013612,0.4835,1,0
0.075103,0.045372,0.41627,14,0.050974,0.027223,0.15967,7,0
0.076991,0.043557,0.55716,12,0.052862,0.025408,0.30056,5,0
0.083161,0.036298,0.52753,13,0.059032,0.018149,0.27093,6,0
0.084231,0.045372,0.49039,15,0.060102,0.027223,0.23379,8,0
0.087637,0.049909,0.37751,18,0.063508,0.03176,0.1209,11,0
0.094409,0.047187,0.52716,22,0.07028,0.029038,0.27056,15,0
0.10194,0.051724,0.75331,15,0.077807,0.033575,0.49671,8,0
0.087345,0.059891,0.58308,20,0.063216,0.041742,0.32647,13,0
0.083341,0.056261,0.76521,21,0.059212,0.038113,0.50861,14,0
0.098782,0.046279,0.55202,16,0.074653,0.028131,0.29542,9,0
0.099821,0.04265,0.84287,12,0.075692,0.024501,0.58627,5,0
0.083442,0.053539,0.44891,18,0.059313,0.03539,0.1923,11,0
0.069086,0.057169,0.466,14,0.044957,0.03902,0.2094,7,0
0.064929,0.061706,0.56622,24,0.0408,0.043557,0.30962,17,0
0.058517,0.066243,0.62921,25,0.034388,0.048094,0.37261,18,0
0.051675,0.068058,0.44025,29,0.027546,0.049909,0.18365,22,0
0.051658,0.075318,0.4492,37,0.027529,0.057169,0.1926,30,0
0.066063,0.051724,0.40573,16,0.041934,0.033575,0.14913,9,0
0.076006,0.03176,0.57263,17,0.051877,0.013612,0.31603,10,0
0.073159,0.03902,0.60646,16,0.04903,0.020871,0.34986,9,0
0.075218,0.049909,0.43208,21,0.051089,0.03176,0.17548,14,0
0.074371,0.065336,0.5085,33,0.050242,0.047187,0.2519,26,0
0.069592,0.062613,0.44892,28,0.045463,0.044465,0.19232,21,0
0.073046,0.053539,0.4957,24,0.048917,0.03539,0.2391,17,0
0.064203,0.056261,0.54215,35,0.040074,0.038113,0.28555,28,0
0.053755,0.049002,0.51429,23,0.029626,0.030853,0.25769,16,0
0.057696,0.04265,0.52183,11,0.033567,0.024501,0.26523,4,0
0.065913,0.032668,0.7089,7,0.041784,0.014519,0.4523,0,0
0.061645,0.029946,0.59588,8,0.037516,0.011797,0.33928,1,0
0.046806,0.036298,0.4448,11,0.022677,0.016334,0.1882,4,0
0.040432,0.049002,0.25002,29,0.016303,0.029038,0,22,0
0.039136,0.057169,0.28774,35,0.015007,0.037205,0.037717,28,0
0.041312,0.054446,0.40544,31,0.017183,0.034483,0.15541,24,0
0.034828,0.073503,0.3586,29,0.010699,0.053539,0.10858,22,0
0.030693,0.077132,0.33533,41,0.006564,0.057169,0.085308,34,0
0.033357,0.061706,0.28503,28,0.0092284,0.041742,0.035007,21,0
0.031373,0.067151,0.38742,26,0.0072437,0.047187,0.1374,19,0
0.035054,0.062613,0.29037,34,0.010925,0.04265,0.040348,27,0
0.040713,0.048094,0.38425,22,0.016584,0.028131,0.13423,15,0
0.044361,0.041742,0.42607,16,0.020232,0.021779,0.17605,9,0
0.060275,0.041742,0.86692,17,0.036146,0.021779,0.61689,10,0
0.06367,0.04265,0.71922,17,0.039541,0.022686,0.46919,10,0
0.053179,0.040835,0.47066,16,0.02905,0.020871,0.22064,9,0
0.055817,0.041742,0.62835,20,0.031688,0.021779,0.37833,13,0
0.055719,0.041742,0.61378,15,0.03159,0.021779,0.36375,8,0
0.047433,0.044465,0.50086,13,0.023304,0.024501,0.25084,6,0
0.054388,0.045372,0.4305,24,0.030259,0.025408,0.18048,17,0
0.051699,0.049002,0.34914,31,0.02757,0.029038,0.099115,24,0
0.037665,0.061706,0.45306,27,0.013536,0.041742,0.20304,20,0
