@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1.346,9,1.1016,2,1
1.4717,9,1.2273,2,1
1.4921,9,1.2476,2,1
1.4819,9,1.2375,2,1
1.55,9,1.3056,2,1
1.4405,9,1.1961,2,1
1.5076,9,1.2632,2,1
1.4798,9,1.2353,2,1
1.6024,9,1.3579,2,1
1.5862,9,1.3418,2,1
1.5812,9,1.3368,2,1
1.5672,9,1.3228,2,1
1.5662,9,1.3217,2,1
1.4652,8,1.2208,1,1
1.4024,8,1.158,1,1
1.0232,12,0.77872,5,1
0.53823,35,0.29381,28,1
0.48621,26,0.24179,19,1
0.41664,29,0.17221,22,1
0.4274,29,0.18298,22,0
0.27412,38,0.029698,31,0
0.33852,35,0.094094,28,0
0.33745,36,0.093025,29,0
0.26102,42,0.016596,35,0
0.34934,34,0.10492,27,0
0.356,45,0.11157,38,0
0.34748,47,0.10305,40,0
0.34167,33,0.097245,26,0
0.38607,34,0.14165,27,0
0.38303,31,0.13861,24,0
0.43181,20,0.18738,13,0
0.36124,31,0.11681,24,0
0.36542,24,0.12099,17,0
0.41123,21,0.1668,14,0
0.34505,25,0.10063,18,0
0.30593,29,0.061502,22,0
0.28051,21,0.036083,14,0
0.39829,24,0.15386,17,0
0.26293,38,0.018499,31,0
0.33149,38,0.087063,31,0
0.38545,40,0.14103,33,0
0.45825,27,0.21383,20,0
0.17379,38,0,31,0
0.3732,35,0.19941,28,0
0.36858,35,0.19479,28,0
0.33901,37,0.16522,30,0
0.41426,27,0.24047,20,0
0.61779,26,0.444,19,0
0.34555,57,0.17176,50,0
0.32195,67,0.14816,60,0
0.2502,60,0.076406,53,0
0.39691,50,0.22312,43,0
0.41185,40,0.23806,33,0
0.36927,27,0.19548,20,0
0.44598,24,0.27219,17,0
0.77202,18,0.59823,11,0
1.0807,13,0.90694,6,0
0.85143,13,0.67764,6,0
0.68761,13,0.51382,6,0
1.1645,14,0.99073,7,0
1.264,12,1.0902,5,0
0.94687,13,0.77308,6,0
0.85621,20,0.68242,13,0
0.67587,15,0.50208,8,0
0.31169,32,0.1379,25,0
0.30475,51,0.13096,44,0
0.25947,59,0.085675,52,0
0.7616,25,0.58781,18,0
0.66434,19,0.49055,12,0
0.33653,35,0.16274,28,0
0.32566,35,0.15187,27,1
0.34256,37,0.16877,29,1
0.67825,25,0.50446,17,1
1.304,10,1.1302,2,1
0.82724,11,0.65345,3,1
0.56101,11,0.38722,3,1
0.5555,11,0.38171,3,1
0.96565,10,0.79186,2,1
1.2981,11,1.1243,3,1
1.3351,10,1.1613,2,1
1.0439,27,0.87014,19,1
0.63805,51,0.46426,43,1
0.57937,36,0.40557,28,1
0.64694,24,0.47315,16,1
0.37344,41,0.19964,33,1
0.31124,43,0.13745,35,1
0.27988,44,0.10609,36,1
0.42211,45,0.24831,37,0
0.79177,16,0.61798,8,0
0.3812,45,0.20741,37,0
0.42431,47,0.25052,39,0
0.35691,43,0.18312,35,0
0.257,40,0.083213,32,0
0.29807,51,0.12427,43,0
0.28034,45,0.10655,37,0
0.43697,41,0.26318,33,0
0.52999,36,0.3562,28,0
0.54815,33,0.37436,25,0
0.65021,15,0.47642,7,0
1.2905,9,1.1167,1,0
1.3294,9,1.1557,1,0
1.0313,10,0.85754,2,0
1.1732,9,0.99945,1,0
1.1229,11,0.94914,3,0
1.1154,10,0.94163,2,0
