@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1811,4.9707,452.2,0.063611,3,4,1750,0.93819,366.06,0.0628,3,4,1
1632.9,4.9707,452.2,0.057173,3,4,1571.9,0.93823,366.06,0.056362,3,4,1
1669.9,4.879,452.2,0.044388,4,4,1608.9,0.84648,366.06,0.043577,4,4,1
1783.1,4.8473,452.2,0.051174,3,4,1722.1,0.81481,366.06,0.050363,3,4,1
1719.3,4.7878,452.2,0.049968,3,4,1658.3,0.75533,366.06,0.049158,3,4,1
1673.5,4.8955,452.2,0.062787,4,4,1612.5,0.863,366.06,0.061977,4,4,1
1645.3,4.8012,452.2,0.054515,3,4,1584.3,0.76876,366.06,0.053705,3,4,1
1626.9,4.6562,452.2,0.045489,3,4,1565.9,0.62376,366.06,0.044678,3,4,1
1619.8,4.6164,452.2,0.042064,4,4,1558.8,0.5839,366.06,0.041254,4,4,1
1680.6,4.4394,452.2,0.035876,3,4,1619.6,0.40695,366.06,0.035065,3,4,1
1727.9,4.5717,452.2,0.036256,4,4,1666.9,0.53926,366.06,0.035446,4,4,1
1752.2,4.5351,452.2,0.040238,4,4,1691.2,0.50266,366.06,0.039428,4,4,1
1730.1,4.4214,452.2,0.034356,1,12,1669.1,0.3889,366.06,0.033545,1,12,1
1816.8,4.4611,452.2,0.035893,1,12,1755.8,0.42861,366.06,0.035083,1,12,1
1816.9,4.356,452.2,0.03578,3,4,1755.9,0.32348,366.06,0.03497,3,4,1
1938.2,4.4909,452.2,0.042396,3,13,1877.2,0.45837,366.06,0.041586,3,13,1
2142.6,4.4426,473.73,0.045374,2,13,2081.7,0.41007,387.6,0.044564,2,13,1
2286.1,4.604,473.73,0.05759,3,4,2225.1,0.57148,387.6,0.056779,3,4,1
2478.1,4.6434,473.73,0.061284,3,4,2417.1,0.6109,387.6,0.060474,3,4,1
2487.1,4.8158,473.73,0.065037,4,4,2426.2,0.7833,387.6,0.064226,4,4,1
2441.3,4.3709,473.73,0.05337,3,4,2380.3,0.33838,387.6,0.05256,3,4,1
2402.4,4.3996,473.73,0.059074,4,4,2341.4,0.36709,387.6,0.058264,4,4,1
2367.9,4.4776,473.73,0.067908,4,4,2306.9,0.44514,387.6,0.067098,4,4,1
2477.3,4.4808,495.26,0.065216,4,4,2416.3,0.44835,409.13,0.064406,4,4,1
2588.8,4.5194,495.26,0.065423,4,4,2527.9,0.48697,409.13,0.064613,4,4,1
2722.9,4.4765,495.26,0.058607,3,5,2661.9,0.44404,409.13,0.057797,3,5,1
2771.9,4.5728,495.26,0.065811,4,4,2710.9,0.54029,409.13,0.065001,4,4,1
2707,4.5364,495.26,0.06211,3,5,2646.1,0.50389,409.13,0.0613,3,5,1
2696.9,4.6476,495.26,0.068274,4,5,2636,0.61517,409.13,0.067464,4,5,1
2701.5,4.6062,495.26,0.064554,4,5,2640.6,0.57368,409.13,0.063744,4,5,1
2814.4,4.6031,495.26,0.067564,4,5,2753.4,0.57066,409.13,0.066753,4,5,1
2756.3,4.6161,495.26,0.062445,4,5,2695.3,0.58359,409.13,0.061634,4,5,1
2718.1,4.6596,495.26,0.062455,4,5,2657.2,0.62715,409.13,0.061645,4,5,1
2643,4.6792,473.73,0.060428,4,5,2582,0.64673,387.6,0.059617,4,5,1
2474.4,4.5218,473.73,0.050547,4,5,2413.4,0.4893,387.6,0.049737,4,5,1
2419.8,4.4929,473.73,0.050091,4,5,2358.9,0.46038,387.6,0.049281,4,5,1
2411.9,4.6505,473.73,0.061305,3,4,2350.9,0.61799,387.6,0.060494,3,4,1
2471,4.7288,473.73,0.063691,2,5,2410.1,0.69632,387.6,0.062881,2,5,1
2496.7,4.724,473.73,0.056059,3,4,2435.7,0.69152,387.6,0.055249,3,4,1
2250.7,4.4028,473.73,0.042735,1,14,2189.7,0.37035,387.6,0.041925,1,14,1
2248.8,4.5456,452.2,0.054352,2,13,2187.8,0.51315,366.06,0.053542,2,13,1
2103.5,4.6198,452.2,0.062726,2,13,2042.5,0.58729,366.06,0.061916,2,13,1
1944.6,4.5692,452.2,0.057258,1,13,1883.6,0.53672,366.06,0.056448,1,13,1
1972.8,4.4798,430.66,0.051153,1,13,1911.8,0.44729,344.53,0.050342,1,13,1
1764.4,4.7398,430.66,0.053221,1,14,1703.5,0.70732,344.53,0.05241,1,14,1
1816.1,4.5948,796.73,0.052709,1,14,1755.1,0.56233,710.6,0.051899,1,14,1
1943.1,4.5786,753.66,0.061396,1,13,1882.1,0.54613,667.53,0.060586,1,13,1
2063.1,4.4476,732.13,0.061384,1,13,2002.1,0.41515,646,0.060573,1,13,1
1859.2,4.505,710.6,0.061531,1,14,1798.2,0.47251,624.46,0.06072,1,14,1
1112.8,4.6473,689.06,0.053657,1,13,1051.8,0.61487,602.93,0.052846,1,13,1
975.93,4.7434,689.06,0.055649,1,13,914.95,0.71092,602.93,0.054839,1,13,1
960.81,4.7413,732.13,0.049416,1,13,899.83,0.70878,646,0.048605,1,13,1
596.76,4.8613,387.6,0.03792,1,13,535.78,0.82884,301.46,0.03711,1,13,1
780.08,4.9004,732.13,0.037193,1,13,719.1,0.8679,646,0.036382,1,13,1
984.94,4.8125,732.13,0.038499,1,13,923.96,0.78,646,0.037689,1,13,1
930.93,4.7151,689.06,0.032158,1,13,869.95,0.68259,602.93,0.031348,1,13,1
535.55,4.765,430.66,0.025314,1,13,474.57,0.73257,344.53,0.024503,1,13,1
1117.4,4.5012,710.6,0.020692,1,13,1056.4,0.46869,624.46,0.019882,1,13,1
952.87,4.4973,710.6,0.011813,1,13,891.89,0.4648,624.46,0.011002,1,13,1
690.69,4.5604,452.2,0.005251,0,0,629.71,0.52787,366.06,0.0044405,0,0,1
898.71,4.3975,538.33,0.012143,1,19,837.73,0.36505,452.2,0.011332,1,19,1
704.56,4.252,495.26,0.0032361,0,0,643.58,0.21951,409.13,0.0024256,0,0,1
