@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.008357,0,0,0.0081558,0,0,1
0.010404,1,13,0.010203,1,13,1
0.0088176,0,0,0.0086163,0,0,1
0.0070811,0,0,0.0068799,0,0,1
0.001593,0,0,0.0013917,0,0,1
0.00013692,0,0,0,0,0,1
0.00070633,0,0,0.0005694,0,0,0
0.00035126,0,0,0.00021434,0,0,0
0.0005078,0,0,0.00037087,0,0,0
0.00072721,0,0,0.00059028,0,0,0
0.0021144,0,0,0.0019775,0,0,0
0.0056771,0,0,0.0055402,0,0,0
0.0037956,0,0,0.0036587,0,0,0
0.0044147,0,0,0.0042777,0,0,0
0.0055967,0,0,0.0054598,0,0,0
0.0048209,0,0,0.0046839,0,0,0
0.0058892,0,0,0.0057523,0,0,0
0.0066334,0,0,0.0064965,0,0,0
0.0051459,0,0,0.005009,0,0,0
0.0049986,0,0,0.0048617,0,0,0
0.0060392,0,0,0.0059023,0,0,0
0.0039591,0,0,0.0038222,0,0,0
0.0021933,0,0,0.0020564,0,0,0
0.0036792,0,0,0.0035422,0,0,0
0.0036497,0,0,0.0035128,0,0,0
0.0041378,0,0,0.0040009,0,0,0
0.0025091,0,0,0.0023721,0,0,0
0.0035931,0,0,0.0034562,0,0,0
0.0047056,0,0,0.0045686,0,0,0
0.0054205,0,0,0.0052836,0,0,0
0.0040582,0,0,0.0039213,0,0,0
0.0021485,0,0,0.0020116,0,0,0
0.0032358,0,0,0.0030988,0,0,0
0.005027,0,0,0.00489,0,0,0
0.0017586,0,0,0.0016217,0,0,0
0.0059645,0,0,0.0058275,0,0,0
0.0017183,0,0,0.0015814,0,0,0
0.0027509,0,0,0.002614,0,0,0
0.0089526,0,0,0.0088156,0,0,0
0.0079607,0,0,0.0078238,0,0,0
0.005693,0,0,0.0055561,0,0,0
0.01104,1,21,0.010903,1,21,0
0.012433,1,22,0.012296,1,22,0
0.017452,1,21,0.017315,1,21,0
0.02227,1,21,0.022133,1,21,0
0.027104,1,21,0.026967,1,21,0
0.017119,1,25,0.016982,1,25,0
0.010054,1,18,0.0099172,1,18,0
0.015975,1,24,0.015838,1,24,0
0.020384,1,24,0.020247,1,24,0
0.015578,1,24,0.015441,1,24,0
0.023187,1,24,0.02305,1,24,0
0.028282,1,24,0.028145,1,24,0
0.020039,1,25,0.019902,1,25,0
0.028535,1,25,0.028399,1,25,0
0.029903,1,24,0.029766,1,24,0
0.027566,1,25,0.027429,1,25,0
0.031423,1,25,0.031286,1,25,1
0.053656,1,25,0.053519,1,25,1
