@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0013578,0.00044245,0.11797,0.10526,0.001372,0.00066144,172,0
0.0013288,0.00041346,0.098911,0.12432,0.0010074,0.00029687,73,0
0.0015829,0.00066756,0.065336,0.15789,0.0011897,0.00047918,114,0
0.0015598,0.00064446,0.088022,0.13521,0.0013494,0.00063892,186,0
0.0012873,0.00037197,0.10889,0.11434,0.00094072,0.00023021,147,0
0.0012807,0.00036535,0.11525,0.10799,0.00073018,1.967e-05,109,0
0.0011184,0.00020303,0.19147,0.03176,0.0015976,0.00088713,61,0
0.0010853,0.00016987,0.20599,0.017241,0.0010117,0.00030119,113,0
0.0011919,0.00027651,0.16425,0.058984,0.0011911,0.00048061,52,0
0.0010129,9.7487e-05,0.17604,0.047187,0.0008272,0.00011669,160,0
0.0010579,0.00014248,0.1833,0.039927,0.00093619,0.00022567,5,0
0.0014242,0.00050887,0.16425,0.058984,0.002576,0.0018655,156,0
0.0017533,0.00083794,0.12886,0.094374,0.0026669,0.0019564,90,0
0.0017279,0.00081255,0.10799,0.11525,0.0029646,0.0022541,89,0
0.0015616,0.00064619,0.12432,0.098911,0.0020009,0.0012903,138,0
0.0014326,0.0005172,0.13702,0.086207,0.0022797,0.0015692,105,0
0.0013182,0.00040285,0.13339,0.089837,0.002014,0.0013035,90,0
0.0014601,0.00054472,0.13612,0.087114,0.0010323,0.00032176,36,0
0.00147,0.0005546,0.13702,0.086207,0.0019104,0.0011999,150,0
0.001443,0.00052764,0.16334,0.059891,0.002641,0.0019305,46,0
0.0012733,0.00035793,0.17151,0.051724,0.0014074,0.00069688,35,0
0.0010135,9.81e-05,0.14882,0.07441,0.0013084,0.00059788,104,0
0.00094912,3.3739e-05,0.15789,0.065336,0.0011105,0.00039997,41,0
0.00099959,8.421e-05,0.17604,0.047187,0.00066291,0,94,0
0.0010016,8.6258e-05,0.18784,0.03539,0.0012919,0.00062897,38,0
0.00099418,7.8802e-05,0.18603,0.037205,0.0010459,0.00038304,138,0
0.0010704,0.00015504,0.15426,0.068966,0.0014334,0.00077052,141,0
0.0011061,0.00019073,0.14065,0.082577,0.0018404,0.0011775,109,0
0.0017118,0.00079638,0.11525,0.10799,0.0020976,0.0014347,75,0
0.0019377,0.0010223,0.07441,0.14882,0.0020115,0.0013486,75,0
0.0014782,0.00056282,0.097096,0.12613,0.0012627,0.00059979,79,0
0.0014635,0.00054813,0.11343,0.1098,0.0012668,0.0006039,120,0
0.0015327,0.00061732,0.11071,0.11252,0.001597,0.00093412,74,0
0.0014596,0.00054418,0.13702,0.086207,0.0020838,0.0014209,149,0
0.0015575,0.00064215,0.11706,0.10617,0.0016024,0.00093951,80,0
0.0015236,0.00060827,0.096189,0.12704,0.0015518,0.00088891,81,0
0.0014467,0.0005313,0.12341,0.099819,0.0012902,0.0006273,125,0
0.0024323,0.0015169,0.13067,0.092559,0.0056545,0.0049916,15,0
0.0035436,0.0026282,0.13612,0.087114,0.0047045,0.0040416,138,0
0.0036244,0.002709,0.13249,0.090744,0.0052103,0.0045474,41,0
0.0031256,0.0022102,0.11797,0.10526,0.0039684,0.0033055,84,0
0.002429,0.0015136,0.12432,0.098911,0.003573,0.0029101,102,0
0.0018323,0.00091696,0.12341,0.099819,0.0027238,0.0020609,79,0
0.0016716,0.00075627,0.12795,0.095281,0.0026478,0.0019849,105,0
0.0022439,0.0013286,0.15426,0.068966,0.0017164,0.0010535,131,0
0.0028422,0.0019268,0.18421,0.03902,0.0046223,0.0039594,25,0
0.0027951,0.0018797,0.20508,0.018149,0.0046148,0.0039519,59,0
0.0024607,0.0015453,0.17786,0.045372,0.0039799,0.003317,84,0
0.003157,0.0022416,0.1225,0.10073,0.0029257,0.0022628,48,0
0.0041301,0.0032147,0.080762,0.14247,0.0050511,0.0043882,21,0
0.004041,0.0031256,0.07804,0.14519,0.0052504,0.0045874,174,0
0.0034989,0.0025835,0.11797,0.10526,0.0044728,0.0038098,97,0
0.0032342,0.0023188,0.13702,0.086207,0.0042141,0.0035512,20,0
0.0028036,0.0018882,0.15971,0.063521,0.0036533,0.0029904,22,0
0.0022262,0.0013109,0.1824,0.040835,0.0023502,0.0016873,78,0
0.0022121,0.0012967,0.16606,0.057169,0.0029678,0.0023049,35,0
0.0034327,0.0025173,0.12613,0.097096,0.0051201,0.0044572,20,0
0.0052389,0.0043235,0.10254,0.12069,0.0082868,0.0076239,21,0
0.0073247,0.0064093,0.11162,0.11162,0.011085,0.010422,31,0
0.0092305,0.0083151,0.11797,0.10526,0.012768,0.012105,33,0
0.010222,0.009307,0.13975,0.083485,0.013632,0.012969,98,0
0.010496,0.0095802,0.14247,0.080762,0.014763,0.014101,34,0
0.010241,0.0093254,0.13339,0.089837,0.012434,0.011771,24,0
0.010463,0.0095473,0.13249,0.090744,0.01355,0.012887,35,0
0.010791,0.0098761,0.12613,0.097096,0.015088,0.014425,33,0
0.010103,0.0091874,0.11343,0.1098,0.011056,0.010393,22,0
0.008869,0.0079536,0.11162,0.11162,0.011816,0.011153,87,0
0.0078392,0.0069238,0.11615,0.10708,0.011748,0.011085,90,0
0.0072995,0.0063841,0.10345,0.11978,0.0080205,0.0073576,133,0
0.0058283,0.0049129,0.079855,0.14338,0.0055843,0.0049214,143,0
0.0040993,0.0031839,0.075318,0.14791,0.0054245,0.0047616,73,0
0.0037538,0.0028384,0.085299,0.13793,0.0037782,0.0031153,85,0
0.003505,0.0025896,0.08167,0.14156,0.0044531,0.0037902,84,0
0.0035843,0.002669,0.073503,0.14973,0.003054,0.0023911,86,0
0.0041317,0.0032164,0.075318,0.14791,0.0029866,0.0023237,84,0
0.0044999,0.0035845,0.096189,0.12704,0.0044767,0.0038138,85,0
0.0080727,0.0071573,0.11434,0.10889,0.011031,0.010368,24,0
0.011734,0.010819,0.13521,0.088022,0.01528,0.014617,20,0
0.014064,0.013148,0.15336,0.069873,0.016648,0.015985,18,0
0.016305,0.01539,0.14519,0.07804,0.019794,0.019131,19,0
0.015899,0.014984,0.20054,0.022686,0.02006,0.019397,19,0
0.017257,0.016342,0.24319,0,0.026926,0.026263,19,0
0.018131,0.017215,0.17786,0.065336,0.024418,0.023755,20,0
0.014116,0.0132,0.1216,0.1216,0.014996,0.014333,34,0
0.010646,0.0097308,0.098004,0.14519,0.010385,0.0097218,20,0
0.0089272,0.0080118,0.065336,0.17786,0.014628,0.013965,19,0
