@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.19958,0.19735,0.039927,0.12523,1.2351,1.1523,4,21,1
0.19486,0.19263,0.037205,0.12795,1.3359,1.2532,3,22,1
0.22766,0.22543,0.033575,0.13158,1.4526,1.3698,3,22,1
0.245,0.24277,0.03539,0.12976,1.5509,1.4681,3,22,1
0.21104,0.20881,0.036298,0.12886,1.4876,1.4048,3,22,1
0.15962,0.15739,0.03176,0.13339,1.4817,1.3989,3,22,1
0.14229,0.14006,0.036298,0.12886,1.4242,1.3414,3,22,1
0.12834,0.12612,0.040835,0.12432,1.3886,1.3058,3,22,1
0.097579,0.095351,0.043557,0.1216,1.0476,0.9648,3,22,1
0.087752,0.085524,0.041742,0.12341,0.47543,0.39265,3,22,1
0.10492,0.1027,0.032668,0.13249,0.57269,0.4899,3,22,1
0.11139,0.10916,0.033575,0.13158,0.60744,0.52465,3,22,1
0.10817,0.10594,0.033575,0.13158,0.68866,0.60588,3,22,1
0.11913,0.1169,0.030853,0.1343,0.8483,0.76552,3,22,1
0.11867,0.11644,0.03176,0.13339,0.87465,0.79187,3,22,1
0.11602,0.11379,0.029946,0.13521,0.65086,0.56808,3,22,1
0.1162,0.11397,0.028131,0.13702,0.80738,0.7246,2,23,1
0.11374,0.11152,0.024501,0.14065,1.1553,1.0726,2,23,1
0.11198,0.10975,0.021779,0.14338,1.5785,1.4957,2,23,1
0.079116,0.076888,0.028131,0.13702,1.6569,1.5741,2,23,1
0.032012,0.029784,0.043557,0.1216,1.0455,0.96268,2,23,1
0.02062,0.018392,0.036298,0.12886,1.3359,1.2531,2,23,1
0.019472,0.017244,0.018149,0.14701,1.4705,1.3877,2,23,1
0.011514,0.0092862,0.044465,0.12069,1.3803,1.2975,2,23,1
0.01036,0.0081317,0.053539,0.11162,1.3343,1.2515,2,23,1
0.013161,0.010933,0.03176,0.13339,1.5628,1.48,2,23,1
0.013776,0.011548,0.025408,0.13975,1.6432,1.5604,2,23,0
0.012272,0.010044,0.023593,0.14156,1.6478,1.565,2,23,0
0.0074759,0.005248,0.038113,0.12704,1.5955,1.5127,2,23,0
0.0043124,0.0020845,0.088929,0.076225,1.0409,0.9581,3,22,0
0.0029858,0.00075788,0.11887,0.046279,0.3202,0.23741,9,16,0
0.0023971,0.00016916,0.11434,0.050817,0.37876,0.29598,10,15,0
0.0025065,0.00027855,0.11434,0.050817,0.47477,0.39199,11,14,0
0.002229,1.0106e-06,0.12704,0.038113,0.47362,0.39083,11,14,0
0.0018429,0,0.14882,0.016334,0.44278,0.36,13,12,0
0.0018017,0,0.15064,0.014519,0.43018,0.34739,10,15,0
0.0016858,0,0.14701,0.018149,0.3117,0.22892,12,13,0
0.0016838,0,0.13975,0.025408,0.27984,0.19705,11,14,0
0.0015937,0,0.13884,0.026316,0.27744,0.19466,26,0,0
0.0016213,2.7633e-05,0.14701,0.018149,0.24998,0.1672,24,2,0
0.0016503,5.6604e-05,0.15245,0.012704,0.30503,0.22224,22,4,0
0.001645,5.1336e-05,0.12976,0.03539,0.23546,0.15267,30,0,0
0.0016683,7.4598e-05,0.12341,0.041742,0.22973,0.14695,30,0,0
0.0014711,0,0.15336,0.011797,0.29562,0.21283,25,5,0
0.0013076,0,0.15971,0.0054446,0.30105,0.21826,24,6,0
