@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
26.427,16.238,5.2741,0.42764,258.4,236.87,0.20973,0.2093,17,34,0
25.709,15.52,5.2329,0.46885,236.87,215.33,0.098766,0.098336,35,16,0
24.452,14.263,5.4014,0.30035,193.8,172.27,0.044338,0.043907,36,15,0
25.563,15.374,5.4244,0.27736,172.27,150.73,0.019875,0.019445,39,12,0
27.511,17.322,5.1381,0.56363,193.8,172.27,0.084372,0.083941,25,26,0
24.976,14.787,5.2867,0.41505,279.93,258.4,0.31895,0.31851,22,29,0
24.198,14.009,5.0739,0.62787,258.4,236.87,0.33993,0.3395,17,34,0
24.461,14.272,5.3307,0.37111,258.4,236.87,0.095337,0.094906,31,20,0
24.751,14.562,5.1141,0.5877,258.4,236.87,0.28518,0.28475,13,38,0
22.809,12.62,4.9006,0.80117,258.4,236.87,0.44604,0.44561,14,37,0
21.995,11.806,5.2641,0.43765,279.93,258.4,0.33269,0.33226,19,32,0
22.988,12.799,5.2535,0.44823,258.4,236.87,0.051069,0.050638,31,20,0
32.458,22.269,5.6371,0.064694,430.66,409.13,0.11641,0.11598,36,15,0
26.349,16.159,5.4313,0.27043,215.33,193.8,0.065602,0.065171,55,0,0
24.231,14.042,5.3278,0.37393,215.33,193.8,0.0209,0.020469,52,3,0
